stage,manifest,kind,path,expected_size,actual_size,expected_sha256,actual_sha256,size_match,sha256_match,status
2,stage2-local manifest (existence only),sample.json,reports/evidence/stage2-local/728cf611-e063-403e-90ab-a0b736a946f1/stock_daily_qfq.sample.json,,6408,,49b7ee8847a0658a2cb095e4442eb13aa980d8261d0113f5963955d6a4a6c196,N/A,N/A,PASS
2,stage2-local manifest (existence only),schema.json,reports/evidence/stage2-local/728cf611-e063-403e-90ab-a0b736a946f1/stock_daily_qfq.schema.json,,516,,6d13d73f73fa4d60189a19e511caac284b78016ecc7245bd5d29afdccecc5290,N/A,N/A,PASS
2,stage2-local manifest (existence only),sample.json,reports/evidence/stage2-local/728cf611-e063-403e-90ab-a0b736a946f1/stock_daily_raw.sample.json,,6408,,49b7ee8847a0658a2cb095e4442eb13aa980d8261d0113f5963955d6a4a6c196,N/A,N/A,PASS
2,stage2-local manifest (existence only),schema.json,reports/evidence/stage2-local/728cf611-e063-403e-90ab-a0b736a946f1/stock_daily_raw.schema.json,,516,,6d13d73f73fa4d60189a19e511caac284b78016ecc7245bd5d29afdccecc5290,N/A,N/A,PASS
2,stage2-local manifest (existence only),sample.json,reports/evidence/stage2-local/728cf611-e063-403e-90ab-a0b736a946f1/stock_spot.sample.json,,12190,,2495a8c71abc4850df0c554cf35f993874ae729e20aefb448e5d099dfae6ba45,N/A,N/A,PASS
2,stage2-local manifest (existence only),schema.json,reports/evidence/stage2-local/728cf611-e063-403e-90ab-a0b736a946f1/stock_spot.schema.json,,903,,d9c7478fdcd91cac368ee163a7af93d3822e8ac601d1c35a22c5d16ace4d1b6a,N/A,N/A,PASS
2,stage2-local manifest (existence only),sample.json,reports/evidence/stage2-local/728cf611-e063-403e-90ab-a0b736a946f1/financial_abstract.sample.json,,62854,,941fda702b33aba0f5670e4c092722fbaf8d03ae18cc3b0289fa79bac08a2873,N/A,N/A,PASS
2,stage2-local manifest (existence only),schema.json,reports/evidence/stage2-local/728cf611-e063-403e-90ab-a0b736a946f1/financial_abstract.schema.json,,3880,,c4877c08df9ad7b05d9a97bb98bfc87b94929f6b67f5b3fff1beb39204847a5d,N/A,N/A,PASS
2,stage2-local manifest (existence only),sample.json,reports/evidence/stage2-local/728cf611-e063-403e-90ab-a0b736a946f1/financial_indicator.sample.json,,73431,,e3885e519de936cf2de26a22b0917549cec46b998cf205e1dd127ac34e799fac,N/A,N/A,PASS
2,stage2-local manifest (existence only),schema.json,reports/evidence/stage2-local/728cf611-e063-403e-90ab-a0b736a946f1/financial_indicator.schema.json,,4443,,1c396df56206ad32add16cbc99418824ec7441ac67470d9267f100cd767f76e5,N/A,N/A,PASS
2,stage2-local manifest (existence only),sample.json,reports/evidence/stage2-local/728cf611-e063-403e-90ab-a0b736a946f1/balance_sheet_report.sample.json,,228863,,47abf48b2704ef9f68d86be08027244379264aa9503de4b78ad44df032d193cc,N/A,N/A,PASS
2,stage2-local manifest (existence only),schema.json,reports/evidence/stage2-local/728cf611-e063-403e-90ab-a0b736a946f1/balance_sheet_report.schema.json,,13862,,1997423362720332b176cb8435fa63c2fb0f07253d41264c64ba68eb68b020a0,N/A,N/A,PASS
2,stage2-local manifest (existence only),sample.json,reports/evidence/stage2-local/728cf611-e063-403e-90ab-a0b736a946f1/profit_sheet_report.sample.json,,148766,,9dea578da8064b9d168fb3451395d144b6964c5c392d63c026c522e068964974,N/A,N/A,PASS
2,stage2-local manifest (existence only),schema.json,reports/evidence/stage2-local/728cf611-e063-403e-90ab-a0b736a946f1/profit_sheet_report.schema.json,,8897,,ddc57eb6e51fee1695b3da165d3dd298d519a98b8296547fbf4c92091fe228c5,N/A,N/A,PASS
2,stage2-local manifest (existence only),sample.json,reports/evidence/stage2-local/728cf611-e063-403e-90ab-a0b736a946f1/cashflow_sheet_report.sample.json,,189731,,8c8fa0474d17aef89223331f1b867142f11f4b42786aa31dedfb04a04b57604d,N/A,N/A,PASS
2,stage2-local manifest (existence only),schema.json,reports/evidence/stage2-local/728cf611-e063-403e-90ab-a0b736a946f1/cashflow_sheet_report.schema.json,,11334,,6936b43af339519426fed502fb61552afe04b730c8f0c2f5fecd50b1bb4b04f1,N/A,N/A,PASS
2,stage2-local manifest (existence only),sample.json,reports/evidence/stage2-local/728cf611-e063-403e-90ab-a0b736a946f1/individual_fund_flow.sample.json,,10528,,4bb7f14978d2d233fbe776c4d844a0c9b088acc14403721c2d419c942492186f,N/A,N/A,PASS
2,stage2-local manifest (existence only),schema.json,reports/evidence/stage2-local/728cf611-e063-403e-90ab-a0b736a946f1/individual_fund_flow.schema.json,,719,,ccd277f56485a5e943bbe70cecbd442fb39e36a6403a38f0c7ac4d9cb2d57141,N/A,N/A,PASS
2,stage2-local manifest (existence only),sample.json,reports/evidence/stage2-local/728cf611-e063-403e-90ab-a0b736a946f1/limit_up_pool.sample.json,,9738,,ce8a3017a037de23ab8aa01ae9c3d9ed4190f4b7b68422b085793754cf1f041f,N/A,N/A,PASS
2,stage2-local manifest (existence only),schema.json,reports/evidence/stage2-local/728cf611-e063-403e-90ab-a0b736a946f1/limit_up_pool.schema.json,,664,,49118ab58eb7be6527ecfec4717701a937aa6ca77d8e0287f1cbc26be62a3934,N/A,N/A,PASS
2,stage2-local manifest (existence only),sample.json,reports/evidence/stage2-local/728cf611-e063-403e-90ab-a0b736a946f1/limit_down_pool.sample.json,,9952,,24b01b75523caed82c792fa8b88728b9d21958f334cd1120c8d798dea99093b1,N/A,N/A,PASS
2,stage2-local manifest (existence only),schema.json,reports/evidence/stage2-local/728cf611-e063-403e-90ab-a0b736a946f1/limit_down_pool.schema.json,,673,,4f152ae968d00b43f6128a898a29877d705e37ef79e3f036c315f931fa6f3f40,N/A,N/A,PASS
2,stage2-local manifest (existence only),sample.json,reports/evidence/stage2-local/728cf611-e063-403e-90ab-a0b736a946f1/crypto_spot.sample.json,,2958,,943f7b4cbba8fa75aaa497feaf7b1d469887c05b78bc63dc1bb4fab35f9bbe38,N/A,N/A,PASS
2,stage2-local manifest (existence only),schema.json,reports/evidence/stage2-local/728cf611-e063-403e-90ab-a0b736a946f1/crypto_spot.schema.json,,448,,ebc52d8bdb30e52f3683db42f7fb12bda548e3965c33c79d22c70731d61bbf9f,N/A,N/A,PASS
3,reports/evidence/stage3/39a6996e-36d7-4b73-b0b8-c38da4ae672e/manifest.json,raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=qfq/symbol=000100/data.parquet,36719,36719,893efa97345ad315d5997bd2292c67cfdf0d3a9007f4228d6bbf60ea858395ec,893efa97345ad315d5997bd2292c67cfdf0d3a9007f4228d6bbf60ea858395ec,True,True,PASS
3,reports/evidence/stage3/39a6996e-36d7-4b73-b0b8-c38da4ae672e/manifest.json,raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=qfq/symbol=002067/data.parquet,39745,39745,993ce90145d8d64927c87a0c4d145b2bb9278669f8ae36d650d321551aee0cea,993ce90145d8d64927c87a0c4d145b2bb9278669f8ae36d650d321551aee0cea,True,True,PASS
3,reports/evidence/stage3/39a6996e-36d7-4b73-b0b8-c38da4ae672e/manifest.json,raw,data/raw/stock_zh_a_hist/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/adjust=qfq/symbol=002129/data.parquet,43563,43563,cb2393df466348504e79e4a147565611fe6ae2612872b6438a52d203b93a253e,cb2393df466348504e79e4a147565611fe6ae2612872b6438a52d203b93a253e,True,True,PASS
