comparison,field,left_rows,right_rows,key_set_equal,mismatch_count,max_absolute_error,max_relative_error,tolerance,left_sha256_rounded,right_sha256_rounded,status
CSV_vs_DuckDB,open,960,960,True,0,0,0,1e-12,5c5d6e84d723b2f3b2ca93768b9ed493f178df04b2e5c36b628f1cb162322e47,5c5d6e84d723b2f3b2ca93768b9ed493f178df04b2e5c36b628f1cb162322e47,PASS
CSV_vs_DuckDB,high,960,960,True,0,0,0,1e-12,5c5d6e84d723b2f3b2ca93768b9ed493f178df04b2e5c36b628f1cb162322e47,5c5d6e84d723b2f3b2ca93768b9ed493f178df04b2e5c36b628f1cb162322e47,PASS
CSV_vs_DuckDB,low,960,960,True,0,0,0,1e-12,5c5d6e84d723b2f3b2ca93768b9ed493f178df04b2e5c36b628f1cb162322e47,5c5d6e84d723b2f3b2ca93768b9ed493f178df04b2e5c36b628f1cb162322e47,PASS
CSV_vs_DuckDB,close,960,960,True,0,0,0,1e-12,5c5d6e84d723b2f3b2ca93768b9ed493f178df04b2e5c36b628f1cb162322e47,5c5d6e84d723b2f3b2ca93768b9ed493f178df04b2e5c36b628f1cb162322e47,PASS
CSV_vs_DuckDB,volume,960,960,True,0,0,0,1e-12,5c5d6e84d723b2f3b2ca93768b9ed493f178df04b2e5c36b628f1cb162322e47,5c5d6e84d723b2f3b2ca93768b9ed493f178df04b2e5c36b628f1cb162322e47,PASS
CSV_vs_DuckDB,quote_volume,960,960,True,0,0,0,1e-12,5c5d6e84d723b2f3b2ca93768b9ed493f178df04b2e5c36b628f1cb162322e47,5c5d6e84d723b2f3b2ca93768b9ed493f178df04b2e5c36b628f1cb162322e47,PASS
CSV_vs_DuckDB,source,960,960,True,0,,,1e-12,5c5d6e84d723b2f3b2ca93768b9ed493f178df04b2e5c36b628f1cb162322e47,5c5d6e84d723b2f3b2ca93768b9ed493f178df04b2e5c36b628f1cb162322e47,PASS
JSON_vs_DuckDB,open,960,960,True,0,0,0,1e-12,5c5d6e84d723b2f3b2ca93768b9ed493f178df04b2e5c36b628f1cb162322e47,5c5d6e84d723b2f3b2ca93768b9ed493f178df04b2e5c36b628f1cb162322e47,PASS
JSON_vs_DuckDB,high,960,960,True,0,0,0,1e-12,5c5d6e84d723b2f3b2ca93768b9ed493f178df04b2e5c36b628f1cb162322e47,5c5d6e84d723b2f3b2ca93768b9ed493f178df04b2e5c36b628f1cb162322e47,PASS
JSON_vs_DuckDB,low,960,960,True,0,0,0,1e-12,5c5d6e84d723b2f3b2ca93768b9ed493f178df04b2e5c36b628f1cb162322e47,5c5d6e84d723b2f3b2ca93768b9ed493f178df04b2e5c36b628f1cb162322e47,PASS
JSON_vs_DuckDB,close,960,960,True,0,0,0,1e-12,5c5d6e84d723b2f3b2ca93768b9ed493f178df04b2e5c36b628f1cb162322e47,5c5d6e84d723b2f3b2ca93768b9ed493f178df04b2e5c36b628f1cb162322e47,PASS
JSON_vs_DuckDB,volume,960,960,True,0,0,0,1e-12,5c5d6e84d723b2f3b2ca93768b9ed493f178df04b2e5c36b628f1cb162322e47,5c5d6e84d723b2f3b2ca93768b9ed493f178df04b2e5c36b628f1cb162322e47,PASS
JSON_vs_DuckDB,quote_volume,960,960,True,0,0,0,1e-12,5c5d6e84d723b2f3b2ca93768b9ed493f178df04b2e5c36b628f1cb162322e47,5c5d6e84d723b2f3b2ca93768b9ed493f178df04b2e5c36b628f1cb162322e47,PASS
JSON_vs_DuckDB,source,960,960,True,0,,,1e-12,5c5d6e84d723b2f3b2ca93768b9ed493f178df04b2e5c36b628f1cb162322e47,5c5d6e84d723b2f3b2ca93768b9ed493f178df04b2e5c36b628f1cb162322e47,PASS
CSV_vs_JSON,open,960,960,True,0,0,0,1e-12,5c5d6e84d723b2f3b2ca93768b9ed493f178df04b2e5c36b628f1cb162322e47,5c5d6e84d723b2f3b2ca93768b9ed493f178df04b2e5c36b628f1cb162322e47,PASS
CSV_vs_JSON,high,960,960,True,0,0,0,1e-12,5c5d6e84d723b2f3b2ca93768b9ed493f178df04b2e5c36b628f1cb162322e47,5c5d6e84d723b2f3b2ca93768b9ed493f178df04b2e5c36b628f1cb162322e47,PASS
CSV_vs_JSON,low,960,960,True,0,0,0,1e-12,5c5d6e84d723b2f3b2ca93768b9ed493f178df04b2e5c36b628f1cb162322e47,5c5d6e84d723b2f3b2ca93768b9ed493f178df04b2e5c36b628f1cb162322e47,PASS
CSV_vs_JSON,close,960,960,True,0,0,0,1e-12,5c5d6e84d723b2f3b2ca93768b9ed493f178df04b2e5c36b628f1cb162322e47,5c5d6e84d723b2f3b2ca93768b9ed493f178df04b2e5c36b628f1cb162322e47,PASS
CSV_vs_JSON,volume,960,960,True,0,0,0,1e-12,5c5d6e84d723b2f3b2ca93768b9ed493f178df04b2e5c36b628f1cb162322e47,5c5d6e84d723b2f3b2ca93768b9ed493f178df04b2e5c36b628f1cb162322e47,PASS
CSV_vs_JSON,quote_volume,960,960,True,0,0,0,1e-12,5c5d6e84d723b2f3b2ca93768b9ed493f178df04b2e5c36b628f1cb162322e47,5c5d6e84d723b2f3b2ca93768b9ed493f178df04b2e5c36b628f1cb162322e47,PASS
CSV_vs_JSON,source,960,960,True,0,,,1e-12,5c5d6e84d723b2f3b2ca93768b9ed493f178df04b2e5c36b628f1cb162322e47,5c5d6e84d723b2f3b2ca93768b9ed493f178df04b2e5c36b628f1cb162322e47,PASS
