database_file,schema_name,table_name,table_type,row_count,minimum_date,maximum_date,distinct_symbol_count,target_symbol_coverage,date_filter_column,date_column_type,date_filter_mode,parse_failure_count,as_of_date,status,error
database/akshare_data_test_stage5_repaired.duckdb,main,data_lineage,BASE TABLE,130,,,0,0.000000,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0,2026-07-27,AVAILABLE,
database/akshare_data_test_stage5_repaired.duckdb,main,data_quality_issue,BASE TABLE,47,,,0,0.000000,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0,2026-07-27,AVAILABLE,
database/akshare_data_test_stage5_repaired.duckdb,main,dim_security,BASE TABLE,16,,,16,1.000000,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0,2026-07-27,AVAILABLE,
database/akshare_data_test_stage5_repaired.duckdb,main,etl_run,BASE TABLE,1,2026-07-27,2026-07-27,0,0.000000,as_of_date,DATE,DATE,0,2026-07-27,AVAILABLE,
database/akshare_data_test_stage5_repaired.duckdb,main,fact_financial_abstract,BASE TABLE,0,,,0,0.000000,announcement_date,DATE,DATE,0,2026-07-27,AVAILABLE,
database/akshare_data_test_stage5_repaired.duckdb,main,fact_financial_indicator,BASE TABLE,0,,,0,0.000000,announcement_date,DATE,DATE,0,2026-07-27,AVAILABLE,
database/akshare_data_test_stage5_repaired.duckdb,main,fact_financial_statement,BASE TABLE,863226,1996-10-24,2026-04-30,16,1.000000,announcement_date,DATE,DATE,0,2026-07-27,AVAILABLE,
database/akshare_data_test_stage5_repaired.duckdb,main,fact_stock_daily,BASE TABLE,23204,2023-07-27,2026-07-27,16,1.000000,trade_date,DATE,DATE,0,2026-07-27,AVAILABLE,
database/akshare_data_test_stage5_repaired.duckdb,main,fact_stock_fund_flow,BASE TABLE,1904,2026-01-13,2026-07-27,16,1.000000,trade_date,DATE,DATE,0,2026-07-27,AVAILABLE,
database/akshare_data_test_stage5_repaired.duckdb,main,fact_stock_spot,BASE TABLE,0,,,0,0.000000,snapshot_at,TIMESTAMP WITH TIME ZONE,TIMESTAMPTZ,0,2026-07-27,AVAILABLE,
database/akshare_data_test_stage5_repaired.duckdb,main,field_mapping_registry,BASE TABLE,1024,,,0,0.000000,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0,2026-07-27,AVAILABLE,
database/akshare_data_test_stage5_repaired.duckdb,main,source_file_manifest,BASE TABLE,130,,,0,0.000000,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0,2026-07-27,AVAILABLE,
database/akshare_data_test_stage5_repaired.duckdb,main,v_financial_all,VIEW,863226,1996-10-24,2026-04-30,16,1.000000,announcement_date,DATE,DATE,0,2026-07-27,AVAILABLE,
database/akshare_data_test_stage5_repaired.duckdb,main,v_financial_announcement_unknown,VIEW,0,,,0,0.000000,announcement_date,DATE,DATE,0,2026-07-27,AVAILABLE,
database/akshare_data_test_stage5_repaired.duckdb,main,v_financial_point_in_time_safe,VIEW,863226,1996-10-24,2026-04-30,16,1.000000,announcement_date,DATE,DATE,0,2026-07-27,AVAILABLE,
database/akshare_data_test_stage5_repaired.duckdb,main,v_financial_potential_lookahead,VIEW,0,,,0,0.000000,announcement_date,DATE,DATE,0,2026-07-27,AVAILABLE,
database/akshare_data_test_stage5_repaired.duckdb,main,v_latest_stock_spot,VIEW,0,,,0,0.000000,snapshot_at,TIMESTAMP WITH TIME ZONE,TIMESTAMPTZ,0,2026-07-27,AVAILABLE,
database/akshare_data_test_stage5_repaired.duckdb,main,v_stock_daily_qfq,VIEW,11602,2023-07-27,2026-07-27,16,1.000000,trade_date,DATE,DATE,0,2026-07-27,AVAILABLE,
database/akshare_data_test_stage5_repaired.duckdb,main,v_stock_daily_raw,VIEW,11602,2023-07-27,2026-07-27,16,1.000000,trade_date,DATE,DATE,0,2026-07-27,AVAILABLE,
database/akshare_data_test_stage5_repaired.duckdb,main,v_stock_fund_flow_as_of_safe,VIEW,1904,2026-01-13,2026-07-27,16,1.000000,trade_date,DATE,DATE,0,2026-07-27,AVAILABLE,
database/akshare_features_stage6.duckdb,main,feat_activity_daily,BASE TABLE,11602,2023-07-27 00:00:00,2026-07-27 00:00:00,16,1.000000,trade_date,TIMESTAMP,TIMESTAMP,0,2026-07-27,AVAILABLE,
database/akshare_features_stage6.duckdb,main,feat_current_snapshot,BASE TABLE,0,,,0,0.000000,snapshot_at,TIMESTAMP WITH TIME ZONE,TIMESTAMPTZ,0,2026-07-27,AVAILABLE,
database/akshare_features_stage6.duckdb,main,feat_financial_period,BASE TABLE,14364,1996-10-24 00:00:00,2026-04-30 00:00:00,16,1.000000,announcement_date,TIMESTAMP,TIMESTAMP,0,2026-07-27,AVAILABLE,
database/akshare_features_stage6.duckdb,main,feat_fund_flow_daily,BASE TABLE,1904,2026-01-13 00:00:00,2026-07-27 00:00:00,16,1.000000,trade_date,TIMESTAMP,TIMESTAMP,0,2026-07-27,AVAILABLE,
database/akshare_features_stage6.duckdb,main,feat_limit_event,BASE TABLE,11602,2023-07-27 00:00:00,2026-07-27 00:00:00,16,1.000000,trade_date,TIMESTAMP,TIMESTAMP,0,2026-07-27,AVAILABLE,
database/akshare_features_stage6.duckdb,main,feat_price_daily,BASE TABLE,11602,2023-07-27 00:00:00,2026-07-27 00:00:00,16,1.000000,trade_date,TIMESTAMP,TIMESTAMP,0,2026-07-27,AVAILABLE,
database/akshare_features_stage6.duckdb,main,feat_style_daily,BASE TABLE,11602,2023-07-27 00:00:00,2026-07-27 00:00:00,16,1.000000,trade_date,TIMESTAMP,TIMESTAMP,0,2026-07-27,AVAILABLE,
database/akshare_features_stage6.duckdb,main,feat_suspected_behavior_evidence,BASE TABLE,16,2026-07-27 00:00:00,2026-07-27 00:00:00,16,1.000000,as_of_date,TIMESTAMP_S,TIMESTAMP,0,2026-07-27,AVAILABLE,
database/akshare_features_stage6.duckdb,main,feat_trend_daily,BASE TABLE,11602,2023-07-27 00:00:00,2026-07-27 00:00:00,16,1.000000,trade_date,TIMESTAMP,TIMESTAMP,0,2026-07-27,AVAILABLE,
database/akshare_features_stage6.duckdb,main,feature_definition_registry,BASE TABLE,109,,,0,0.000000,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0,2026-07-27,AVAILABLE,
database/akshare_features_stage6.duckdb,main,feature_file_manifest,BASE TABLE,9,,,0,0.000000,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0,2026-07-27,AVAILABLE,
database/akshare_features_stage6.duckdb,main,feature_lineage,BASE TABLE,9,,,0,0.000000,created_at,VARCHAR,NOT_APPLICABLE,0,2026-07-27,AVAILABLE,
database/akshare_features_stage6.duckdb,main,feature_quality_issue,BASE TABLE,9,,,0,0.000000,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0,2026-07-27,AVAILABLE,
database/akshare_features_stage6.duckdb,main,feature_run,BASE TABLE,1,2026-07-27,2026-07-27,0,0.000000,as_of_date,DATE,DATE,0,2026-07-27,AVAILABLE,
database/akshare_features_stage6.duckdb,main,v_current_snapshot_features,VIEW,0,,,0,0.000000,snapshot_at,TIMESTAMP WITH TIME ZONE,TIMESTAMPTZ,0,2026-07-27,AVAILABLE,
database/akshare_features_stage6.duckdb,main,v_feature_as_of_20260727,VIEW,16,2026-07-27 00:00:00,2026-07-27 00:00:00,16,1.000000,trade_date,TIMESTAMP,TIMESTAMP,0,2026-07-27,AVAILABLE,
database/akshare_features_stage6.duckdb,main,v_feature_latest_historical,VIEW,16,2026-07-27 00:00:00,2026-07-27 00:00:00,16,1.000000,trade_date,TIMESTAMP,TIMESTAMP,0,2026-07-27,AVAILABLE,
database/akshare_features_stage6.duckdb,main,v_feature_quality_blockers,VIEW,0,,,0,0.000000,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0,2026-07-27,AVAILABLE,
database/akshare_features_stage6.duckdb,main,v_suspected_behavior_evidence,VIEW,16,2026-07-27 00:00:00,2026-07-27 00:00:00,16,1.000000,as_of_date,TIMESTAMP_S,TIMESTAMP,0,2026-07-27,AVAILABLE,
database/akshare_features_stage7.duckdb,analysis,analysis_stock_activity,BASE TABLE,16,2026-07-27,2026-07-27,16,1.000000,as_of_date,DATE,DATE,0,2026-07-27,AVAILABLE,
database/akshare_features_stage7.duckdb,feature,feature_stock_daily,BASE TABLE,11602,2023-07-27,2026-07-27,16,1.000000,trade_date,DATE,DATE,0,2026-07-27,AVAILABLE,
database/akshare_features_stage7.duckdb,quality,data_quality_result,BASE TABLE,0,,,0,0.000000,calculated_at,TIMESTAMP WITH TIME ZONE,TIMESTAMPTZ,0,2026-07-27,AVAILABLE,
