symbol,activity_score,score_status,event_component_source
002361,0.907812,scored,gap_proxy
300274,0.817188,scored,gap_proxy
300433,0.754688,scored,gap_proxy
002129,0.721875,scored,gap_proxy
000100,0.709375,scored,gap_proxy
601636,0.65625,scored,gap_proxy
002600,0.6125,scored,gap_proxy
603799,0.604687,scored,gap_proxy
002067,0.564063,scored,gap_proxy
603259,0.514062,scored,gap_proxy
601012,0.384375,scored,gap_proxy
600438,0.357812,scored,gap_proxy
002230,0.295313,scored,gap_proxy
600231,0.265625,scored,gap_proxy
600763,0.2125,scored,gap_proxy
601500,0.121875,scored,gap_proxy
