symbol,trade_date,box_width_40,trend_slope_40,r_squared_40,style_label,style_confidence
600763,2026-07-27,0.126613,0.000180395,0.00581829,证据不足,
601500,2026-07-27,0.173077,-0.0017263,0.267531,证据不足,
601012,2026-07-27,0.210662,-0.00320782,0.560968,证据不足,
002230,2026-07-27,0.261317,-0.00305242,0.435309,证据不足,
600231,2026-07-27,0.324675,-0.00602267,0.734806,证据不足,
002067,2026-07-27,0.355191,-0.00398009,0.341715,证据不足,
600438,2026-07-27,0.38645,-0.00791753,0.872237,证据不足,
603259,2026-07-27,0.406718,0.00853005,0.791786,证据不足,
002129,2026-07-27,0.414118,-0.00130923,0.0285567,证据不足,
000100,2026-07-27,0.419954,0.00361182,0.288386,证据不足,
603799,2026-07-27,0.524717,-0.0088011,0.745671,证据不足,
002600,2026-07-27,0.579316,-0.00543089,0.2371,证据不足,
300433,2026-07-27,0.616598,-0.00480688,0.149638,证据不足,
300274,2026-07-27,0.71243,-0.0126763,0.805594,证据不足,
601636,2026-07-27,0.820285,-0.00336809,0.0593712,证据不足,
002361,2026-07-27,1.13408,-0.0169469,0.829304,证据不足,
