run_id,symbol,asset_id,asset_type,status,source_tables,source_date_min,source_date_max,source_row_count,as_of_date,output_path,sha256,blocking_reasons,warnings
stage13-20260727-reverify-remediation,000100,activity_components,chart,AVAILABLE,database/akshare_features_stage7.duckdb:analysis.analysis_stock_activity,2026-07-27,2026-07-27,1,2026-07-27,charts/000100/activity_components.png,97d257c16e8365c489d6d791357ce7503a862b7d8a8a95c20ffa3e8871e8d713,,
stage13-20260727-reverify-remediation,000100,financial_trend,chart,AVAILABLE,Stage 5 fact_financial_statement (announcement-date visible),2023-08-30,2026-04-30,24,2026-07-27,charts/000100/financial_trend.png,f940b18f146e4af0700ce26a6c768a963fd2f46ac4b4cd6036cf2b4c9b39dc63,,
stage13-20260727-reverify-remediation,000100,fund_flow_price,chart,AVAILABLE,Stage 5 v_stock_fund_flow_as_of_safe + qfq price,2026-01-27,2026-07-27,119,2026-07-27,charts/000100/fund_flow_price.png,19d0e15b7ba961877ab4da9b6d4e00e3fdb85adf6907fc48540dd7c671776f30,,
stage13-20260727-reverify-remediation,000100,limit_events,chart,AVAILABLE,Stage 6 feat_limit_event.raw_close (confirmed only),,,0,2026-07-27,charts/000100/limit_events.png,b36842ba9cc431f6e893edf4c16194beefe8a6e4bed603775b561e25290c5506,,
stage13-20260727-reverify-remediation,000100,next_open_return,chart,AVAILABLE,Stage 6 feat_limit_event.raw_close + Stage 5 v_stock_daily_qfq,,,0,2026-07-27,charts/000100/next_open_return.png,c4372a3f6c890b795ece6c699084aa28d5755d72421961aaf7331052824d2546,,
stage13-20260727-reverify-remediation,000100,price_ma,chart,AVAILABLE,database/akshare_features_stage6.duckdb:feat_trend_daily,2025-07-14,2026-07-27,252,2026-07-27,charts/000100/price_ma.png,c5a83943a1cf0b094df10a213e5d6a9fb61f8450870907806ad5730027a278d7,,
stage13-20260727-reverify-remediation,000100,range_40_breakouts,chart,PARTIAL,Stage 5 v_stock_daily_qfq + Stage 6 feat_style_daily,2026-06-01,2026-07-27,40,2026-07-27,charts/000100/range_40_breakouts.png,a620a1d52e0fd3f17c3916f8f777465e826a334e012cce6fd916eefcf4e55860,,formal breakout-event markers are unavailable
stage13-20260727-reverify-remediation,000100,valuation_snapshot,chart,NOT_AVAILABLE,v_latest_stock_spot,,,0,2026-07-27,,,,local valuation snapshot is later than as_of_date; it is not backdated
stage13-20260727-reverify-remediation,000100,volume_ma,chart,AVAILABLE,database/akshare_features_stage6.duckdb:feat_price_daily,2025-07-14,2026-07-27,252,2026-07-27,charts/000100/volume_ma.png,ce47be93af0fea80b571d7d4269ec2ae216aef68ba159951cc4bd5c3c3fefe63,,
stage13-20260727-reverify-remediation,002067,activity_components,chart,AVAILABLE,database/akshare_features_stage7.duckdb:analysis.analysis_stock_activity,2026-07-27,2026-07-27,1,2026-07-27,charts/002067/activity_components.png,8c5444652d158d1950ebed15b784f0bf58c374d54a274ee94d3e8b126e569b27,,
