symbol,report_period,announcement_date,line_item_name_source,line_item_value,unit_canonical
002230,2023-06-30,2023-08-12,PARENT_NETPROFIT,7.3572e+07,CNY_yuan
002230,2023-06-30,2023-08-12,TOTAL_OPERATE_INCOME,7.84155e+09,CNY_yuan
002230,2023-09-30,2023-10-20,PARENT_NETPROFIT,9.93621e+07,CNY_yuan
002230,2023-09-30,2023-10-20,TOTAL_OPERATE_INCOME,1.26137e+10,CNY_yuan
002230,2023-12-31,2024-04-23,PARENT_NETPROFIT,6.57313e+08,CNY_yuan
002230,2023-12-31,2024-04-23,TOTAL_OPERATE_INCOME,1.96503e+10,CNY_yuan
002230,2024-03-31,2024-04-23,PARENT_NETPROFIT,-3.00468e+08,CNY_yuan
002230,2024-03-31,2024-04-23,TOTAL_OPERATE_INCOME,3.64622e+09,CNY_yuan
002230,2024-06-30,2024-08-22,PARENT_NETPROFIT,-4.00666e+08,CNY_yuan
002230,2024-06-30,2024-08-22,TOTAL_OPERATE_INCOME,9.32455e+09,CNY_yuan
002230,2024-09-30,2024-10-19,PARENT_NETPROFIT,-3.43704e+08,CNY_yuan
002230,2024-09-30,2024-10-19,TOTAL_OPERATE_INCOME,1.48495e+10,CNY_yuan
002230,2024-12-31,2025-04-22,PARENT_NETPROFIT,5.60163e+08,CNY_yuan
002230,2024-12-31,2025-04-22,TOTAL_OPERATE_INCOME,2.33431e+10,CNY_yuan
002230,2025-03-31,2025-04-22,PARENT_NETPROFIT,-1.93252e+08,CNY_yuan
002230,2025-03-31,2025-04-22,TOTAL_OPERATE_INCOME,4.65782e+09,CNY_yuan
002230,2025-06-30,2025-08-22,PARENT_NETPROFIT,-2.38927e+08,CNY_yuan
002230,2025-06-30,2025-08-22,TOTAL_OPERATE_INCOME,1.09109e+10,CNY_yuan
002230,2025-09-30,2025-10-21,PARENT_NETPROFIT,-6.66754e+07,CNY_yuan
002230,2025-09-30,2025-10-21,TOTAL_OPERATE_INCOME,1.69894e+10,CNY_yuan
002230,2025-12-31,2026-04-29,PARENT_NETPROFIT,8.39391e+08,CNY_yuan
002230,2025-12-31,2026-04-29,TOTAL_OPERATE_INCOME,2.71054e+10,CNY_yuan
002230,2026-03-31,2026-04-29,PARENT_NETPROFIT,-1.69725e+08,CNY_yuan
002230,2026-03-31,2026-04-29,TOTAL_OPERATE_INCOME,5.27419e+09,CNY_yuan
