dataset_id,kind,symbol,market,adjust,interval,status,quality_status,row_count,min_value,max_value,listing_date,coverage_status,error_type,error_message,source,interface,attempt_count,selected_source,selection_reason,trigger_reason,blocker_category,selected_provider,selected_interface,provider_attempts,quality_result,coverage_result,requested_response_keys,used_response_keys,response_field_fallback,qfq_hfq_identical,data_path,metadata_path
daily:002067:raw,equity_daily,002067,A,raw,,success,PASS,4808,2006-09-15,2026-08-24,2006-09-15,complete_to_verified_listing_date,,,sina,stock_zh_a_daily,1,sina,primary_connection_error;fallback_passed_strict_checks,connection_error,,,,,,,,,,,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=002067/adjust=raw/source=sina/data.parquet,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=002067/adjust=raw/source=sina/metadata.json
daily:002067:qfq,equity_daily,002067,A,qfq,,success,PASS,4808,2006-09-15,2026-08-24,2006-09-15,complete_to_verified_listing_date,,,sina,stock_zh_a_daily,1,sina,primary_connection_error;fallback_passed_strict_checks,connection_error,,,,,,,,,,,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=002067/adjust=qfq/source=sina/data.parquet,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=002067/adjust=qfq/source=sina/metadata.json
daily:002067:hfq,equity_daily,002067,A,hfq,,success,PASS,4808,2006-09-15,2026-08-24,2006-09-15,complete_to_verified_listing_date,,,sina,stock_zh_a_daily,1,sina,primary_connection_error;fallback_passed_strict_checks,connection_error,,,,,,,,,,,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=002067/adjust=hfq/source=sina/data.parquet,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=002067/adjust=hfq/source=sina/metadata.json
daily:002600:raw,equity_daily,002600,A,raw,,success,PASS,3414,2011-07-15,2026-08-24,2011-07-15,complete_to_verified_listing_date,,,sina,stock_zh_a_daily,1,sina,primary_connection_error;fallback_passed_strict_checks,connection_error,,,,,,,,,,,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=002600/adjust=raw/source=sina/data.parquet,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=002600/adjust=raw/source=sina/metadata.json
daily:002600:qfq,equity_daily,002600,A,qfq,,success,PASS,3414,2011-07-15,2026-08-24,2011-07-15,complete_to_verified_listing_date,,,sina,stock_zh_a_daily,1,sina,primary_connection_error;fallback_passed_strict_checks,connection_error,,,,,,,,,,,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=002600/adjust=qfq/source=sina/data.parquet,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=002600/adjust=qfq/source=sina/metadata.json
daily:002600:hfq,equity_daily,002600,A,hfq,,success,PASS,3414,2011-07-15,2026-08-24,2011-07-15,complete_to_verified_listing_date,,,sina,stock_zh_a_daily,1,sina,primary_connection_error;fallback_passed_strict_checks,connection_error,,,,,,,,,,,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=002600/adjust=hfq/source=sina/data.parquet,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=002600/adjust=hfq/source=sina/metadata.json
daily:002230:raw,equity_daily,002230,A,raw,,success,PASS,4357,2008-05-12,2026-08-24,2008-05-12,complete_to_verified_listing_date,,,sina,stock_zh_a_daily,1,sina,primary_connection_error;fallback_passed_strict_checks,connection_error,,,,,,,,,,,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=002230/adjust=raw/source=sina/data.parquet,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=002230/adjust=raw/source=sina/metadata.json
daily:002230:qfq,equity_daily,002230,A,qfq,,success,PASS,4357,2008-05-12,2026-08-24,2008-05-12,complete_to_verified_listing_date,,,sina,stock_zh_a_daily,1,sina,primary_connection_error;fallback_passed_strict_checks,connection_error,,,,,,,,,,,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=002230/adjust=qfq/source=sina/data.parquet,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=002230/adjust=qfq/source=sina/metadata.json
daily:002230:hfq,equity_daily,002230,A,hfq,,success,PASS,4357,2008-05-12,2026-08-24,2008-05-12,complete_to_verified_listing_date,,,sina,stock_zh_a_daily,1,sina,primary_connection_error;fallback_passed_strict_checks,connection_error,,,,,,,,,,,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=002230/adjust=hfq/source=sina/data.parquet,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=002230/adjust=hfq/source=sina/metadata.json
daily:600763:raw,equity_daily,600763,A,raw,,success,PASS,6805,1996-10-30,2026-08-24,1996-10-30,complete_to_verified_listing_date,,,sina,stock_zh_a_daily,1,sina,primary_connection_error;fallback_passed_strict_checks,connection_error,,,,,,,,,,,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=600763/adjust=raw/source=sina/data.parquet,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=600763/adjust=raw/source=sina/metadata.json
daily:600763:qfq,equity_daily,600763,A,qfq,,success,PASS,6805,1996-10-30,2026-08-24,1996-10-30,complete_to_verified_listing_date,,,sina,stock_zh_a_daily,1,sina,primary_connection_error;fallback_passed_strict_checks,connection_error,,,,,,,,,,,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=600763/adjust=qfq/source=sina/data.parquet,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=600763/adjust=qfq/source=sina/metadata.json
daily:600763:hfq,equity_daily,600763,A,hfq,,success,PASS,6805,1996-10-30,2026-08-24,1996-10-30,complete_to_verified_listing_date,,,sina,stock_zh_a_daily,1,sina,primary_connection_error;fallback_passed_strict_checks,connection_error,,,,,,,,,,,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=600763/adjust=hfq/source=sina/data.parquet,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=600763/adjust=hfq/source=sina/metadata.json
daily:603259:raw,equity_daily,603259,A,raw,,success,PASS,2016,2018-05-08,2026-08-24,2018-05-08,complete_to_verified_listing_date,,,sina,stock_zh_a_daily,1,sina,primary_connection_error;fallback_passed_strict_checks,connection_error,,,,,,,,,,,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=603259/adjust=raw/source=sina/data.parquet,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=603259/adjust=raw/source=sina/metadata.json
daily:603259:qfq,equity_daily,603259,A,qfq,,success,PASS,2016,2018-05-08,2026-08-24,2018-05-08,complete_to_verified_listing_date,,,sina,stock_zh_a_daily,1,sina,primary_connection_error;fallback_passed_strict_checks,connection_error,,,,,,,,,,,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=603259/adjust=qfq/source=sina/data.parquet,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=603259/adjust=qfq/source=sina/metadata.json
daily:603259:hfq,equity_daily,603259,A,hfq,,success,PASS,2016,2018-05-08,2026-08-24,2018-05-08,complete_to_verified_listing_date,,,sina,stock_zh_a_daily,1,sina,primary_connection_error;fallback_passed_strict_checks,connection_error,,,,,,,,,,,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=603259/adjust=hfq/source=sina/data.parquet,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=603259/adjust=hfq/source=sina/metadata.json
daily:603799:raw,equity_daily,603799,A,raw,,success,PASS,2777,2015-01-29,2026-08-24,2015-01-29,complete_to_verified_listing_date,,,sina,stock_zh_a_daily,1,sina,primary_connection_error;fallback_passed_strict_checks,connection_error,,,,,,,,,,,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=603799/adjust=raw/source=sina/data.parquet,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=603799/adjust=raw/source=sina/metadata.json
