dataset_id,kind,symbol,market,adjust,interval,status,quality_status,row_count,min_value,max_value,listing_date,coverage_status,error_type,error_message,source,interface,attempt_count,selected_source,selection_reason,trigger_reason,blocker_category,selected_provider,selected_interface,provider_attempts,quality_result,coverage_result,requested_response_keys,used_response_keys,response_field_fallback,qfq_hfq_identical,data_path,metadata_path
profile:002067,equity_profile,002067,A,,,success,PASS,1,,,2006-09-15,,,,,,0,,,,,,,,,,,,,,data/raw/stage17/equity_profile/run_id=68dcbbe5-e065-4737-8688-f909d9f74dc9/market=A/symbol=002067/data.parquet,data/raw/stage17/equity_profile/run_id=68dcbbe5-e065-4737-8688-f909d9f74dc9/market=A/symbol=002067/metadata.json
profile:002600,equity_profile,002600,A,,,success,PASS,1,,,2011-07-15,,,,,,0,,,,,,,,,,,,,,data/raw/stage17/equity_profile/run_id=68dcbbe5-e065-4737-8688-f909d9f74dc9/market=A/symbol=002600/data.parquet,data/raw/stage17/equity_profile/run_id=68dcbbe5-e065-4737-8688-f909d9f74dc9/market=A/symbol=002600/metadata.json
profile:002230,equity_profile,002230,A,,,success,PASS,1,,,2008-05-12,,,,,,0,,,,,,,,,,,,,,data/raw/stage17/equity_profile/run_id=68dcbbe5-e065-4737-8688-f909d9f74dc9/market=A/symbol=002230/data.parquet,data/raw/stage17/equity_profile/run_id=68dcbbe5-e065-4737-8688-f909d9f74dc9/market=A/symbol=002230/metadata.json
profile:600763,equity_profile,600763,A,,,success,PASS,1,,,1996-10-30,,,,,,0,,,,,,,,,,,,,,data/raw/stage17/equity_profile/run_id=68dcbbe5-e065-4737-8688-f909d9f74dc9/market=A/symbol=600763/data.parquet,data/raw/stage17/equity_profile/run_id=68dcbbe5-e065-4737-8688-f909d9f74dc9/market=A/symbol=600763/metadata.json
profile:603259,equity_profile,603259,A,,,success,PASS,1,,,2018-05-08,,,,,,0,,,,,,,,,,,,,,data/raw/stage17/equity_profile/run_id=68dcbbe5-e065-4737-8688-f909d9f74dc9/market=A/symbol=603259/data.parquet,data/raw/stage17/equity_profile/run_id=68dcbbe5-e065-4737-8688-f909d9f74dc9/market=A/symbol=603259/metadata.json
profile:603799,equity_profile,603799,A,,,success,PASS,1,,,2015-01-29,,,,,,0,,,,,,,,,,,,,,data/raw/stage17/equity_profile/run_id=68dcbbe5-e065-4737-8688-f909d9f74dc9/market=A/symbol=603799/data.parquet,data/raw/stage17/equity_profile/run_id=68dcbbe5-e065-4737-8688-f909d9f74dc9/market=A/symbol=603799/metadata.json
profile:601012,equity_profile,601012,A,,,success,PASS,1,,,2012-04-11,,,,,,0,,,,,,,,,,,,,,data/raw/stage17/equity_profile/run_id=68dcbbe5-e065-4737-8688-f909d9f74dc9/market=A/symbol=601012/data.parquet,data/raw/stage17/equity_profile/run_id=68dcbbe5-e065-4737-8688-f909d9f74dc9/market=A/symbol=601012/metadata.json
profile:600438,equity_profile,600438,A,,,success,PASS,1,,,2004-03-02,,,,,,0,,,,,,,,,,,,,,data/raw/stage17/equity_profile/run_id=68dcbbe5-e065-4737-8688-f909d9f74dc9/market=A/symbol=600438/data.parquet,data/raw/stage17/equity_profile/run_id=68dcbbe5-e065-4737-8688-f909d9f74dc9/market=A/symbol=600438/metadata.json
profile:002361,equity_profile,002361,A,,,success,PASS,1,,,2010-03-03,,,,,,0,,,,,,,,,,,,,,data/raw/stage17/equity_profile/run_id=68dcbbe5-e065-4737-8688-f909d9f74dc9/market=A/symbol=002361/data.parquet,data/raw/stage17/equity_profile/run_id=68dcbbe5-e065-4737-8688-f909d9f74dc9/market=A/symbol=002361/metadata.json
profile:601500,equity_profile,601500,A,,,success,PASS,1,,,2016-09-19,,,,,,0,,,,,,,,,,,,,,data/raw/stage17/equity_profile/run_id=68dcbbe5-e065-4737-8688-f909d9f74dc9/market=A/symbol=601500/data.parquet,data/raw/stage17/equity_profile/run_id=68dcbbe5-e065-4737-8688-f909d9f74dc9/market=A/symbol=601500/metadata.json
