dataset_id,kind,symbol,market,adjust,interval,status,quality_status,row_count,min_value,max_value,listing_date,coverage_status,error_type,error_message,data_path,metadata_path
profile:002067,equity_profile,002067,A,,,success,PASS,1,,,2001-09-26,,,,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002067/data.parquet,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002067/metadata.json
profile:002600,equity_profile,002600,A,,,success,UNAVAILABLE,1,,,,,,listing_date_unavailable,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002600/data.parquet,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002600/metadata.json
profile:002230,equity_profile,002230,A,,,success,UNAVAILABLE,1,,,,,,listing_date_unavailable,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002230/data.parquet,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002230/metadata.json
profile:600763,equity_profile,600763,A,,,success,PASS,1,,,1995-08-30,,,,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=600763/data.parquet,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=600763/metadata.json
profile:603259,equity_profile,603259,A,,,success,UNAVAILABLE,1,,,,,,listing_date_unavailable,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=603259/data.parquet,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=603259/metadata.json
profile:603799,equity_profile,603799,A,,,success,UNAVAILABLE,1,,,,,,listing_date_unavailable,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=603799/data.parquet,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=603799/metadata.json
profile:601012,equity_profile,601012,A,,,success,UNAVAILABLE,1,,,,,,listing_date_unavailable,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=601012/data.parquet,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=601012/metadata.json
profile:600438,equity_profile,600438,A,,,success,UNAVAILABLE,1,,,,,,listing_date_unavailable,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=600438/data.parquet,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=600438/metadata.json
profile:002361,equity_profile,002361,A,,,success,UNAVAILABLE,1,,,,,,listing_date_unavailable,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002361/data.parquet,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002361/metadata.json
profile:601500,equity_profile,601500,A,,,success,UNAVAILABLE,1,,,,,,listing_date_unavailable,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=601500/data.parquet,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=601500/metadata.json
profile:600231,equity_profile,600231,A,,,success,UNAVAILABLE,1,,,,,,listing_date_unavailable,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=600231/data.parquet,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=600231/metadata.json
profile:300274,equity_profile,300274,A,,,success,UNAVAILABLE,1,,,,,,listing_date_unavailable,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=300274/data.parquet,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=300274/metadata.json
profile:601636,equity_profile,601636,A,,,success,UNAVAILABLE,1,,,,,,listing_date_unavailable,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=601636/data.parquet,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=601636/metadata.json
profile:002129,equity_profile,002129,A,,,success,UNAVAILABLE,1,,,,,,listing_date_unavailable,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002129/data.parquet,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002129/metadata.json
profile:000100,equity_profile,000100,A,,,success,UNAVAILABLE,1,,,,,,listing_date_unavailable,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=000100/data.parquet,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=000100/metadata.json
profile:300433,equity_profile,300433,A,,,success,UNAVAILABLE,1,,,,,,listing_date_unavailable,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=300433/data.parquet,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=300433/metadata.json
profile:02180.HK,equity_profile,02180.HK,HK,,,success,UNAVAILABLE,1,,,,,,listing_date_unavailable,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=HK/symbol=02180.HK/data.parquet,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=HK/symbol=02180.HK/metadata.json
profile:08365.HK,equity_profile,08365.HK,HK,,,success,UNAVAILABLE,1,,,,,,listing_date_unavailable,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=HK/symbol=08365.HK/data.parquet,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=HK/symbol=08365.HK/metadata.json
profile:08462.HK,equity_profile,08462.HK,HK,,,success,UNAVAILABLE,1,,,,,,listing_date_unavailable,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=HK/symbol=08462.HK/data.parquet,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=HK/symbol=08462.HK/metadata.json
profile:02076.HK,equity_profile,02076.HK,HK,,,success,UNAVAILABLE,1,,,,,,listing_date_unavailable,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=HK/symbol=02076.HK/data.parquet,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=HK/symbol=02076.HK/metadata.json
profile:06100.HK,equity_profile,06100.HK,HK,,,success,UNAVAILABLE,1,,,,,,listing_date_unavailable,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=HK/symbol=06100.HK/data.parquet,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=HK/symbol=06100.HK/metadata.json
profile:06919.HK,equity_profile,06919.HK,HK,,,success,UNAVAILABLE,1,,,,,,listing_date_unavailable,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=HK/symbol=06919.HK/data.parquet,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=HK/symbol=06919.HK/metadata.json
profile:09669.HK,equity_profile,09669.HK,HK,,,success,UNAVAILABLE,1,,,,,,listing_date_unavailable,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=HK/symbol=09669.HK/data.parquet,data/raw/stage17/equity_profile/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=HK/symbol=09669.HK/metadata.json
daily:002067:raw,equity_daily,002067,A,raw,,success,PASS,4808,2006-09-15,2026-08-24,2001-09-26,provider_history_shorter_than_listing,,,data/raw/stage17/equity_daily/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002067/adjust=raw/data.parquet,data/raw/stage17/equity_daily/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002067/adjust=raw/metadata.json
daily:002067:qfq,equity_daily,002067,A,qfq,,success,PASS,4808,2006-09-15,2026-08-24,2001-09-26,provider_history_shorter_than_listing,,,data/raw/stage17/equity_daily/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002067/adjust=qfq/data.parquet,data/raw/stage17/equity_daily/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002067/adjust=qfq/metadata.json
daily:002067:hfq,equity_daily,002067,A,hfq,,success,PASS,4808,2006-09-15,2026-08-24,2001-09-26,provider_history_shorter_than_listing,,,data/raw/stage17/equity_daily/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002067/adjust=hfq/data.parquet,data/raw/stage17/equity_daily/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002067/adjust=hfq/metadata.json
daily:002600:raw,equity_daily,002600,A,raw,,success,PASS,3414,2011-07-15,2026-08-24,,listing_date_unavailable,,,data/raw/stage17/equity_daily/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002600/adjust=raw/data.parquet,data/raw/stage17/equity_daily/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002600/adjust=raw/metadata.json
daily:002600:qfq,equity_daily,002600,A,qfq,,success,PASS,3414,2011-07-15,2026-08-24,,listing_date_unavailable,,,data/raw/stage17/equity_daily/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002600/adjust=qfq/data.parquet,data/raw/stage17/equity_daily/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002600/adjust=qfq/metadata.json
daily:002600:hfq,equity_daily,002600,A,hfq,,success,PASS,3414,2011-07-15,2026-08-24,,listing_date_unavailable,,,data/raw/stage17/equity_daily/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002600/adjust=hfq/data.parquet,data/raw/stage17/equity_daily/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002600/adjust=hfq/metadata.json
daily:002230:raw,equity_daily,002230,A,raw,,success,PASS,4357,2008-05-12,2026-08-24,,listing_date_unavailable,,,data/raw/stage17/equity_daily/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002230/adjust=raw/data.parquet,data/raw/stage17/equity_daily/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002230/adjust=raw/metadata.json
daily:002230:qfq,equity_daily,002230,A,qfq,,success,FAIL,4357,2008-05-12,2026-08-24,,listing_date_unavailable,,negative_market_value,data/raw/stage17/equity_daily/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002230/adjust=qfq/data.parquet,data/raw/stage17/equity_daily/run_id=9a0c3c18-5b7d-4d58-a719-172026082424/market=A/symbol=002230/adjust=qfq/metadata.json
