dataset_id,check_name,status,detail
profile:002067,dataset_quality,PASS,
profile:002600,dataset_quality,UNAVAILABLE,listing_date_unavailable
profile:002230,dataset_quality,UNAVAILABLE,listing_date_unavailable
profile:600763,dataset_quality,PASS,
profile:603259,dataset_quality,UNAVAILABLE,listing_date_unavailable
profile:603799,dataset_quality,UNAVAILABLE,listing_date_unavailable
profile:601012,dataset_quality,UNAVAILABLE,listing_date_unavailable
profile:600438,dataset_quality,UNAVAILABLE,listing_date_unavailable
profile:002361,dataset_quality,UNAVAILABLE,listing_date_unavailable
profile:601500,dataset_quality,UNAVAILABLE,listing_date_unavailable
profile:600231,dataset_quality,UNAVAILABLE,listing_date_unavailable
profile:300274,dataset_quality,UNAVAILABLE,listing_date_unavailable
profile:601636,dataset_quality,UNAVAILABLE,listing_date_unavailable
profile:002129,dataset_quality,UNAVAILABLE,listing_date_unavailable
profile:000100,dataset_quality,UNAVAILABLE,listing_date_unavailable
profile:300433,dataset_quality,UNAVAILABLE,listing_date_unavailable
profile:02180.HK,dataset_quality,UNAVAILABLE,listing_date_unavailable
profile:08365.HK,dataset_quality,UNAVAILABLE,listing_date_unavailable
profile:08462.HK,dataset_quality,UNAVAILABLE,listing_date_unavailable
profile:02076.HK,dataset_quality,UNAVAILABLE,listing_date_unavailable
profile:06100.HK,dataset_quality,UNAVAILABLE,listing_date_unavailable
profile:06919.HK,dataset_quality,UNAVAILABLE,listing_date_unavailable
profile:09669.HK,dataset_quality,UNAVAILABLE,listing_date_unavailable
daily:002067:raw,dataset_quality,PASS,
daily:002067:qfq,dataset_quality,PASS,
daily:002067:hfq,dataset_quality,PASS,
daily:002600:raw,dataset_quality,PASS,
daily:002600:qfq,dataset_quality,PASS,
daily:002600:hfq,dataset_quality,PASS,
daily:002230:raw,dataset_quality,PASS,
daily:002230:qfq,dataset_quality,FAIL,negative_market_value
daily:002230:hfq,dataset_quality,PASS,
daily:600763:raw,dataset_quality,PASS,
daily:600763:qfq,dataset_quality,FAIL,negative_market_value
daily:600763:hfq,dataset_quality,PASS,
daily:603259:raw,dataset_quality,PASS,
daily:603259:qfq,dataset_quality,PASS,
daily:603259:hfq,dataset_quality,FAIL,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3"
daily:603799:raw,dataset_quality,FAIL,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3"
