feature_name,market,feature_status,row_count,status
debt_to_asset,A,PASS,16,PASS
debt_to_asset,HK,UNAVAILABLE,7,PASS
net_margin,A,PASS,16,PASS
net_margin,HK,UNAVAILABLE,7,PASS
net_profit,A,PASS,16,PASS
net_profit,HK,UNAVAILABLE,7,PASS
net_profit_yoy,A,PASS,16,PASS
net_profit_yoy,HK,UNAVAILABLE,7,PASS
ocf_to_net_profit,A,PASS,16,PASS
ocf_to_net_profit,HK,UNAVAILABLE,7,PASS
operating_cash_flow,A,PASS,16,PASS
operating_cash_flow,HK,UNAVAILABLE,7,PASS
revenue,A,PASS,16,PASS
revenue,HK,UNAVAILABLE,7,PASS
revenue_yoy,A,PASS,16,PASS
revenue_yoy,HK,UNAVAILABLE,7,PASS
roa,A,PASS,5,PASS
roa,A,UNAVAILABLE,11,PASS
roa,HK,UNAVAILABLE,7,PASS
roe,A,PASS,5,PASS
roe,A,UNAVAILABLE,11,PASS
roe,HK,UNAVAILABLE,7,PASS
total_assets,A,PASS,16,PASS
total_assets,HK,UNAVAILABLE,7,PASS
total_equity,A,PASS,16,PASS
total_equity,HK,UNAVAILABLE,7,PASS
