feature_name,formula,required_source_fields,preferred_statement,period_semantics,currency_requirement,pit_requirement,null_policy,division_by_zero_policy,output_unit
revenue,latest PIT revenue normalized_value,"[""revenue""]",fact_income_statement,latest_available_report_period,single_currency,PIT_ELIGIBLE and eligible=true,UNAVAILABLE,not_applicable,currency
net_profit,latest PIT net_profit normalized_value,"[""net_profit""]",fact_income_statement,latest_available_report_period,single_currency,PIT_ELIGIBLE and eligible=true,UNAVAILABLE,not_applicable,currency
total_assets,latest PIT total_assets normalized_value,"[""total_assets""]",fact_balance_sheet,latest_available_report_period,single_currency,PIT_ELIGIBLE and eligible=true,UNAVAILABLE,not_applicable,currency
total_equity,latest PIT net_assets normalized_value,"[""net_assets""]",fact_balance_sheet,latest_available_report_period,single_currency,PIT_ELIGIBLE and eligible=true,UNAVAILABLE,not_applicable,currency
operating_cash_flow,latest PIT operating_cash_flow normalized_value,"[""operating_cash_flow""]",fact_cash_flow_statement,latest_available_report_period cumulative,single_currency,PIT_ELIGIBLE and eligible=true,UNAVAILABLE,not_applicable,currency
revenue_yoy,revenue(t)/revenue(t-1 same fiscal_period)-1,"[""revenue""]",fact_income_statement,same_fiscal_period_prior_year,same_currency,both inputs PIT_ELIGIBLE and eligible=true,UNAVAILABLE,UNAVAILABLE,ratio
net_profit_yoy,net_profit(t)/net_profit(t-1 same fiscal_period)-1,"[""net_profit""]",fact_income_statement,same_fiscal_period_prior_year,same_currency,both inputs PIT_ELIGIBLE and eligible=true,UNAVAILABLE,UNAVAILABLE,ratio
net_margin,net_profit/revenue at same report period,"[""net_profit"",""revenue""]",fact_income_statement,same_report_period cumulative,same_currency,all inputs PIT_ELIGIBLE and eligible=true,UNAVAILABLE,UNAVAILABLE,ratio
roa,"annual net_profit/average(current FY total_assets,prior FY total_assets)","[""net_profit"",""total_assets""]",fact_income_statement+fact_balance_sheet,latest FY with prior comparable FY balance,same_currency,all inputs PIT_ELIGIBLE and eligible=true,UNAVAILABLE,UNAVAILABLE,ratio
roe,"annual parent_net_profit/average(current FY parent_equity,prior FY parent_equity)","[""parent_net_profit"",""parent_equity""]",fact_income_statement+fact_balance_sheet,latest FY with prior comparable FY balance,same_currency,all inputs PIT_ELIGIBLE and eligible=true,UNAVAILABLE,UNAVAILABLE,ratio
debt_to_asset,total_liabilities/total_assets at same report period,"[""total_liabilities"",""total_assets""]",fact_balance_sheet,same_report_period stock values,same_currency,all inputs PIT_ELIGIBLE and eligible=true,UNAVAILABLE,UNAVAILABLE,ratio
ocf_to_net_profit,operating_cash_flow/net_profit at same report period,"[""operating_cash_flow"",""net_profit""]",fact_cash_flow_statement+fact_income_statement,same_report_period cumulative,same_currency,all inputs PIT_ELIGIBLE and eligible=true,UNAVAILABLE,UNAVAILABLE,ratio
