symbol,market,financial_abstract,financial_indicator,balance_sheet,income_statement,cash_flow_statement,valuation_snapshot
000100,A,PASS,PASS,FAIL,FAIL,FAIL,PASS
002067,A,PASS,PASS,FAIL,FAIL,FAIL,PASS
002129,A,PASS,PASS,FAIL,FAIL,FAIL,PASS
002230,A,PASS,PASS,FAIL,FAIL,FAIL,PASS
002361,A,PASS,PASS,FAIL,FAIL,FAIL,PASS
002600,A,PASS,PASS,FAIL,FAIL,FAIL,PASS
300274,A,PASS,PASS,FAIL,FAIL,FAIL,PASS
300433,A,PASS,PASS,FAIL,FAIL,FAIL,PASS
600231,A,PASS,PASS,FAIL,FAIL,FAIL,PASS
600438,A,PASS,PASS,FAIL,FAIL,FAIL,PASS
600763,A,PASS,PASS,FAIL,FAIL,FAIL,PASS
601012,A,PASS,PASS,FAIL,FAIL,FAIL,PASS
601500,A,PASS,PASS,FAIL,FAIL,FAIL,PASS
601636,A,PASS,PASS,FAIL,FAIL,FAIL,PASS
603259,A,PASS,PASS,FAIL,FAIL,FAIL,PASS
603799,A,PASS,PASS,FAIL,FAIL,FAIL,PASS
02076.HK,HK,NOT_PLANNED,PASS,PASS,PASS,PASS,PASS
02180.HK,HK,NOT_PLANNED,PASS,PASS,PASS,PASS,PASS
06100.HK,HK,NOT_PLANNED,PASS,PASS,PASS,PASS,PASS
06919.HK,HK,NOT_PLANNED,PASS,PASS,PASS,PASS,PASS
08365.HK,HK,NOT_PLANNED,PASS,PASS,PASS,PASS,PASS
08462.HK,HK,NOT_PLANNED,PASS,PASS,PASS,PASS,PASS
09669.HK,HK,NOT_PLANNED,PASS,PASS,PASS,PASS,PASS
