check_name,status,observed,expected
security_scope,PASS,23,23
collection_plan_closed_set,PASS,175,175
all_plan_units_terminal,PASS,175,175
fail_count,BLOCKED,48,0
blocked_count,PASS,0,0
successful_raw_nonempty,PASS,127,127
successful_raw_hash,PASS,true,true
raw_metadata_identity,PASS,175,175
snapshot_time_governance,PASS,true,true
raw_closed_world,BLOCKED,350,302
temporary_files,PASS,0,0
stage0_hash_unchanged,PASS,"{""config/universe.yml"": ""0b6f61d43e753945b7e7931d27359e34a199891eac3f7d59f29c9d17efccec65"", ""config/metric_definition.yml"": ""13f9415d3e55aacc91e9913652d6e6520d9c681ac3043f09409602c44b5c00c4"", ""docs/stage0_scope.md"": ""18eeec59594b2cca67cfc7e7f137855ed2b1f018c10623e426340188ac761615""}","{""config/universe.yml"": ""0b6f61d43e753945b7e7931d27359e34a199891eac3f7d59f29c9d17efccec65"", ""config/metric_definition.yml"": ""13f9415d3e55aacc91e9913652d6e6520d9c681ac3043f09409602c44b5c00c4"", ""docs/stage0_scope.md"": ""18eeec59594b2cca67cfc7e7f137855ed2b1f018c10623e426340188ac761615""}"
stage17_raw_unchanged,PASS,"{""manifest_path"": ""reports/stage17/4a5599fb-9e60-4013-9c0c-69fcc25a98b2/stage17_manifest.json"", ""manifest_sha256"": ""199172c5019e99f32c08d7e90fee50905331ab51061b73a5975f061e384565c5"", ""raw_file_count"": 196, ""raw_tree_sha256"": ""7db5f0df122e131cd3b4902586a0a5c857afdc389c7186051abb0348831086fb""}","{""manifest_path"": ""reports/stage17/4a5599fb-9e60-4013-9c0c-69fcc25a98b2/stage17_manifest.json"", ""manifest_sha256"": ""199172c5019e99f32c08d7e90fee50905331ab51061b73a5975f061e384565c5"", ""raw_file_count"": 196, ""raw_tree_sha256"": ""7db5f0df122e131cd3b4902586a0a5c857afdc389c7186051abb0348831086fb""}"
stage18_1_audit_unchanged,PASS,"{""run_id"": ""4915ea1b-2e00-4a34-a743-d35dfcb66fe2"", ""run_sha256"": ""bffc7463bd64a65ff8a6ab3a7a81bf45c0b219cbc6dc19755314271fd09b0267"", ""manifest_sha256"": ""e64e0ba7e1668c61c630f346c32e73b4b6e27eb348635aa739f87d714f187457"", ""file_count"": 81, ""tree_sha256"": ""752d6ad3ea9d0a21e64ca05f3e82ec2e5c4d0e7170acfbe9ad3366274d8ac95c""}","{""run_id"": ""4915ea1b-2e00-4a34-a743-d35dfcb66fe2"", ""run_sha256"": ""bffc7463bd64a65ff8a6ab3a7a81bf45c0b219cbc6dc19755314271fd09b0267"", ""manifest_sha256"": ""e64e0ba7e1668c61c630f346c32e73b4b6e27eb348635aa739f87d714f187457"", ""file_count"": 81, ""tree_sha256"": ""752d6ad3ea9d0a21e64ca05f3e82ec2e5c4d0e7170acfbe9ad3366274d8ac95c""}"
downstream_assets_unchanged,PASS,"{""data/clean/stage18"": {""file_count"": 0, ""tree_sha256"": ""4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945""}, ""data/features/stage18"": {""file_count"": 0, ""tree_sha256"": ""4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945""}, ""database/stage18"": {""file_count"": 0, ""tree_sha256"": ""4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945""}, ""data/raw/stage19"": {""file_count"": 0, ""tree_sha256"": ""4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945""}, ""reports/stage19"": {""file_count"": 0, ""tree_sha256"": ""4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945""}}","{""data/clean/stage18"": {""file_count"": 0, ""tree_sha256"": ""4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945""}, ""data/features/stage18"": {""file_count"": 0, ""tree_sha256"": ""4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945""}, ""database/stage18"": {""file_count"": 0, ""tree_sha256"": ""4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945""}, ""data/raw/stage19"": {""file_count"": 0, ""tree_sha256"": ""4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945""}, ""reports/stage19"": {""file_count"": 0, ""tree_sha256"": ""4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945""}}"
