market,category,source_field,canonical_name,mapping_status,configured_unit
A,balance_sheet,ACCEPT_DEPOSIT_INTERBANK,provider_field_a4f45af7b6391e04,PASSTHROUGH_STANDARDIZED,inferred
A,balance_sheet,ACCEPT_DEPOSIT_INTERBANK_YOY,provider_field_079446dbc3b5c356,PASSTHROUGH_STANDARDIZED,inferred
A,balance_sheet,ACCOUNTS_PAYABLE,provider_field_73877cad56f11fd0,PASSTHROUGH_STANDARDIZED,inferred
A,balance_sheet,ACCOUNTS_PAYABLE_YOY,provider_field_64f9a11782d8c6c1,PASSTHROUGH_STANDARDIZED,inferred
A,balance_sheet,ACCOUNTS_RECE,provider_field_f29f059d245b7de4,PASSTHROUGH_STANDARDIZED,inferred
A,balance_sheet,ACCOUNTS_RECE_YOY,provider_field_75bcd1a57f06ef5a,PASSTHROUGH_STANDARDIZED,inferred
A,balance_sheet,ACCRUED_EXPENSE,provider_field_3f5d5447d191ec26,PASSTHROUGH_STANDARDIZED,inferred
A,balance_sheet,ADVANCE_RECEIVABLES,provider_field_87a51b9f52119d04,PASSTHROUGH_STANDARDIZED,inferred
A,balance_sheet,ADVANCE_RECEIVABLES_YOY,provider_field_e03a2e85d9ee514b,PASSTHROUGH_STANDARDIZED,inferred
A,balance_sheet,AGENT_TRADE_SECURITY,provider_field_77a102a9ca3ece25,PASSTHROUGH_STANDARDIZED,inferred
A,balance_sheet,AGENT_UNDERWRITE_SECURITY,provider_field_359356ea06b54d4d,PASSTHROUGH_STANDARDIZED,inferred
A,balance_sheet,ASSET_BALANCE,provider_field_8cd9eac95b44383b,PASSTHROUGH_STANDARDIZED,inferred
A,balance_sheet,ASSET_BALANCE_YOY,provider_field_7546535cce2bc3eb,PASSTHROUGH_STANDARDIZED,inferred
A,balance_sheet,ASSET_OTHER,provider_field_09219a0750707dea,PASSTHROUGH_STANDARDIZED,inferred
A,balance_sheet,ASSIGN_CASH_DIVIDEND,provider_field_deddbc7257b00fee,PASSTHROUGH_STANDARDIZED,inferred
A,balance_sheet,AVAILABLE_SALE_FINASSET,provider_field_ca539bc25beea0eb,PASSTHROUGH_STANDARDIZED,inferred
A,balance_sheet,AVAILABLE_SALE_FINASSET_YOY,provider_field_29a2ebffdffd1751,PASSTHROUGH_STANDARDIZED,inferred
A,balance_sheet,BOND_PAYABLE,provider_field_6ae23969d93b8b39,PASSTHROUGH_STANDARDIZED,inferred
A,balance_sheet,BOND_PAYABLE_YOY,provider_field_c6f1f223ec430fc1,PASSTHROUGH_STANDARDIZED,inferred
A,balance_sheet,BORROW_FUND,provider_field_53c00ddef06f2770,PASSTHROUGH_STANDARDIZED,inferred
A,balance_sheet,BORROW_FUND_YOY,provider_field_4c04d66e6e05c84d,PASSTHROUGH_STANDARDIZED,inferred
A,balance_sheet,BUY_RESALE_FINASSET,provider_field_939c8f4e4a5dc6ae,PASSTHROUGH_STANDARDIZED,inferred
A,balance_sheet,CAPITAL_RESERVE,provider_field_c95d12b1826afd3b,PASSTHROUGH_STANDARDIZED,inferred
