market,category,pit_status,eligible_for_as_of_date_analysis,row_count
A,balance_sheet,FUTURE_AS_OF_DATE,False,1263
A,balance_sheet,PIT_ELIGIBLE,True,117196
A,balance_sheet,UPDATE_AFTER_AS_OF_DATE,False,1384
A,cash_flow_statement,FUTURE_AS_OF_DATE,False,1294
A,cash_flow_statement,PIT_ELIGIBLE,True,103192
A,cash_flow_statement,UPDATE_AFTER_AS_OF_DATE,False,1535
A,financial_abstract,ANNOUNCEMENT_DATE_UNAVAILABLE,False,79917
A,financial_indicator,ANNOUNCEMENT_DATE_UNAVAILABLE,False,76021
A,income_statement,FUTURE_AS_OF_DATE,False,837
A,income_statement,PIT_ELIGIBLE,True,71598
A,income_statement,UPDATE_AFTER_AS_OF_DATE,False,989
A,valuation_snapshot,SNAPSHOT_NOT_BASELINE,False,16
HK,balance_sheet,ANNOUNCEMENT_DATE_UNAVAILABLE,False,4368
HK,cash_flow_statement,ANNOUNCEMENT_DATE_UNAVAILABLE,False,3635
HK,financial_indicator,ANNOUNCEMENT_DATE_UNAVAILABLE,False,2461
HK,income_statement,ANNOUNCEMENT_DATE_UNAVAILABLE,False,3296
HK,valuation_snapshot,SNAPSHOT_NOT_BASELINE,False,7
