check_name,expected,observed,status
stage18_1_to_5_pass,1,1,PASS
feature_units,276,276,PASS
feature_pass,170,170,PASS
feature_unavailable,106,106,PASS
feature_fail,0,0,PASS
feature_blocked,0,0,PASS
unknown_unavailable_reasons,0,0,PASS
future_data_usage,0,0,PASS
announcement_inference,0,0,PASS
valuation_leakage,0,0,PASS
period_mismatch,0,0,PASS
valuation_rows,23,23,PASS
valuation_ineligible_rows,23,23,PASS
valuation_eligible_rows,0,0,PASS
database_hash_match,1,1,PASS
feature_hash_match,1,1,PASS
stage0_unchanged,1,1,PASS
formal_assets_unchanged,1,1,PASS
stage19_assets,0,0,PASS
temporary_residuals,0,0,PASS
feature_contract:feature_units,1,1,PASS
feature_contract:security_count,1,1,PASS
feature_contract:feature_count,1,1,PASS
feature_contract:pass_count,1,1,PASS
feature_contract:unavailable_count,1,1,PASS
feature_contract:fail_count,1,1,PASS
feature_contract:blocked_count,1,1,PASS
feature_contract:terminal_statuses,1,1,PASS
feature_contract:pass_value_and_lineage,1,1,PASS
feature_contract:unavailable_null_value,1,1,PASS
feature_contract:known_unavailable_reasons,1,1,PASS
feature_contract:a_ten_features_16_pass,1,1,PASS
feature_contract:a_roa_roe_5_11,1,1,PASS
feature_contract:hk_84_unavailable,1,1,PASS
feature_contract:valuation_source_excluded,1,1,PASS
feature_contract:as_of_date_frozen,1,1,PASS
