run_id,symbol,market,as_of_date,feature_name,feature_value,feature_status,unavailable_reason,formula,output_unit,period_semantics,source_report_date,source_announcement_date,source_update_date,source_report_dates,source_announcement_dates,source_update_dates,source_fields,source_tables,source_canonical_keys,source_run_ids,source_clean_run_ids,source_sha256s,source_currencies,source_periods,lineage_json,schema_version,downstream_policy
1bc599a7-17eb-4cc8-a543-8c0baaa7c3b8,002067,A,2026-07-27,roa,,UNAVAILABLE,ANNUAL_OR_PRIOR_BALANCE_UNAVAILABLE,"annual net_profit/average(current FY total_assets,prior FY total_assets)",ratio,latest FY with prior comparable FY balance,2025-12-31,2026-04-25,2026-04-25,"[""2025-12-31T00:00:00""]","[""2026-04-25T00:00:00""]","[""2026-04-25T00:00:00""]","[""NETPROFIT""]","[""fact_income_statement""]","[""002067|income_statement|2025-12-31|net_profit""]","[""df86486a-9a54-4920-a4db-2553f907af92""]","[""66bebf1c-8b64-42a6-a970-1dbf1ecb395f""]","[""134de1058d730af7cb7cf5ad2d522352c07559e120286c1c3449727ab28e2725""]","[""CNY""]","[""FY""]","[{""announcement_date"": ""2026-04-25T00:00:00"", ""canonical_key"": ""002067|income_statement|2025-12-31|net_profit"", ""canonical_name"": ""net_profit"", ""clean_run_id"": ""66bebf1c-8b64-42a6-a970-1dbf1ecb395f"", ""currency"": ""CNY"", ""fiscal_period"": ""FY"", ""pit_status"": ""PIT_ELIGIBLE"", ""report_date"": ""2025-12-31T00:00:00"", ""source_field"": ""NETPROFIT"", ""source_run_id"": ""df86486a-9a54-4920-a4db-2553f907af92"", ""source_sha256"": ""134de1058d730af7cb7cf5ad2d522352c07559e120286c1c3449727ab28e2725"", ""source_table"": ""fact_income_statement"", ""update_date"": ""2026-04-25T00:00:00""}]",fundamental_feature_long_v1,PRESERVE_NULL_UNAVAILABLE
1bc599a7-17eb-4cc8-a543-8c0baaa7c3b8,002067,A,2026-07-27,roe,,UNAVAILABLE,ANNUAL_OR_PRIOR_BALANCE_UNAVAILABLE,"annual parent_net_profit/average(current FY parent_equity,prior FY parent_equity)",ratio,latest FY with prior comparable FY balance,2025-12-31,2026-04-25,2026-04-25,"[""2025-12-31T00:00:00""]","[""2026-04-25T00:00:00""]","[""2026-04-25T00:00:00""]","[""PARENT_NETPROFIT""]","[""fact_income_statement""]","[""002067|income_statement|2025-12-31|parent_net_profit""]","[""df86486a-9a54-4920-a4db-2553f907af92""]","[""66bebf1c-8b64-42a6-a970-1dbf1ecb395f""]","[""134de1058d730af7cb7cf5ad2d522352c07559e120286c1c3449727ab28e2725""]","[""CNY""]","[""FY""]","[{""announcement_date"": ""2026-04-25T00:00:00"", ""canonical_key"": ""002067|income_statement|2025-12-31|parent_net_profit"", ""canonical_name"": ""parent_net_profit"", ""clean_run_id"": ""66bebf1c-8b64-42a6-a970-1dbf1ecb395f"", ""currency"": ""CNY"", ""fiscal_period"": ""FY"", ""pit_status"": ""PIT_ELIGIBLE"", ""report_date"": ""2025-12-31T00:00:00"", ""source_field"": ""PARENT_NETPROFIT"", ""source_run_id"": ""df86486a-9a54-4920-a4db-2553f907af92"", ""source_sha256"": ""134de1058d730af7cb7cf5ad2d522352c07559e120286c1c3449727ab28e2725"", ""source_table"": ""fact_income_statement"", ""update_date"": ""2026-04-25T00:00:00""}]",fundamental_feature_long_v1,PRESERVE_NULL_UNAVAILABLE
1bc599a7-17eb-4cc8-a543-8c0baaa7c3b8,002129,A,2026-07-27,roa,,UNAVAILABLE,ANNUAL_OR_PRIOR_BALANCE_UNAVAILABLE,"annual net_profit/average(current FY total_assets,prior FY total_assets)",ratio,latest FY with prior comparable FY balance,2025-12-31,2026-03-25,2026-03-25,"[""2025-12-31T00:00:00""]","[""2026-03-25T00:00:00""]","[""2026-03-25T00:00:00""]","[""NETPROFIT""]","[""fact_income_statement""]","[""002129|income_statement|2025-12-31|net_profit""]","[""df86486a-9a54-4920-a4db-2553f907af92""]","[""66bebf1c-8b64-42a6-a970-1dbf1ecb395f""]","[""724ef4671b72bb6d5893fb1934fa64941520c27c0004bde7b760cd422d91d330""]","[""CNY""]","[""FY""]","[{""announcement_date"": ""2026-03-25T00:00:00"", ""canonical_key"": ""002129|income_statement|2025-12-31|net_profit"", ""canonical_name"": ""net_profit"", ""clean_run_id"": ""66bebf1c-8b64-42a6-a970-1dbf1ecb395f"", ""currency"": ""CNY"", ""fiscal_period"": ""FY"", ""pit_status"": ""PIT_ELIGIBLE"", ""report_date"": ""2025-12-31T00:00:00"", ""source_field"": ""NETPROFIT"", ""source_run_id"": ""df86486a-9a54-4920-a4db-2553f907af92"", ""source_sha256"": ""724ef4671b72bb6d5893fb1934fa64941520c27c0004bde7b760cd422d91d330"", ""source_table"": ""fact_income_statement"", ""update_date"": ""2026-03-25T00:00:00""}]",fundamental_feature_long_v1,PRESERVE_NULL_UNAVAILABLE
1bc599a7-17eb-4cc8-a543-8c0baaa7c3b8,002129,A,2026-07-27,roe,,UNAVAILABLE,ANNUAL_OR_PRIOR_BALANCE_UNAVAILABLE,"annual parent_net_profit/average(current FY parent_equity,prior FY parent_equity)",ratio,latest FY with prior comparable FY balance,2025-12-31,2026-03-25,2026-03-25,"[""2025-12-31T00:00:00""]","[""2026-03-25T00:00:00""]","[""2026-03-25T00:00:00""]","[""PARENT_NETPROFIT""]","[""fact_income_statement""]","[""002129|income_statement|2025-12-31|parent_net_profit""]","[""df86486a-9a54-4920-a4db-2553f907af92""]","[""66bebf1c-8b64-42a6-a970-1dbf1ecb395f""]","[""724ef4671b72bb6d5893fb1934fa64941520c27c0004bde7b760cd422d91d330""]","[""CNY""]","[""FY""]","[{""announcement_date"": ""2026-03-25T00:00:00"", ""canonical_key"": ""002129|income_statement|2025-12-31|parent_net_profit"", ""canonical_name"": ""parent_net_profit"", ""clean_run_id"": ""66bebf1c-8b64-42a6-a970-1dbf1ecb395f"", ""currency"": ""CNY"", ""fiscal_period"": ""FY"", ""pit_status"": ""PIT_ELIGIBLE"", ""report_date"": ""2025-12-31T00:00:00"", ""source_field"": ""PARENT_NETPROFIT"", ""source_run_id"": ""df86486a-9a54-4920-a4db-2553f907af92"", ""source_sha256"": ""724ef4671b72bb6d5893fb1934fa64941520c27c0004bde7b760cd422d91d330"", ""source_table"": ""fact_income_statement"", ""update_date"": ""2026-03-25T00:00:00""}]",fundamental_feature_long_v1,PRESERVE_NULL_UNAVAILABLE
1bc599a7-17eb-4cc8-a543-8c0baaa7c3b8,002230,A,2026-07-27,roa,,UNAVAILABLE,ANNUAL_OR_PRIOR_BALANCE_UNAVAILABLE,"annual net_profit/average(current FY total_assets,prior FY total_assets)",ratio,latest FY with prior comparable FY balance,2025-12-31,2026-04-29,2026-04-29,"[""2025-12-31T00:00:00""]","[""2026-04-29T00:00:00""]","[""2026-04-29T00:00:00""]","[""NETPROFIT""]","[""fact_income_statement""]","[""002230|income_statement|2025-12-31|net_profit""]","[""df86486a-9a54-4920-a4db-2553f907af92""]","[""66bebf1c-8b64-42a6-a970-1dbf1ecb395f""]","[""5644e4156b502d77ef385ca0f779e9ad65767aa7109d51f49fb273d2368b4da5""]","[""CNY""]","[""FY""]","[{""announcement_date"": ""2026-04-29T00:00:00"", ""canonical_key"": ""002230|income_statement|2025-12-31|net_profit"", ""canonical_name"": ""net_profit"", ""clean_run_id"": ""66bebf1c-8b64-42a6-a970-1dbf1ecb395f"", ""currency"": ""CNY"", ""fiscal_period"": ""FY"", ""pit_status"": ""PIT_ELIGIBLE"", ""report_date"": ""2025-12-31T00:00:00"", ""source_field"": ""NETPROFIT"", ""source_run_id"": ""df86486a-9a54-4920-a4db-2553f907af92"", ""source_sha256"": ""5644e4156b502d77ef385ca0f779e9ad65767aa7109d51f49fb273d2368b4da5"", ""source_table"": ""fact_income_statement"", ""update_date"": ""2026-04-29T00:00:00""}]",fundamental_feature_long_v1,PRESERVE_NULL_UNAVAILABLE
1bc599a7-17eb-4cc8-a543-8c0baaa7c3b8,002230,A,2026-07-27,roe,,UNAVAILABLE,ANNUAL_OR_PRIOR_BALANCE_UNAVAILABLE,"annual parent_net_profit/average(current FY parent_equity,prior FY parent_equity)",ratio,latest FY with prior comparable FY balance,2025-12-31,2026-04-29,2026-04-29,"[""2025-12-31T00:00:00""]","[""2026-04-29T00:00:00""]","[""2026-04-29T00:00:00""]","[""PARENT_NETPROFIT""]","[""fact_income_statement""]","[""002230|income_statement|2025-12-31|parent_net_profit""]","[""df86486a-9a54-4920-a4db-2553f907af92""]","[""66bebf1c-8b64-42a6-a970-1dbf1ecb395f""]","[""5644e4156b502d77ef385ca0f779e9ad65767aa7109d51f49fb273d2368b4da5""]","[""CNY""]","[""FY""]","[{""announcement_date"": ""2026-04-29T00:00:00"", ""canonical_key"": ""002230|income_statement|2025-12-31|parent_net_profit"", ""canonical_name"": ""parent_net_profit"", ""clean_run_id"": ""66bebf1c-8b64-42a6-a970-1dbf1ecb395f"", ""currency"": ""CNY"", ""fiscal_period"": ""FY"", ""pit_status"": ""PIT_ELIGIBLE"", ""report_date"": ""2025-12-31T00:00:00"", ""source_field"": ""PARENT_NETPROFIT"", ""source_run_id"": ""df86486a-9a54-4920-a4db-2553f907af92"", ""source_sha256"": ""5644e4156b502d77ef385ca0f779e9ad65767aa7109d51f49fb273d2368b4da5"", ""source_table"": ""fact_income_statement"", ""update_date"": ""2026-04-29T00:00:00""}]",fundamental_feature_long_v1,PRESERVE_NULL_UNAVAILABLE
1bc599a7-17eb-4cc8-a543-8c0baaa7c3b8,002361,A,2026-07-27,roa,,UNAVAILABLE,ANNUAL_OR_PRIOR_BALANCE_UNAVAILABLE,"annual net_profit/average(current FY total_assets,prior FY total_assets)",ratio,latest FY with prior comparable FY balance,2025-12-31,2026-04-28,2026-04-28,"[""2025-12-31T00:00:00""]","[""2026-04-28T00:00:00""]","[""2026-04-28T00:00:00""]","[""NETPROFIT""]","[""fact_income_statement""]","[""002361|income_statement|2025-12-31|net_profit""]","[""df86486a-9a54-4920-a4db-2553f907af92""]","[""66bebf1c-8b64-42a6-a970-1dbf1ecb395f""]","[""f9f61036a17e867243d3f024532512ae8dd0cf5e4b3d0458a1d9e14d32d02f5d""]","[""CNY""]","[""FY""]","[{""announcement_date"": ""2026-04-28T00:00:00"", ""canonical_key"": ""002361|income_statement|2025-12-31|net_profit"", ""canonical_name"": ""net_profit"", ""clean_run_id"": ""66bebf1c-8b64-42a6-a970-1dbf1ecb395f"", ""currency"": ""CNY"", ""fiscal_period"": ""FY"", ""pit_status"": ""PIT_ELIGIBLE"", ""report_date"": ""2025-12-31T00:00:00"", ""source_field"": ""NETPROFIT"", ""source_run_id"": ""df86486a-9a54-4920-a4db-2553f907af92"", ""source_sha256"": ""f9f61036a17e867243d3f024532512ae8dd0cf5e4b3d0458a1d9e14d32d02f5d"", ""source_table"": ""fact_income_statement"", ""update_date"": ""2026-04-28T00:00:00""}]",fundamental_feature_long_v1,PRESERVE_NULL_UNAVAILABLE
1bc599a7-17eb-4cc8-a543-8c0baaa7c3b8,002361,A,2026-07-27,roe,,UNAVAILABLE,ANNUAL_OR_PRIOR_BALANCE_UNAVAILABLE,"annual parent_net_profit/average(current FY parent_equity,prior FY parent_equity)",ratio,latest FY with prior comparable FY balance,2025-12-31,2026-04-28,2026-04-28,"[""2025-12-31T00:00:00""]","[""2026-04-28T00:00:00""]","[""2026-04-28T00:00:00""]","[""PARENT_NETPROFIT""]","[""fact_income_statement""]","[""002361|income_statement|2025-12-31|parent_net_profit""]","[""df86486a-9a54-4920-a4db-2553f907af92""]","[""66bebf1c-8b64-42a6-a970-1dbf1ecb395f""]","[""f9f61036a17e867243d3f024532512ae8dd0cf5e4b3d0458a1d9e14d32d02f5d""]","[""CNY""]","[""FY""]","[{""announcement_date"": ""2026-04-28T00:00:00"", ""canonical_key"": ""002361|income_statement|2025-12-31|parent_net_profit"", ""canonical_name"": ""parent_net_profit"", ""clean_run_id"": ""66bebf1c-8b64-42a6-a970-1dbf1ecb395f"", ""currency"": ""CNY"", ""fiscal_period"": ""FY"", ""pit_status"": ""PIT_ELIGIBLE"", ""report_date"": ""2025-12-31T00:00:00"", ""source_field"": ""PARENT_NETPROFIT"", ""source_run_id"": ""df86486a-9a54-4920-a4db-2553f907af92"", ""source_sha256"": ""f9f61036a17e867243d3f024532512ae8dd0cf5e4b3d0458a1d9e14d32d02f5d"", ""source_table"": ""fact_income_statement"", ""update_date"": ""2026-04-28T00:00:00""}]",fundamental_feature_long_v1,PRESERVE_NULL_UNAVAILABLE
1bc599a7-17eb-4cc8-a543-8c0baaa7c3b8,300433,A,2026-07-27,roa,,UNAVAILABLE,ANNUAL_OR_PRIOR_BALANCE_UNAVAILABLE,"annual net_profit/average(current FY total_assets,prior FY total_assets)",ratio,latest FY with prior comparable FY balance,2025-12-31,2026-03-31,2026-03-31,"[""2025-12-31T00:00:00""]","[""2026-03-31T00:00:00""]","[""2026-03-31T00:00:00""]","[""NETPROFIT""]","[""fact_income_statement""]","[""300433|income_statement|2025-12-31|net_profit""]","[""df86486a-9a54-4920-a4db-2553f907af92""]","[""66bebf1c-8b64-42a6-a970-1dbf1ecb395f""]","[""eb7833c627ec0d2e63584c9de4ea9569d0927ff8975ac389b43b286e3a90e4ce""]","[""CNY""]","[""FY""]","[{""announcement_date"": ""2026-03-31T00:00:00"", ""canonical_key"": ""300433|income_statement|2025-12-31|net_profit"", ""canonical_name"": ""net_profit"", ""clean_run_id"": ""66bebf1c-8b64-42a6-a970-1dbf1ecb395f"", ""currency"": ""CNY"", ""fiscal_period"": ""FY"", ""pit_status"": ""PIT_ELIGIBLE"", ""report_date"": ""2025-12-31T00:00:00"", ""source_field"": ""NETPROFIT"", ""source_run_id"": ""df86486a-9a54-4920-a4db-2553f907af92"", ""source_sha256"": ""eb7833c627ec0d2e63584c9de4ea9569d0927ff8975ac389b43b286e3a90e4ce"", ""source_table"": ""fact_income_statement"", ""update_date"": ""2026-03-31T00:00:00""}]",fundamental_feature_long_v1,PRESERVE_NULL_UNAVAILABLE
1bc599a7-17eb-4cc8-a543-8c0baaa7c3b8,300433,A,2026-07-27,roe,,UNAVAILABLE,ANNUAL_OR_PRIOR_BALANCE_UNAVAILABLE,"annual parent_net_profit/average(current FY parent_equity,prior FY parent_equity)",ratio,latest FY with prior comparable FY balance,2025-12-31,2026-03-31,2026-03-31,"[""2025-12-31T00:00:00""]","[""2026-03-31T00:00:00""]","[""2026-03-31T00:00:00""]","[""PARENT_NETPROFIT""]","[""fact_income_statement""]","[""300433|income_statement|2025-12-31|parent_net_profit""]","[""df86486a-9a54-4920-a4db-2553f907af92""]","[""66bebf1c-8b64-42a6-a970-1dbf1ecb395f""]","[""eb7833c627ec0d2e63584c9de4ea9569d0927ff8975ac389b43b286e3a90e4ce""]","[""CNY""]","[""FY""]","[{""announcement_date"": ""2026-03-31T00:00:00"", ""canonical_key"": ""300433|income_statement|2025-12-31|parent_net_profit"", ""canonical_name"": ""parent_net_profit"", ""clean_run_id"": ""66bebf1c-8b64-42a6-a970-1dbf1ecb395f"", ""currency"": ""CNY"", ""fiscal_period"": ""FY"", ""pit_status"": ""PIT_ELIGIBLE"", ""report_date"": ""2025-12-31T00:00:00"", ""source_field"": ""PARENT_NETPROFIT"", ""source_run_id"": ""df86486a-9a54-4920-a4db-2553f907af92"", ""source_sha256"": ""eb7833c627ec0d2e63584c9de4ea9569d0927ff8975ac389b43b286e3a90e4ce"", ""source_table"": ""fact_income_statement"", ""update_date"": ""2026-03-31T00:00:00""}]",fundamental_feature_long_v1,PRESERVE_NULL_UNAVAILABLE
