check_name,expected,observed,source_observed,status
unique_key:financial_abstract,0,0,0,PASS
unique_key:financial_indicator,0,0,0,PASS
unique_key:balance_sheet,0,0,0,PASS
unique_key:income_statement,0,0,0,PASS
unique_key:cash_flow_statement,0,0,0,PASS
unique_key:valuation_snapshot,0,0,0,PASS
history_row_total,468986,468986,468986,PASS
all_fact_row_total,469009,469009,469009,PASS
security_count,23,23,23,PASS
a_share_count,16,16,16,PASS
h_share_count,7,7,7,PASS
valuation_eligibility_false,23,23,23,PASS
query_filter_symbol,>0,6399,n/a,PASS
query_filter_market,>0,76021,n/a,PASS
query_filter_report_date,>0,124211,n/a,PASS
query_filter_pit_status,>0,76720,n/a,PASS
query_category_table,>0,109656,n/a,PASS
read_only_reopen_and_table_set,6,6,6,PASS
temporary_or_wal_residuals,0,0,0,PASS
