dataset_id,market,symbol,category,interface,provider,variant,parameters,expected_temporality,required_identity
A:000100:financial_abstract:stock_financial_abstract:default,A,000100,financial_abstract,stock_financial_abstract,Sina,default,"{""symbol"": ""000100""}",history,request_parameter_bound
A:000100:financial_indicator:stock_financial_analysis_indicator:default,A,000100,financial_indicator,stock_financial_analysis_indicator,Sina,default,"{""start_year"": ""1900"", ""symbol"": ""000100""}",history,request_parameter_bound
A:000100:balance_sheet:stock_balance_sheet_by_report_em:report,A,000100,balance_sheet,stock_balance_sheet_by_report_em,EastmoneyDataCenter,report,"{""symbol"": ""SZ000100""}",history,request_parameter_bound
A:000100:income_statement:stock_profit_sheet_by_report_em:report,A,000100,income_statement,stock_profit_sheet_by_report_em,EastmoneyDataCenter,report,"{""symbol"": ""SZ000100""}",history,request_parameter_bound
A:000100:cash_flow_statement:stock_cash_flow_sheet_by_report_em:report,A,000100,cash_flow_statement,stock_cash_flow_sheet_by_report_em,EastmoneyDataCenter,report,"{""symbol"": ""SZ000100""}",history,request_parameter_bound
A:000100:valuation_snapshot:stock_zh_valuation_comparison_em:valuation_comparison,A,000100,valuation_snapshot,stock_zh_valuation_comparison_em,EastmoneyDataCenter,valuation_comparison,"{""symbol"": ""SZ000100""}",snapshot,request_parameter_bound
A:000100:valuation_snapshot:stock_zh_scale_comparison_em:scale_comparison,A,000100,valuation_snapshot,stock_zh_scale_comparison_em,EastmoneyDataCenter,scale_comparison,"{""symbol"": ""SZ000100""}",snapshot,request_parameter_bound
A:002067:financial_abstract:stock_financial_abstract:default,A,002067,financial_abstract,stock_financial_abstract,Sina,default,"{""symbol"": ""002067""}",history,request_parameter_bound
A:002067:financial_indicator:stock_financial_analysis_indicator:default,A,002067,financial_indicator,stock_financial_analysis_indicator,Sina,default,"{""start_year"": ""1900"", ""symbol"": ""002067""}",history,request_parameter_bound
A:002067:balance_sheet:stock_balance_sheet_by_report_em:report,A,002067,balance_sheet,stock_balance_sheet_by_report_em,EastmoneyDataCenter,report,"{""symbol"": ""SZ002067""}",history,request_parameter_bound
A:002067:income_statement:stock_profit_sheet_by_report_em:report,A,002067,income_statement,stock_profit_sheet_by_report_em,EastmoneyDataCenter,report,"{""symbol"": ""SZ002067""}",history,request_parameter_bound
A:002067:cash_flow_statement:stock_cash_flow_sheet_by_report_em:report,A,002067,cash_flow_statement,stock_cash_flow_sheet_by_report_em,EastmoneyDataCenter,report,"{""symbol"": ""SZ002067""}",history,request_parameter_bound
A:002067:valuation_snapshot:stock_zh_valuation_comparison_em:valuation_comparison,A,002067,valuation_snapshot,stock_zh_valuation_comparison_em,EastmoneyDataCenter,valuation_comparison,"{""symbol"": ""SZ002067""}",snapshot,request_parameter_bound
A:002067:valuation_snapshot:stock_zh_scale_comparison_em:scale_comparison,A,002067,valuation_snapshot,stock_zh_scale_comparison_em,EastmoneyDataCenter,scale_comparison,"{""symbol"": ""SZ002067""}",snapshot,request_parameter_bound
A:002129:financial_abstract:stock_financial_abstract:default,A,002129,financial_abstract,stock_financial_abstract,Sina,default,"{""symbol"": ""002129""}",history,request_parameter_bound
A:002129:financial_indicator:stock_financial_analysis_indicator:default,A,002129,financial_indicator,stock_financial_analysis_indicator,Sina,default,"{""start_year"": ""1900"", ""symbol"": ""002129""}",history,request_parameter_bound
A:002129:balance_sheet:stock_balance_sheet_by_report_em:report,A,002129,balance_sheet,stock_balance_sheet_by_report_em,EastmoneyDataCenter,report,"{""symbol"": ""SZ002129""}",history,request_parameter_bound
A:002129:income_statement:stock_profit_sheet_by_report_em:report,A,002129,income_statement,stock_profit_sheet_by_report_em,EastmoneyDataCenter,report,"{""symbol"": ""SZ002129""}",history,request_parameter_bound
A:002129:cash_flow_statement:stock_cash_flow_sheet_by_report_em:report,A,002129,cash_flow_statement,stock_cash_flow_sheet_by_report_em,EastmoneyDataCenter,report,"{""symbol"": ""SZ002129""}",history,request_parameter_bound
A:002129:valuation_snapshot:stock_zh_valuation_comparison_em:valuation_comparison,A,002129,valuation_snapshot,stock_zh_valuation_comparison_em,EastmoneyDataCenter,valuation_comparison,"{""symbol"": ""SZ002129""}",snapshot,request_parameter_bound
A:002129:valuation_snapshot:stock_zh_scale_comparison_em:scale_comparison,A,002129,valuation_snapshot,stock_zh_scale_comparison_em,EastmoneyDataCenter,scale_comparison,"{""symbol"": ""SZ002129""}",snapshot,request_parameter_bound
A:002230:financial_abstract:stock_financial_abstract:default,A,002230,financial_abstract,stock_financial_abstract,Sina,default,"{""symbol"": ""002230""}",history,request_parameter_bound
A:002230:financial_indicator:stock_financial_analysis_indicator:default,A,002230,financial_indicator,stock_financial_analysis_indicator,Sina,default,"{""start_year"": ""1900"", ""symbol"": ""002230""}",history,request_parameter_bound
A:002230:balance_sheet:stock_balance_sheet_by_report_em:report,A,002230,balance_sheet,stock_balance_sheet_by_report_em,EastmoneyDataCenter,report,"{""symbol"": ""SZ002230""}",history,request_parameter_bound
A:002230:income_statement:stock_profit_sheet_by_report_em:report,A,002230,income_statement,stock_profit_sheet_by_report_em,EastmoneyDataCenter,report,"{""symbol"": ""SZ002230""}",history,request_parameter_bound
