symbol,status_type,required_days,covered_days,gap_days,unknown_days,overlap_or_conflict_days,missing_source_records,pending_manual_review_records
002067,ST,366,0,366,0,0,0,0
002067,LISTING,366,0,366,0,0,0,0
002600,ST,366,0,366,0,0,0,0
002600,LISTING,366,0,366,0,0,0,0
002230,ST,366,0,366,0,0,0,0
002230,LISTING,366,0,366,0,0,0,0
600763,ST,366,0,366,0,0,0,0
600763,LISTING,366,0,366,0,0,0,0
603259,ST,366,0,366,0,0,0,0
603259,LISTING,366,0,366,0,0,0,0
603799,ST,366,0,366,0,0,0,0
603799,LISTING,366,0,366,0,0,0,0
601012,ST,366,0,366,0,0,0,0
601012,LISTING,366,0,366,0,0,0,0
600438,ST,366,0,366,0,0,0,0
600438,LISTING,366,0,366,0,0,0,0
002361,ST,366,0,366,0,0,0,0
002361,LISTING,366,0,366,0,0,0,0
601500,ST,366,0,366,0,0,0,0
601500,LISTING,366,0,366,0,0,0,0
600231,ST,366,0,366,0,0,0,0
600231,LISTING,366,0,366,0,0,0,0
300274,ST,366,0,366,0,0,0,0
300274,LISTING,366,0,366,0,0,0,0
601636,ST,366,0,366,0,0,0,0
601636,LISTING,366,0,366,0,0,0,0
002129,ST,366,0,366,0,0,0,0
002129,LISTING,366,0,366,0,0,0,0
000100,ST,366,0,366,0,0,0,0
000100,LISTING,366,0,366,0,0,0,0
300433,ST,366,0,366,0,0,0,0
300433,LISTING,366,0,366,0,0,0,0
