symbol,interface_id,previous_status,previous_error_type,repair_status,row_count,column_count,raw_path,schema_hash,attempt_count,stdout_log_path,stderr_log_path
000100,balance_sheet_report,failed,invalid_parameter,success,94,319,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=000100/data.parquet,e3f68f3c1e442d9f843722969cd1f7f14a94af139281cfb9edaaf98dbcefaed1,1,logs/upstream/stage4/62bbe9df-6ed8-48d5-a06b-10fb90171ee0/000100_balance_sheet_report.stdout.log,logs/upstream/stage4/62bbe9df-6ed8-48d5-a06b-10fb90171ee0/000100_balance_sheet_report.stderr.log
000100,cashflow_sheet_report,failed,invalid_parameter,success,92,254,data/raw/stock_cash_flow_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=000100/data.parquet,2050581cfd86f2ba8a5a90318121b032ae6cee22d66dbc6f0a5f923fe8307444,1,logs/upstream/stage4/62bbe9df-6ed8-48d5-a06b-10fb90171ee0/000100_cashflow_sheet_report.stdout.log,logs/upstream/stage4/62bbe9df-6ed8-48d5-a06b-10fb90171ee0/000100_cashflow_sheet_report.stderr.log
000100,financial_indicator,failed,invalid_parameter,success,21,86,data/raw/stock_financial_analysis_indicator/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=000100/data.parquet,746f28ec78b7256e32c8745679c6ba04e1fa625a536f9373e8fbf7da99f26f4e,1,logs/upstream/stage4/62bbe9df-6ed8-48d5-a06b-10fb90171ee0/000100_financial_indicator.stdout.log,logs/upstream/stage4/62bbe9df-6ed8-48d5-a06b-10fb90171ee0/000100_financial_indicator.stderr.log
000100,profit_sheet_report,failed,invalid_parameter,success,96,203,data/raw/stock_profit_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=000100/data.parquet,047a268bbe13d2fdf73d1add6a3ec909dbccc60aa787770049c45871db5271df,1,logs/upstream/stage4/62bbe9df-6ed8-48d5-a06b-10fb90171ee0/000100_profit_sheet_report.stdout.log,logs/upstream/stage4/62bbe9df-6ed8-48d5-a06b-10fb90171ee0/000100_profit_sheet_report.stderr.log
002129,balance_sheet_report,failed,invalid_parameter,success,80,319,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002129/data.parquet,54e7af9d2ebe74a570ef4a34753dc4be52e33735df8da93ae1401cf5b504bc71,1,logs/upstream/stage4/62bbe9df-6ed8-48d5-a06b-10fb90171ee0/002129_balance_sheet_report.stdout.log,logs/upstream/stage4/62bbe9df-6ed8-48d5-a06b-10fb90171ee0/002129_balance_sheet_report.stderr.log
002129,cashflow_sheet_report,failed,invalid_parameter,success,83,254,data/raw/stock_cash_flow_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002129/data.parquet,577084621e66c64fa608b14030fd7fa41f39ba533041d33c3b29c4c69fe8009c,1,logs/upstream/stage4/62bbe9df-6ed8-48d5-a06b-10fb90171ee0/002129_cashflow_sheet_report.stdout.log,logs/upstream/stage4/62bbe9df-6ed8-48d5-a06b-10fb90171ee0/002129_cashflow_sheet_report.stderr.log
002129,financial_indicator,failed,invalid_parameter,success,21,86,data/raw/stock_financial_analysis_indicator/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002129/data.parquet,960d644eb3ae60fb578de75382c7bfdd61a6d74c0310d0579ba4f8fcfc90dc1c,1,logs/upstream/stage4/62bbe9df-6ed8-48d5-a06b-10fb90171ee0/002129_financial_indicator.stdout.log,logs/upstream/stage4/62bbe9df-6ed8-48d5-a06b-10fb90171ee0/002129_financial_indicator.stderr.log
002129,profit_sheet_report,failed,invalid_parameter,success,83,203,data/raw/stock_profit_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002129/data.parquet,4572b159ec6056e19c7e4e82ce75af250966b3dc10417ed139867f02d8fb4f04,1,logs/upstream/stage4/62bbe9df-6ed8-48d5-a06b-10fb90171ee0/002129_profit_sheet_report.stdout.log,logs/upstream/stage4/62bbe9df-6ed8-48d5-a06b-10fb90171ee0/002129_profit_sheet_report.stderr.log
300433,balance_sheet_report,failed,invalid_parameter,success,50,319,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=300433/data.parquet,293fa0f925f24da7fb781c7dd9ac755b3ed63005ba80814400246c6fa2982061,1,logs/upstream/stage4/62bbe9df-6ed8-48d5-a06b-10fb90171ee0/300433_balance_sheet_report.stdout.log,logs/upstream/stage4/62bbe9df-6ed8-48d5-a06b-10fb90171ee0/300433_balance_sheet_report.stderr.log
300433,cashflow_sheet_report,failed,invalid_parameter,success,52,254,data/raw/stock_cash_flow_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=300433/data.parquet,b9ba4174cbc306e5c5ca816d4358c84feb1f7c054f713a6154c9af1d4844a5aa,1,logs/upstream/stage4/62bbe9df-6ed8-48d5-a06b-10fb90171ee0/300433_cashflow_sheet_report.stdout.log,logs/upstream/stage4/62bbe9df-6ed8-48d5-a06b-10fb90171ee0/300433_cashflow_sheet_report.stderr.log
300433,financial_indicator,failed,invalid_parameter,success,21,86,data/raw/stock_financial_analysis_indicator/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=300433/data.parquet,960d644eb3ae60fb578de75382c7bfdd61a6d74c0310d0579ba4f8fcfc90dc1c,1,logs/upstream/stage4/62bbe9df-6ed8-48d5-a06b-10fb90171ee0/300433_financial_indicator.stdout.log,logs/upstream/stage4/62bbe9df-6ed8-48d5-a06b-10fb90171ee0/300433_financial_indicator.stderr.log
300433,profit_sheet_report,failed,invalid_parameter,success,52,203,data/raw/stock_profit_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=300433/data.parquet,79192377912d377f2ab092057551a6fd2666ffb444d41aebde072cec0e505779,1,logs/upstream/stage4/62bbe9df-6ed8-48d5-a06b-10fb90171ee0/300433_profit_sheet_report.stdout.log,logs/upstream/stage4/62bbe9df-6ed8-48d5-a06b-10fb90171ee0/300433_profit_sheet_report.stderr.log
601636,cashflow_sheet_report,failed,invalid_parameter,success,66,254,data/raw/stock_cash_flow_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=601636/data.parquet,577084621e66c64fa608b14030fd7fa41f39ba533041d33c3b29c4c69fe8009c,1,logs/upstream/stage4/62bbe9df-6ed8-48d5-a06b-10fb90171ee0/601636_cashflow_sheet_report.stdout.log,logs/upstream/stage4/62bbe9df-6ed8-48d5-a06b-10fb90171ee0/601636_cashflow_sheet_report.stderr.log
