transform_run_id,source_dataset,source_field,canonical_field,data_type,source_unit,target_unit,scale_factor,nullable,required,mapping_status,mapping_evidence,notes
31635b34-d1ee-46d4-9c0f-32ae3f30d567,stock_zh_a_hist,日期,trade_date,date,,,1.0,False,True,mapped,AKShare stock_zh_a_hist documented field,
31635b34-d1ee-46d4-9c0f-32ae3f30d567,stock_zh_a_hist,股票代码,symbol,string,,,1.0,False,True,mapped,AKShare stock_zh_a_hist documented field,
31635b34-d1ee-46d4-9c0f-32ae3f30d567,stock_zh_a_hist,开盘,open,float64,,,1.0,True,True,mapped,AKShare stock_zh_a_hist documented field,
31635b34-d1ee-46d4-9c0f-32ae3f30d567,stock_zh_a_hist,收盘,close,float64,,,1.0,True,True,mapped,AKShare stock_zh_a_hist documented field,
31635b34-d1ee-46d4-9c0f-32ae3f30d567,stock_zh_a_hist,最高,high,float64,,,1.0,True,True,mapped,AKShare stock_zh_a_hist documented field,
31635b34-d1ee-46d4-9c0f-32ae3f30d567,stock_zh_a_hist,最低,low,float64,,,1.0,True,True,mapped,AKShare stock_zh_a_hist documented field,
31635b34-d1ee-46d4-9c0f-32ae3f30d567,stock_zh_a_hist,成交量,volume_lot,float64,,,1.0,True,True,mapped,AKShare A-share history interface volume unit is lot,
31635b34-d1ee-46d4-9c0f-32ae3f30d567,stock_zh_a_hist,成交额,amount_cny,float64,,,1.0,True,True,mapped,AKShare A-share history interface amount unit is CNY yuan,
31635b34-d1ee-46d4-9c0f-32ae3f30d567,stock_zh_a_hist,振幅,amplitude,float64,,,1.0,True,False,mapped,AKShare field is percent points,
31635b34-d1ee-46d4-9c0f-32ae3f30d567,stock_zh_a_hist,涨跌幅,pct_change,float64,,,1.0,True,False,mapped,AKShare field is percent points,
31635b34-d1ee-46d4-9c0f-32ae3f30d567,stock_zh_a_hist,涨跌额,price_change,float64,,,1.0,True,False,mapped,AKShare field is CNY per share,
31635b34-d1ee-46d4-9c0f-32ae3f30d567,stock_zh_a_hist,换手率,turnover_rate,float64,,,1.0,True,False,mapped,AKShare field is percent points,
31635b34-d1ee-46d4-9c0f-32ae3f30d567,stock_zh_a_spot_em,序号,,source,unknown,unknown,1.0,True,False,unmapped,Preserved in source_payload_json; no canonical guess,
31635b34-d1ee-46d4-9c0f-32ae3f30d567,stock_zh_a_spot_em,代码,symbol,string,,,1.0,False,True,mapped,AKShare stock_zh_a_spot_em documented field,
31635b34-d1ee-46d4-9c0f-32ae3f30d567,stock_zh_a_spot_em,名称,name,string,,,1.0,True,True,mapped,AKShare stock_zh_a_spot_em documented field,
31635b34-d1ee-46d4-9c0f-32ae3f30d567,stock_zh_a_spot_em,最新价,latest_price,float64,,,1.0,True,False,mapped,AKShare documented field,
31635b34-d1ee-46d4-9c0f-32ae3f30d567,stock_zh_a_spot_em,涨跌幅,pct_change,float64,,,1.0,True,False,mapped,AKShare field is percent points,
