table_name,first_row_count,second_row_count,first_business_key_hash,second_business_key_hash,first_content_hash,second_content_hash,row_count_match,business_key_hash_match,content_hash_match,status
data_lineage,130,130,a007b16e42df04a511e4790da44130a12e18e0191317d054307db61c630599a7,a007b16e42df04a511e4790da44130a12e18e0191317d054307db61c630599a7,e6d49c0201652c2774ef170a1d5733d20697b208c4bfa2c111f23c64f85bfa9a,e6d49c0201652c2774ef170a1d5733d20697b208c4bfa2c111f23c64f85bfa9a,True,True,True,PASS
data_quality_issue,47,47,f8f82a00c9627fcc030718bd0ec65e255842e5a94dac7d9befa791ad07bd4ffb,f8f82a00c9627fcc030718bd0ec65e255842e5a94dac7d9befa791ad07bd4ffb,c95e1fee32178b5b8d59ab064ef84da7c7b2a0b7074e899cbb49db3da08612e1,c95e1fee32178b5b8d59ab064ef84da7c7b2a0b7074e899cbb49db3da08612e1,True,True,True,PASS
dim_security,16,16,479cbe49313013b79dacdc5a793d5737c6ff3ae33a046cab36836498fde7bea5,479cbe49313013b79dacdc5a793d5737c6ff3ae33a046cab36836498fde7bea5,0d32ecdd2e78f8a379a7fc21e0d075368b2f7a828929e9bd8be6f3df30d5c65a,0d32ecdd2e78f8a379a7fc21e0d075368b2f7a828929e9bd8be6f3df30d5c65a,True,True,True,PASS
etl_run,1,1,5d810b4449a7bf0fa793567a893c2e780a07c47528a7e0bc9b0fe9b0f370e5ff,5d810b4449a7bf0fa793567a893c2e780a07c47528a7e0bc9b0fe9b0f370e5ff,8e3b70fa2d9f3c0f926202f507770ff4fc38d4613b0c7df7139d3244f9b15864,8e3b70fa2d9f3c0f926202f507770ff4fc38d4613b0c7df7139d3244f9b15864,True,True,True,PASS
fact_financial_abstract,95600,95600,dc761e014a0c45ad7a015fe98a5f3a02125950e4b7c158389240668dc75c1872,dc761e014a0c45ad7a015fe98a5f3a02125950e4b7c158389240668dc75c1872,6f2a24644235cb973d784ff7ed581688f071aa9552e5ea981de08543b5fdcd36,6f2a24644235cb973d784ff7ed581688f071aa9552e5ea981de08543b5fdcd36,True,True,True,PASS
fact_financial_indicator,28560,28560,83a14542cb117ea1051ab9da7bf131454cad08d6d1c17f2dbc6c8389891041ea,83a14542cb117ea1051ab9da7bf131454cad08d6d1c17f2dbc6c8389891041ea,3739a53df71f0830eb52c5958a6e8144a41fdf3f5b94ea8bc9fa8a9228f1d807,3739a53df71f0830eb52c5958a6e8144a41fdf3f5b94ea8bc9fa8a9228f1d807,True,True,True,PASS
fact_financial_statement,863226,863226,abcb0ee5ab2fbf80ccca3bc7c20a77a063e001e95ef5c68983d9bea92d0cdeae,abcb0ee5ab2fbf80ccca3bc7c20a77a063e001e95ef5c68983d9bea92d0cdeae,5cb16ffdcec9d9c52db81c80390bab74451905822b8e0521d676ea6ad9af49a4,5cb16ffdcec9d9c52db81c80390bab74451905822b8e0521d676ea6ad9af49a4,True,True,True,PASS
fact_stock_daily,23204,23204,ac19e9c3f1d43603d354d772b94ed9ac2ba39fa4742775edcbb33039411c11e1,ac19e9c3f1d43603d354d772b94ed9ac2ba39fa4742775edcbb33039411c11e1,90f67465e9d1758ea072b9e53bea15e36dc39c580c357f82854e65f9856283f9,90f67465e9d1758ea072b9e53bea15e36dc39c580c357f82854e65f9856283f9,True,True,True,PASS
fact_stock_fund_flow,1920,1920,922ec600eb79d11ac823d5bd34479f2d25cc270a18294e2e39a9a468a2037a6f,922ec600eb79d11ac823d5bd34479f2d25cc270a18294e2e39a9a468a2037a6f,c1186c92bb4f024a41228b53ff978e00a68361bb9116ae4f3073c4ff81b49f8e,c1186c92bb4f024a41228b53ff978e00a68361bb9116ae4f3073c4ff81b49f8e,True,True,True,PASS
fact_stock_spot,5900,5900,b86238ec68ecb883132269bdde229da7113f760016072fe13d1425c04cf2e988,b86238ec68ecb883132269bdde229da7113f760016072fe13d1425c04cf2e988,06ddfaf9ca1ac10f0a327e5b45d48d8e4090140b727fbc7faea8b1c1b37d9c39,06ddfaf9ca1ac10f0a327e5b45d48d8e4090140b727fbc7faea8b1c1b37d9c39,True,True,True,PASS
field_mapping_registry,1024,1024,390b9fd01615465864308b0894c55409812b75b09b703294209c1f79600f2ddb,390b9fd01615465864308b0894c55409812b75b09b703294209c1f79600f2ddb,f25d535b105fd0561caf5208f26d63e40c38844dddd5927a088a037bb324d834,f25d535b105fd0561caf5208f26d63e40c38844dddd5927a088a037bb324d834,True,True,True,PASS
source_file_manifest,130,130,19c3e94b7b730c8af18f2998d1c63d239f36895e6dead16f31a00eee9e33c890,19c3e94b7b730c8af18f2998d1c63d239f36895e6dead16f31a00eee9e33c890,d2e3a53b733cf97244e01e8e124dc378ec58f5aa2d657942c1f25bb657e6acab,d2e3a53b733cf97244e01e8e124dc378ec58f5aa2d657942c1f25bb657e6acab,True,True,True,PASS
