object_type,table_name,object_name,is_unique,expressions,present,status
column,data_quality_issue,dataset_id,,,True,PASS
column,data_quality_issue,issue_code,,,False,FAIL
column,data_quality_issue,issue_key,,,False,FAIL
column,data_quality_issue,record_hash,,,False,FAIL
column,data_quality_issue,severity,,,True,PASS
column,data_quality_issue,transform_run_id,,,True,PASS
column,field_mapping_registry,canonical_field,,,True,PASS
column,field_mapping_registry,mapping_key,,,False,FAIL
column,field_mapping_registry,mapping_status,,,True,PASS
column,field_mapping_registry,record_hash,,,False,FAIL
column,field_mapping_registry,source_dataset,,,True,PASS
column,field_mapping_registry,source_field,,,True,PASS
column,field_mapping_registry,transform_run_id,,,True,PASS
unique_index,,uq_data_quality_issue_issue_key,False,,False,FAIL
unique_index,,uq_field_mapping_registry_mapping_key,False,,False,FAIL
view,,v_financial_announcement_unknown,,,True,PASS
view,,v_financial_point_in_time_safe,,,True,PASS
view,,v_financial_potential_lookahead,,,True,PASS
view,,v_latest_stock_spot,,,True,PASS
view,,v_stock_daily_qfq,,,True,PASS
view,,v_stock_daily_raw,,,True,PASS
view,,v_stock_fund_flow_as_of_safe,,,False,FAIL
