object_name,object_type,first_count,second_count,first_content_hash,second_content_hash,count_match,hash_match,full_nonempty_input,replay_accepted_idempotently,status
feat_price_daily,feature_table,11602,11602,d593dc261a08d971a5617cdd6e4f8c9a02d87566ac895bcab7290f4269d106b4,d593dc261a08d971a5617cdd6e4f8c9a02d87566ac895bcab7290f4269d106b4,True,True,True,False,FAIL
feat_trend_daily,feature_table,11602,11602,bed365b1ec293870e3ea6604e72bbb71cd2c228921cd25cf6d21b98828acd83a,bed365b1ec293870e3ea6604e72bbb71cd2c228921cd25cf6d21b98828acd83a,True,True,True,False,FAIL
feat_activity_daily,feature_table,11602,11602,1ea5d5b4154319abebb9f2fde3990bfce31cc2f441b8607ca168236ed956f581,1ea5d5b4154319abebb9f2fde3990bfce31cc2f441b8607ca168236ed956f581,True,True,True,False,FAIL
feat_limit_event,feature_table,3862,3862,eb024a77449585c0ae4fab6ecf14fe19b9fae25b7aae5d2f96d10cc2790b58d0,eb024a77449585c0ae4fab6ecf14fe19b9fae25b7aae5d2f96d10cc2790b58d0,True,True,True,False,FAIL
feat_financial_period,feature_table,2688,2688,ba982e4395ce56e7e5d21fc1b88cc3065d237f8b10ae31ae8456f8568e2bfe0d,ba982e4395ce56e7e5d21fc1b88cc3065d237f8b10ae31ae8456f8568e2bfe0d,True,True,True,False,FAIL
feat_fund_flow_daily,feature_table,1904,1904,027dbf46e673d42f83ae7add235b7178a2311ff7a25d354b16e97dd904cee223,027dbf46e673d42f83ae7add235b7178a2311ff7a25d354b16e97dd904cee223,True,True,True,False,FAIL
feat_style_daily,feature_table,11602,11602,b02993ef1d09936290d09dd03d1a44b77309dc6b652833446dba0a4cac126319,b02993ef1d09936290d09dd03d1a44b77309dc6b652833446dba0a4cac126319,True,True,True,False,FAIL
feat_suspected_behavior_evidence,feature_table,16,16,458ec815d770f8be1ee856def142aaa91cb6e65ce4a86d7c244e2c5d0fcf7274,458ec815d770f8be1ee856def142aaa91cb6e65ce4a86d7c244e2c5d0fcf7274,True,True,True,False,FAIL
feat_current_snapshot,feature_table,16,16,8f48b6884d92e3a2976827546c3650f2b42901f64316ee7ad51fac87dc4a5570,8f48b6884d92e3a2976827546c3650f2b42901f64316ee7ad51fac87dc4a5570,True,True,True,False,FAIL
feature_run,metadata_table,1,1,8444159ba590b3e8a980186618b89a51403caaa4d8687d53ea9dfb94a583e3c0,8444159ba590b3e8a980186618b89a51403caaa4d8687d53ea9dfb94a583e3c0,True,True,True,False,FAIL
feature_definition_registry,metadata_table,109,109,f0088ad044d6c499f1ac213e976f2508abd17597ddb117fadd72b8b0788b92ca,f0088ad044d6c499f1ac213e976f2508abd17597ddb117fadd72b8b0788b92ca,True,True,True,False,FAIL
feature_file_manifest,metadata_table,9,9,bbec679b2f824f5a0a25b68ab8fbb1da3ac1951ddebdbbec1614c5a39acd7d2d,bbec679b2f824f5a0a25b68ab8fbb1da3ac1951ddebdbbec1614c5a39acd7d2d,True,True,True,False,FAIL
feature_lineage,metadata_table,9,9,e14b05548d03de615b569a2e3603b9956ed8ac39b5fa61f9bfb824bcc86f1d90,e14b05548d03de615b569a2e3603b9956ed8ac39b5fa61f9bfb824bcc86f1d90,True,True,True,False,FAIL
feature_quality_issue,metadata_table,9,9,c051b54ea9a9df50b71e20cd9abc9943fa6582c7b0600f65dee26b5240753360,c051b54ea9a9df50b71e20cd9abc9943fa6582c7b0600f65dee26b5240753360,True,True,True,False,FAIL
price_daily_parquet,feature_file,11602,11602,6855ab65b8ddb33446411624ca5339e712b8f97248ee4ca2fccd67f2595d4198,6855ab65b8ddb33446411624ca5339e712b8f97248ee4ca2fccd67f2595d4198,True,True,True,True,PASS
trend_daily_parquet,feature_file,11602,11602,2f15ca7b559269c0d908c8371a6d2a0bbcfe9611230a4b2a8d6655049c5543a7,2f15ca7b559269c0d908c8371a6d2a0bbcfe9611230a4b2a8d6655049c5543a7,True,True,True,True,PASS
