symbol,exchange,board,required_start,required_end,known_status_intervals,status_change_events,listing_status_events,existing_source_files,official_source_chain_complete,date_coverage_complete,conflict_found,missing_evidence,readiness
002067,SZ,main,2025-07-27,2026-07-27,,,,none_authoritative (sources/README.md only),False,False,False,missing_official_grade_a_status_source;missing_expected_record_file:security_status_history.csv;missing_real_dataset_manifest;missing_date_coverage_evidence,BLOCKED
002600,SZ,main,2025-07-27,2026-07-27,,,,none_authoritative (sources/README.md only),False,False,False,missing_official_grade_a_status_source;missing_expected_record_file:security_status_history.csv;missing_real_dataset_manifest;missing_date_coverage_evidence,BLOCKED
002230,SZ,main,2025-07-27,2026-07-27,,,,none_authoritative (sources/README.md only),False,False,False,missing_official_grade_a_status_source;missing_expected_record_file:security_status_history.csv;missing_real_dataset_manifest;missing_date_coverage_evidence,BLOCKED
600763,SH,main,2025-07-27,2026-07-27,,,,none_authoritative (sources/README.md only),False,False,False,missing_official_grade_a_status_source;missing_expected_record_file:security_status_history.csv;missing_real_dataset_manifest;missing_date_coverage_evidence,BLOCKED
603259,SH,main,2025-07-27,2026-07-27,,,,none_authoritative (sources/README.md only),False,False,False,missing_official_grade_a_status_source;missing_expected_record_file:security_status_history.csv;missing_real_dataset_manifest;missing_date_coverage_evidence,BLOCKED
603799,SH,main,2025-07-27,2026-07-27,,,,none_authoritative (sources/README.md only),False,False,False,missing_official_grade_a_status_source;missing_expected_record_file:security_status_history.csv;missing_real_dataset_manifest;missing_date_coverage_evidence,BLOCKED
601012,SH,main,2025-07-27,2026-07-27,,,,none_authoritative (sources/README.md only),False,False,False,missing_official_grade_a_status_source;missing_expected_record_file:security_status_history.csv;missing_real_dataset_manifest;missing_date_coverage_evidence,BLOCKED
600438,SH,main,2025-07-27,2026-07-27,,,,none_authoritative (sources/README.md only),False,False,False,missing_official_grade_a_status_source;missing_expected_record_file:security_status_history.csv;missing_real_dataset_manifest;missing_date_coverage_evidence,BLOCKED
002361,SZ,main,2025-07-27,2026-07-27,,,,none_authoritative (sources/README.md only),False,False,False,missing_official_grade_a_status_source;missing_expected_record_file:security_status_history.csv;missing_real_dataset_manifest;missing_date_coverage_evidence,BLOCKED
601500,SH,main,2025-07-27,2026-07-27,,,,none_authoritative (sources/README.md only),False,False,False,missing_official_grade_a_status_source;missing_expected_record_file:security_status_history.csv;missing_real_dataset_manifest;missing_date_coverage_evidence,BLOCKED
600231,SH,main,2025-07-27,2026-07-27,,,,none_authoritative (sources/README.md only),False,False,False,missing_official_grade_a_status_source;missing_expected_record_file:security_status_history.csv;missing_real_dataset_manifest;missing_date_coverage_evidence,BLOCKED
300274,SZ,growth,2025-07-27,2026-07-27,,,,none_authoritative (sources/README.md only),False,False,False,missing_official_grade_a_status_source;missing_expected_record_file:security_status_history.csv;missing_real_dataset_manifest;missing_date_coverage_evidence,BLOCKED
601636,SH,main,2025-07-27,2026-07-27,,,,none_authoritative (sources/README.md only),False,False,False,missing_official_grade_a_status_source;missing_expected_record_file:security_status_history.csv;missing_real_dataset_manifest;missing_date_coverage_evidence,BLOCKED
002129,SZ,main,2025-07-27,2026-07-27,,,,none_authoritative (sources/README.md only),False,False,False,missing_official_grade_a_status_source;missing_expected_record_file:security_status_history.csv;missing_real_dataset_manifest;missing_date_coverage_evidence,BLOCKED
000100,SZ,main,2025-07-27,2026-07-27,,,,none_authoritative (sources/README.md only),False,False,False,missing_official_grade_a_status_source;missing_expected_record_file:security_status_history.csv;missing_real_dataset_manifest;missing_date_coverage_evidence;historical_*ST_2007_2008_outside_required_window,BLOCKED
300433,SZ,growth,2025-07-27,2026-07-27,,,,none_authoritative (sources/README.md only),False,False,False,missing_official_grade_a_status_source;missing_expected_record_file:security_status_history.csv;missing_real_dataset_manifest;missing_date_coverage_evidence,BLOCKED
