symbol,exchange,search_start,search_end,all_announcement_count,riskwarning_search_count,namechange_search_count,cancel_riskwarning_search_count,delisting_search_count,status_keyword_match_count,status_keyword_matches,search_complete
000100,SZ,2025-07-25,2026-07-27,272,0,0,0,0,0,,True
002067,SZ,2025-07-25,2026-07-27,153,0,0,0,0,0,,True
002129,SZ,2025-07-25,2026-07-27,110,0,0,0,0,0,,True
002230,SZ,2025-07-25,2026-07-27,193,0,0,0,0,0,,True
002361,SZ,2025-07-25,2026-07-27,99,0,0,0,0,0,,True
002600,SZ,2025-07-25,2026-07-27,317,0,0,0,0,0,,True
300274,SZ,2025-07-25,2026-07-27,146,0,0,0,0,0,,True
300433,SZ,2025-07-25,2026-07-27,164,0,0,0,0,0,,True
600231,SH,2025-07-25,2026-07-27,92,0,0,0,0,0,,True
600438,SH,2025-07-25,2026-07-27,93,0,0,0,0,4,通威股份有限公司关于筹划发行股份及支付现金购买资产并募集配套资金事项的一般风险提示暨公司股票复牌的公告 | 通威股份有限公司关于筹划发行股份及支付现金购买资产并募集配套资金事项停牌前一个交易日前十大股东和前十大流通股股东持股情况的公告 | 通威股份有限公司关于筹划发行股份及支付现金购买资产并募集配套资金事项的停牌进展公告 | 通威股份有限公司关于筹划发行股份及支付现金购买资产并募集配套资金事项的停牌公告,True
600763,SH,2025-07-25,2026-07-27,54,0,0,0,0,0,,True
601012,SH,2025-07-25,2026-07-27,78,0,0,0,0,0,,True
601500,SH,2025-07-25,2026-07-27,75,0,0,0,0,0,,True
601636,SH,2025-07-25,2026-07-27,149,0,0,0,0,0,,True
603259,SH,2025-07-25,2026-07-27,134,0,0,0,0,0,,True
603799,SH,2025-07-25,2026-07-27,132,0,0,0,0,0,,True
