symbol,exchange,query_type,keyword,query_url,request_body,start_date,end_date,result_count,pages,retrieved_at,file
000100,SZ,keyword_namechange,证券简称变更,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""000100""], ""keyword"": ""证券简称变更""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/000100/*namechange*
000100,SZ,keyword_cancel_riskwarning,撤销风险警示,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""000100""], ""keyword"": ""撤销风险警示""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/000100/*cancel_riskwarning*
000100,SZ,keyword_delisting,退市,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""000100""], ""keyword"": ""退市""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/000100/*delisting*
000100,SZ,all_announcements,,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""000100""]}",2025-07-25,2026-07-27,272,6,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/000100/*all*
000100,SZ,keyword_riskwarning,风险警示,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""000100""], ""keyword"": ""风险警示""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/000100/*riskwarning*
002067,SZ,keyword_namechange,证券简称变更,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""002067""], ""keyword"": ""证券简称变更""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/002067/*namechange*
002067,SZ,keyword_cancel_riskwarning,撤销风险警示,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""002067""], ""keyword"": ""撤销风险警示""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/002067/*cancel_riskwarning*
002067,SZ,keyword_delisting,退市,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""002067""], ""keyword"": ""退市""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/002067/*delisting*
002067,SZ,all_announcements,,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""002067""]}",2025-07-25,2026-07-27,153,4,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/002067/*all*
002067,SZ,keyword_riskwarning,风险警示,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""002067""], ""keyword"": ""风险警示""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/002067/*riskwarning*
002129,SZ,keyword_namechange,证券简称变更,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""002129""], ""keyword"": ""证券简称变更""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/002129/*namechange*
002129,SZ,keyword_cancel_riskwarning,撤销风险警示,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""002129""], ""keyword"": ""撤销风险警示""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/002129/*cancel_riskwarning*
002129,SZ,keyword_delisting,退市,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""002129""], ""keyword"": ""退市""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/002129/*delisting*
002129,SZ,all_announcements,,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""002129""]}",2025-07-25,2026-07-27,110,3,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/002129/*all*
002129,SZ,keyword_riskwarning,风险警示,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""002129""], ""keyword"": ""风险警示""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/002129/*riskwarning*
002230,SZ,keyword_namechange,证券简称变更,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""002230""], ""keyword"": ""证券简称变更""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/002230/*namechange*
002230,SZ,keyword_cancel_riskwarning,撤销风险警示,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""002230""], ""keyword"": ""撤销风险警示""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/002230/*cancel_riskwarning*
002230,SZ,keyword_delisting,退市,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""002230""], ""keyword"": ""退市""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/002230/*delisting*
002230,SZ,all_announcements,,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""002230""]}",2025-07-25,2026-07-27,193,4,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/002230/*all*
002230,SZ,keyword_riskwarning,风险警示,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""002230""], ""keyword"": ""风险警示""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/002230/*riskwarning*
002361,SZ,keyword_namechange,证券简称变更,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""002361""], ""keyword"": ""证券简称变更""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/002361/*namechange*
002361,SZ,keyword_cancel_riskwarning,撤销风险警示,https://www.szse.cn/api/disc/announcement/annList,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""002361""], ""keyword"": ""撤销风险警示""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SZ/002361/*cancel_riskwarning*
