"symbol","gap_type","detail","blocker"
"600231","baseline_evidence","未取得2025-07-25前后官方公告附件","SSE static PDF anti-bot JavaScript challenge; no PDF attachment downloaded"
"600231","end_evidence","未取得2026-07-27前后官方公告附件","SSE static PDF anti-bot JavaScript challenge; no PDF attachment downloaded"
"600231","grade_a_exchange_decision","未取得交易所针对该股在窗口内实施/撤销风险警示的正式决定附件；当前使用官方列表+风险警示板+公告检索记录","official historical risk-decision search not yet complete"
"600438","baseline_evidence","未取得2025-07-25前后官方公告附件","SSE static PDF anti-bot JavaScript challenge; no PDF attachment downloaded"
"600438","end_evidence","未取得2026-07-27前后官方公告附件","SSE static PDF anti-bot JavaScript challenge; no PDF attachment downloaded"
"600438","grade_a_exchange_decision","未取得交易所针对该股在窗口内实施/撤销风险警示的正式决定附件；当前使用官方列表+风险警示板+公告检索记录","official historical risk-decision search not yet complete"
"600763","baseline_evidence","未取得2025-07-25前后官方公告附件","SSE static PDF anti-bot JavaScript challenge; no PDF attachment downloaded"
"600763","end_evidence","未取得2026-07-27前后官方公告附件","SSE static PDF anti-bot JavaScript challenge; no PDF attachment downloaded"
"600763","grade_a_exchange_decision","未取得交易所针对该股在窗口内实施/撤销风险警示的正式决定附件；当前使用官方列表+风险警示板+公告检索记录","official historical risk-decision search not yet complete"
"601012","baseline_evidence","未取得2025-07-25前后官方公告附件","SSE static PDF anti-bot JavaScript challenge; no PDF attachment downloaded"
"601012","end_evidence","未取得2026-07-27前后官方公告附件","SSE static PDF anti-bot JavaScript challenge; no PDF attachment downloaded"
"601012","grade_a_exchange_decision","未取得交易所针对该股在窗口内实施/撤销风险警示的正式决定附件；当前使用官方列表+风险警示板+公告检索记录","official historical risk-decision search not yet complete"
"601500","baseline_evidence","未取得2025-07-25前后官方公告附件","SSE static PDF anti-bot JavaScript challenge; no PDF attachment downloaded"
"601500","end_evidence","未取得2026-07-27前后官方公告附件","SSE static PDF anti-bot JavaScript challenge; no PDF attachment downloaded"
"601500","grade_a_exchange_decision","未取得交易所针对该股在窗口内实施/撤销风险警示的正式决定附件；当前使用官方列表+风险警示板+公告检索记录","official historical risk-decision search not yet complete"
"601636","baseline_evidence","未取得2025-07-25前后官方公告附件","SSE static PDF anti-bot JavaScript challenge; no PDF attachment downloaded"
"601636","end_evidence","未取得2026-07-27前后官方公告附件","SSE static PDF anti-bot JavaScript challenge; no PDF attachment downloaded"
"601636","grade_a_exchange_decision","未取得交易所针对该股在窗口内实施/撤销风险警示的正式决定附件；当前使用官方列表+风险警示板+公告检索记录","official historical risk-decision search not yet complete"
"603259","baseline_evidence","未取得2025-07-25前后官方公告附件","SSE static PDF anti-bot JavaScript challenge; no PDF attachment downloaded"
"603259","end_evidence","未取得2026-07-27前后官方公告附件","SSE static PDF anti-bot JavaScript challenge; no PDF attachment downloaded"
"603259","grade_a_exchange_decision","未取得交易所针对该股在窗口内实施/撤销风险警示的正式决定附件；当前使用官方列表+风险警示板+公告检索记录","official historical risk-decision search not yet complete"
"603799","baseline_evidence","未取得2025-07-25前后官方公告附件","SSE static PDF anti-bot JavaScript challenge; no PDF attachment downloaded"
"603799","end_evidence","未取得2026-07-27前后官方公告附件","SSE static PDF anti-bot JavaScript challenge; no PDF attachment downloaded"
"603799","grade_a_exchange_decision","未取得交易所针对该股在窗口内实施/撤销风险警示的正式决定附件；当前使用官方列表+风险警示板+公告检索记录","official historical risk-decision search not yet complete"
