source_id,symbol,source_kind,file,document_date,official_url,sha256,evidence_role,historical_capability,evidence_grade,validation_status,note
szse-risk-warning-plate-20260806,SZ,risk_warning_plate,data/manual/stage8/security_status/sources/SZ/szse_risk_warning_plate_2026-08-06.json,2026-08-06,https://www.szse.cn/api/report/ShowReport/data?SHOWTYPE=JSON&CATALOGID=fxjsb&PAGENO=1&random=0.253180924626982717,c114f1da4d97f5ada62e43e24c5fbd3c4f922a229100ec13387bcedec8b4ba7d,CURRENT_STATUS_SUPPORT_ONLY,CURRENT_ONLY,CURRENT_ONLY,NOT_BOUNDARY_EVIDENCE,交易所股票列表或风险警示板为当前快照，响应无业务日期且接口无历史日期参数，不能映射至2025-07-25或2026-07-27。
sse-risk-warning-plate-20260806,SH,risk_warning_plate,data/manual/stage8/security_status/sources/SH/sse_risk_warning_plate_2026-08-06.json,2026-08-06,https://query.sse.com.cn/commonSoaQuery.do?jsonCallBack=myJsonCallback&sqlId=PL_SSGSXX_FXJSBGPLB&domesticIndicator=S&productType=0,495ec72d148fe7bec6a25d0c6cb8edc5406c75bfd280d15c3daf86d6b0fd8992,CURRENT_STATUS_SUPPORT_ONLY,CURRENT_ONLY,CURRENT_ONLY,NOT_BOUNDARY_EVIDENCE,交易所股票列表或风险警示板为当前快照，响应无业务日期且接口无历史日期参数，不能映射至2025-07-25或2026-07-27。
szse-stock-list-000100-20260806,000100,exchange_stock_list,data/manual/stage8/security_status/sources/SZ/000100/szse_stock_list_000100_2026-08-06.json,2026-08-06,https://www.szse.cn/api/report/ShowReport/data?SHOWTYPE=JSON&CATALOGID=1110&TABKEY=tab1&txtDMorJC=000100&PAGENO=1&random=0.725742600650652547,00a2fe09f35d449ea955f3691b0172e053259f1fb4bafb45188ec203a80f8041,CURRENT_STATUS_SUPPORT_ONLY,CURRENT_ONLY,CURRENT_ONLY,NOT_BOUNDARY_EVIDENCE,交易所股票列表或风险警示板为当前快照，响应无业务日期且接口无历史日期参数，不能映射至2025-07-25或2026-07-27。
szse-ann-000100-all-p1-20250806,000100,announcement_search_result,data/manual/stage8/security_status/sources/SZ/000100/szse_announcements_000100_all_p01.json,2025-07-25,https://www.szse.cn/api/disc/announcement/annList,9a30f7bd7cf2b08080c7ed3d120d21b6d5425b087882a98ed80680b8fd37f3d2,EVENT_SEARCH_SUPPORT_ONLY,EVENT_SEARCH_ONLY,EVENT_SEARCH_ONLY,NOT_BOUNDARY_EVIDENCE,公告检索支持按START_DATE/END_DATE查询公告发布日期，但只反映公告事件，不能证明历史证券状态快照。
szse-ann-000100-all-p2-20250806,000100,announcement_search_result,data/manual/stage8/security_status/sources/SZ/000100/szse_announcements_000100_all_p02.json,2025-07-25,https://www.szse.cn/api/disc/announcement/annList,bb10b51f9c08555cbe9aa95fe3430471fdf5c766996653c7aa5fb1618e8de1d1,EVENT_SEARCH_SUPPORT_ONLY,EVENT_SEARCH_ONLY,EVENT_SEARCH_ONLY,NOT_BOUNDARY_EVIDENCE,公告检索支持按START_DATE/END_DATE查询公告发布日期，但只反映公告事件，不能证明历史证券状态快照。
szse-ann-000100-all-p3-20250806,000100,announcement_search_result,data/manual/stage8/security_status/sources/SZ/000100/szse_announcements_000100_all_p03.json,2025-07-25,https://www.szse.cn/api/disc/announcement/annList,542b59a348dc2bf3ea16f1294e8567896decbf4146ead368201edbf396f8d689,EVENT_SEARCH_SUPPORT_ONLY,EVENT_SEARCH_ONLY,EVENT_SEARCH_ONLY,NOT_BOUNDARY_EVIDENCE,公告检索支持按START_DATE/END_DATE查询公告发布日期，但只反映公告事件，不能证明历史证券状态快照。
szse-ann-000100-all-p4-20250806,000100,announcement_search_result,data/manual/stage8/security_status/sources/SZ/000100/szse_announcements_000100_all_p04.json,2025-07-25,https://www.szse.cn/api/disc/announcement/annList,9ef2dee5b456ecb4ffecd135d836b38c2e7124c4743b1b2ace82e71d05c4ce01,EVENT_SEARCH_SUPPORT_ONLY,EVENT_SEARCH_ONLY,EVENT_SEARCH_ONLY,NOT_BOUNDARY_EVIDENCE,公告检索支持按START_DATE/END_DATE查询公告发布日期，但只反映公告事件，不能证明历史证券状态快照。
szse-ann-000100-all-p5-20250806,000100,announcement_search_result,data/manual/stage8/security_status/sources/SZ/000100/szse_announcements_000100_all_p05.json,2025-07-25,https://www.szse.cn/api/disc/announcement/annList,a5d3f2929514fc64f95117e13811f21903eebcef52b41c844b86a433f6985777,EVENT_SEARCH_SUPPORT_ONLY,EVENT_SEARCH_ONLY,EVENT_SEARCH_ONLY,NOT_BOUNDARY_EVIDENCE,公告检索支持按START_DATE/END_DATE查询公告发布日期，但只反映公告事件，不能证明历史证券状态快照。
szse-ann-000100-all-p6-20250806,000100,announcement_search_result,data/manual/stage8/security_status/sources/SZ/000100/szse_announcements_000100_all_p06.json,2025-07-25,https://www.szse.cn/api/disc/announcement/annList,a1a9efd0db2fd1f3093ce1ffbea2b73eacf78f0d2e9064674ba3f3cb01d9c1d0,EVENT_SEARCH_SUPPORT_ONLY,EVENT_SEARCH_ONLY,EVENT_SEARCH_ONLY,NOT_BOUNDARY_EVIDENCE,公告检索支持按START_DATE/END_DATE查询公告发布日期，但只反映公告事件，不能证明历史证券状态快照。
szse-ann-000100-riskwarning-p1-20250806,000100,announcement_search_result,data/manual/stage8/security_status/sources/SZ/000100/szse_announcements_000100_riskwarning_p01.json,2025-07-25,https://www.szse.cn/api/disc/announcement/annList,623a2b4aa0de75d0685242ca41fe14e9eadb493315e17194845035fa58c6ef83,EVENT_SEARCH_SUPPORT_ONLY,EVENT_SEARCH_ONLY,EVENT_SEARCH_ONLY,NOT_BOUNDARY_EVIDENCE,公告检索支持按START_DATE/END_DATE查询公告发布日期，但只反映公告事件，不能证明历史证券状态快照。
szse-ann-000100-namechange-p1-20250806,000100,announcement_search_result,data/manual/stage8/security_status/sources/SZ/000100/szse_announcements_000100_namechange_p01.json,2025-07-25,https://www.szse.cn/api/disc/announcement/annList,623a2b4aa0de75d0685242ca41fe14e9eadb493315e17194845035fa58c6ef83,EVENT_SEARCH_SUPPORT_ONLY,EVENT_SEARCH_ONLY,EVENT_SEARCH_ONLY,NOT_BOUNDARY_EVIDENCE,公告检索支持按START_DATE/END_DATE查询公告发布日期，但只反映公告事件，不能证明历史证券状态快照。
szse-ann-000100-cancel_riskwarning-p1-20250806,000100,announcement_search_result,data/manual/stage8/security_status/sources/SZ/000100/szse_announcements_000100_cancel_riskwarning_p01.json,2025-07-25,https://www.szse.cn/api/disc/announcement/annList,623a2b4aa0de75d0685242ca41fe14e9eadb493315e17194845035fa58c6ef83,EVENT_SEARCH_SUPPORT_ONLY,EVENT_SEARCH_ONLY,EVENT_SEARCH_ONLY,NOT_BOUNDARY_EVIDENCE,公告检索支持按START_DATE/END_DATE查询公告发布日期，但只反映公告事件，不能证明历史证券状态快照。
szse-ann-000100-delisting-p1-20250806,000100,announcement_search_result,data/manual/stage8/security_status/sources/SZ/000100/szse_announcements_000100_delisting_p01.json,2025-07-25,https://www.szse.cn/api/disc/announcement/annList,623a2b4aa0de75d0685242ca41fe14e9eadb493315e17194845035fa58c6ef83,EVENT_SEARCH_SUPPORT_ONLY,EVENT_SEARCH_ONLY,EVENT_SEARCH_ONLY,NOT_BOUNDARY_EVIDENCE,公告检索支持按START_DATE/END_DATE查询公告发布日期，但只反映公告事件，不能证明历史证券状态快照。
official-ann-000100-baseline-2025-07-26,000100,company_announcement_pdf,data/manual/stage8/security_status/sources/SZ/000100/official_announcement_2025-07-26_baseline_5222cbf9.pdf,2025-07-26,https://disc.static.szse.cn/disc/disk03/finalpage/2025-07-25/e23eb7cf-7097-45c0-8254-0385309c78c7.PDF,de337b57a9760346ee7870619bc5b145c10b81d4f5c632d22b52c0ad09ad3442,BOUNDARY_ATTEMPT_INVALID,NO_STATUS_SNAPSHOT,INVALID_FOR_BOUNDARY,REJECTED,普通上市公司公告PDF不能单独证明NON_ST；按纠正后的证据标准，不得作为2025-07-25或2026-07-27边界状态证据。
official-ann-000100-end-2026-07-25,000100,company_announcement_pdf,data/manual/stage8/security_status/sources/SZ/000100/official_announcement_2026-07-25_end_b44b495d.pdf,2026-07-25,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-25/79f29728-fc34-4933-806b-b34c47169799.PDF,4da8a8910267b3a0e72deacc662d401d733051da3a49f7b78558b453ddbb785f,BOUNDARY_ATTEMPT_INVALID,NO_STATUS_SNAPSHOT,INVALID_FOR_BOUNDARY,REJECTED,普通上市公司公告PDF不能单独证明NON_ST；按纠正后的证据标准，不得作为2025-07-25或2026-07-27边界状态证据。
szse-stock-list-002067-20260806,002067,exchange_stock_list,data/manual/stage8/security_status/sources/SZ/002067/szse_stock_list_002067_2026-08-06.json,2026-08-06,https://www.szse.cn/api/report/ShowReport/data?SHOWTYPE=JSON&CATALOGID=1110&TABKEY=tab1&txtDMorJC=002067&PAGENO=1&random=0.844512081037795737,9e92db1e1c667121756739e8e3083fd39b98e21e314357b698c71dfc3d8e27dc,CURRENT_STATUS_SUPPORT_ONLY,CURRENT_ONLY,CURRENT_ONLY,NOT_BOUNDARY_EVIDENCE,交易所股票列表或风险警示板为当前快照，响应无业务日期且接口无历史日期参数，不能映射至2025-07-25或2026-07-27。
szse-ann-002067-all-p1-20250806,002067,announcement_search_result,data/manual/stage8/security_status/sources/SZ/002067/szse_announcements_002067_all_p01.json,2025-07-25,https://www.szse.cn/api/disc/announcement/annList,e70e1419c9fecde63b0b730ff95a4818f4851d2c0665243a86a57c17d9654e29,EVENT_SEARCH_SUPPORT_ONLY,EVENT_SEARCH_ONLY,EVENT_SEARCH_ONLY,NOT_BOUNDARY_EVIDENCE,公告检索支持按START_DATE/END_DATE查询公告发布日期，但只反映公告事件，不能证明历史证券状态快照。
szse-ann-002067-all-p2-20250806,002067,announcement_search_result,data/manual/stage8/security_status/sources/SZ/002067/szse_announcements_002067_all_p02.json,2025-07-25,https://www.szse.cn/api/disc/announcement/annList,7a4c96ee24064d129e0829100b6fc5e01b56ffb6efdd3309ea4d916e0e8a8562,EVENT_SEARCH_SUPPORT_ONLY,EVENT_SEARCH_ONLY,EVENT_SEARCH_ONLY,NOT_BOUNDARY_EVIDENCE,公告检索支持按START_DATE/END_DATE查询公告发布日期，但只反映公告事件，不能证明历史证券状态快照。
szse-ann-002067-all-p3-20250806,002067,announcement_search_result,data/manual/stage8/security_status/sources/SZ/002067/szse_announcements_002067_all_p03.json,2025-07-25,https://www.szse.cn/api/disc/announcement/annList,5b57395c5a34d51396ec14fc6e745d23a324b37a8b9479cb87ed7edb5118276b,EVENT_SEARCH_SUPPORT_ONLY,EVENT_SEARCH_ONLY,EVENT_SEARCH_ONLY,NOT_BOUNDARY_EVIDENCE,公告检索支持按START_DATE/END_DATE查询公告发布日期，但只反映公告事件，不能证明历史证券状态快照。
