attempt_id,symbol_scope,query_type,target_date,official_page_url,official_data_url,request_parameters,http_status,response_business_date,result_count,local_file,retrieved_at,evidence_grade,validation_status,notes
sse-riskplate-page-20260806_153639,SH_ALL,official_page_inspection,N/A,https://www.sse.com.cn/disclosure/listedinfo/riskplate/,N/A,GET HTML,200,无,1,reports/stage8_security_status_sse_historical_snapshot_audit/20260806_153639/sse_riskplate_page.html,2026-08-06T15:36:39+08:00,CURRENT_ONLY,NO_HISTORY_INTERFACE,页面仅含简介、业务规则和当前风险警示板，无历史名单入口。
sse-riskplate-js-20260806_153639,SH_ALL,official_js_inspection,N/A,https://www.sse.com.cn/disclosure/listedinfo/riskplate/,https://query.sse.com.cn/commonSoaQuery.do,sqlId=PL_SSGSXX_FXJSBGPLB; domesticIndicator; productType,200,无,1,reports/stage8_security_status_sse_historical_snapshot_audit/20260806_153639/search_listedCompanyInfo_2021.js,2026-08-06T15:36:39+08:00,CURRENT_ONLY,NO_HISTORY_PARAMETER,官方JS确认风险警示板请求未传任何日期参数。
sse-stocklist-page-20260806_153639,SH_ALL,official_page_inspection,N/A,https://www.sse.com.cn/assortment/stock/list/share/,N/A,GET HTML,200,无,1,reports/stage8_security_status_sse_historical_snapshot_audit/20260806_153639/sse_stock_list_page.html,2026-08-06T15:36:39+08:00,CURRENT_ONLY,NO_HISTORY_INTERFACE,A股列表页仅显示当前列表，无历史日期入口。
sse-stocklist-js-20260806_153639,SH_ALL,official_js_inspection,N/A,https://www.sse.com.cn/assortment/stock/list/share/,https://query.sse.com.cn/sseQuery/commonQuery.do,STOCK_CODE; sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L; COMPANY_STATUS,200,无,1,reports/stage8_security_status_sse_historical_snapshot_audit/20260806_153639/search_stocksDepositoryReceipts_2021.js,2026-08-06T15:36:39+08:00,CURRENT_ONLY,NO_HISTORY_PARAMETER,官方JS确认股票列表请求未传历史日期参数。
sse-riskplate-current-20260806_153639,SH_ALL,current_snapshot,N/A,https://www.sse.com.cn/disclosure/listedinfo/riskplate/,https://query.sse.com.cn/commonSoaQuery.do,sqlId=PL_SSGSXX_FXJSBGPLB; domesticIndicator=S; productType=0,200,queryDate=''; searchDate=null,72,reports/stage8_security_status_sse_historical_snapshot_audit/20260806_153639/query_sse_riskplate_current.jsonp,2026-08-06T15:36:39+08:00,CURRENT_ONLY,NOT_HISTORICAL,8只目标沪市股票均不在当前风险警示板，但该结果不能映射至历史边界日。
sse-stocklist-600231-current-20260806_153639,600231,current_snapshot,N/A,https://www.sse.com.cn/assortment/stock/list/share/,https://query.sse.com.cn/sseQuery/commonQuery.do,"STOCK_CODE=600231; sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L; COMPANY_STATUS=2,4,5,7,8",200,queryDate=''; pageHelp.startDate/endDate=null,1,reports/stage8_security_status_sse_historical_snapshot_audit/20260806_153639/query_sse_stock_list_600231_current.jsonp,2026-08-06T15:36:39+08:00,CURRENT_ONLY,NOT_HISTORICAL,响应仅含当前A股列表信息，无业务日期，不能作为历史边界证据。
sse-ann-600231-20250725-20260806_153639,600231,announcement_event_search,2025-07-25,https://www.sse.com.cn/disclosure/listedinfo/announcement/,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,START_DATE=2025-07-25; END_DATE=2025-07-25; SECURITY_CODE=600231,200,SSEDATE=2025-07-25,2,reports/stage8_security_status_sse_historical_snapshot_audit/20260806_153639/query_sse_announcement_600231_20250725.jsonp,2026-08-06T15:36:39+08:00,EVENT_SEARCH_ONLY,NOT_BOUNDARY_EVIDENCE,当天2条均为董事、高管辞职等普通公告，不能证明证券状态。
sse-ann-600231-20260727-20260806_153639,600231,announcement_event_search,2026-07-27,https://www.sse.com.cn/disclosure/listedinfo/announcement/,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,START_DATE=2026-07-27; END_DATE=2026-07-27; SECURITY_CODE=600231,200,SSEDATE=N/A; total=0,0,reports/stage8_security_status_sse_historical_snapshot_audit/20260806_153639/query_sse_announcement_600231_20260727.jsonp,2026-08-06T15:36:39+08:00,EVENT_SEARCH_ONLY,NOT_BOUNDARY_EVIDENCE,零公告不能解释为NON_ST，仍需历史状态名单。
sseinfo-historical-products-20260806_153639,SH_ALL,official_product_doc,N/A,https://www.sseinfo.com/services/assortment/historical/,N/A,GET HTML,200,不适用,1,reports/stage8_security_status_sse_historical_snapshot_audit/20260806_153639/sse_historical_products.html,2026-08-06T15:36:39+08:00,SUBSCRIPTION_ONLY,NOT_PUBLIC_DOWNLOAD,官方页面将历史数据列为产品，含证券基本信息文件，但未提供公开按日下载。
sseinfo-basic-file-doc-20260806_153639,SH_ALL,official_product_doc,N/A,https://www.sseinfo.com/services/assortment/historical/,https://www.sseinfo.com/services/assortment/document/product/c/10010539/files/5322995.pdf,GET PDF,200,不适用,1,reports/stage8_security_status_sse_historical_snapshot_audit/20260806_153639/sse_basic_file_doc.pdf,2026-08-06T15:36:39+08:00,SUBSCRIPTION_ONLY,NOT_PUBLIC_DOWNLOAD,官方产品说明将证券基本信息文件纳入历史数据订阅服务。
sseinfo-market-file-doc-20260806_153639,SH_ALL,official_product_doc,N/A,https://www.sseinfo.com/services/assortment/historical/,https://www.sseinfo.com/services/assortment/market/hqywwd/wdkfcsjk/c/10776917/files/54f07b0ece334b729a01d1ffb5c6ae5a.pdf,GET PDF,200,不适用,1,reports/stage8_security_status_sse_historical_snapshot_audit/20260806_153639/sse_market_file_doc.pdf,2026-08-06T15:36:39+08:00,SUBSCRIPTION_ONLY,NOT_PUBLIC_DOWNLOAD,官方文档提到products_yyyymmdd.xml等按日文件命名，但无公开下载入口。
sse-publicdata-directory-20260806_153639,SH_ALL,official_page_inspection,N/A,https://www.sse.com.cn/market/publicdata/,N/A,GET HTML,200,无,1,reports/stage8_security_status_sse_historical_snapshot_audit/20260806_153639/sse_publicdata_page.html,2026-08-06T15:36:39+08:00,CURRENT_ONLY,NO_HISTORY_INTERFACE,公开数据目录指向当前股票列表、风险警示板和暂停/终止上市公司栏目，无历史快照。
sse-tradingtech-spec-404-20260806_153639,SH_ALL,official_interface_spec,N/A,https://www.sse.com.cn/services/tradingtech/data/,http://big5.sse.com.cn/site/cht/www.sse.com.cn/services/tradingtech/data/c/10800108/files/8c0e10542f8b47d5ad2b0874ea51b5ae.pdf,GET PDF,404,不适用,0,reports/stage8_security_status_sse_historical_snapshot_audit/20260806_153639/sse_tradingtech_data_spec.404.html,2026-08-06T15:36:39+08:00,TECHNICAL_INTERFACE_ONLY,UNAVAILABLE,官方直接URL与搜索结果的繁体镜像URL均返回404；无法据此取得历史证券信息文件公开下载入口。
prev-600231-riskwarning-20260806_143005,600231,announcement_event_search,2025-07-25至2026-07-27,https://www.sse.com.cn/disclosure/listedinfo/announcement/,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""600231""], ""keyword"": ""风险警示""}",200,N/A,0,data/manual/stage8/security_status/sources/SH/600231/*riskwarning*,2026-08-06T14:35:53+08:00,EVENT_SEARCH_ONLY,NOT_BOUNDARY_EVIDENCE,窗口内风险警示关键词公告检索为0，但不能单独证明历史NON_ST。
prev-600438-riskwarning-20260806_143005,600438,announcement_event_search,2025-07-25至2026-07-27,https://www.sse.com.cn/disclosure/listedinfo/announcement/,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""600438""], ""keyword"": ""风险警示""}",200,N/A,0,data/manual/stage8/security_status/sources/SH/600438/*riskwarning*,2026-08-06T14:35:53+08:00,EVENT_SEARCH_ONLY,NOT_BOUNDARY_EVIDENCE,窗口内风险警示关键词公告检索为0，但不能单独证明历史NON_ST。
prev-600763-riskwarning-20260806_143005,600763,announcement_event_search,2025-07-25至2026-07-27,https://www.sse.com.cn/disclosure/listedinfo/announcement/,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""600763""], ""keyword"": ""风险警示""}",200,N/A,0,data/manual/stage8/security_status/sources/SH/600763/*riskwarning*,2026-08-06T14:35:53+08:00,EVENT_SEARCH_ONLY,NOT_BOUNDARY_EVIDENCE,窗口内风险警示关键词公告检索为0，但不能单独证明历史NON_ST。
prev-601012-riskwarning-20260806_143005,601012,announcement_event_search,2025-07-25至2026-07-27,https://www.sse.com.cn/disclosure/listedinfo/announcement/,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""601012""], ""keyword"": ""风险警示""}",200,N/A,0,data/manual/stage8/security_status/sources/SH/601012/*riskwarning*,2026-08-06T14:35:53+08:00,EVENT_SEARCH_ONLY,NOT_BOUNDARY_EVIDENCE,窗口内风险警示关键词公告检索为0，但不能单独证明历史NON_ST。
prev-601500-riskwarning-20260806_143005,601500,announcement_event_search,2025-07-25至2026-07-27,https://www.sse.com.cn/disclosure/listedinfo/announcement/,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""601500""], ""keyword"": ""风险警示""}",200,N/A,0,data/manual/stage8/security_status/sources/SH/601500/*riskwarning*,2026-08-06T14:35:53+08:00,EVENT_SEARCH_ONLY,NOT_BOUNDARY_EVIDENCE,窗口内风险警示关键词公告检索为0，但不能单独证明历史NON_ST。
prev-601636-riskwarning-20260806_143005,601636,announcement_event_search,2025-07-25至2026-07-27,https://www.sse.com.cn/disclosure/listedinfo/announcement/,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""601636""], ""keyword"": ""风险警示""}",200,N/A,0,data/manual/stage8/security_status/sources/SH/601636/*riskwarning*,2026-08-06T14:35:53+08:00,EVENT_SEARCH_ONLY,NOT_BOUNDARY_EVIDENCE,窗口内风险警示关键词公告检索为0，但不能单独证明历史NON_ST。
prev-603259-riskwarning-20260806_143005,603259,announcement_event_search,2025-07-25至2026-07-27,https://www.sse.com.cn/disclosure/listedinfo/announcement/,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""603259""], ""keyword"": ""风险警示""}",200,N/A,0,data/manual/stage8/security_status/sources/SH/603259/*riskwarning*,2026-08-06T14:35:53+08:00,EVENT_SEARCH_ONLY,NOT_BOUNDARY_EVIDENCE,窗口内风险警示关键词公告检索为0，但不能单独证明历史NON_ST。
