endpoint_name,official_page_url,official_data_url,query_parameters,response_fields,business_date_field,pagination,historical_capability,access_model,evidence_use,source_reference,notes
上交所风险警示板名单JSONP,https://www.sse.com.cn/disclosure/listedinfo/riskplate/,https://query.sse.com.cn/commonSoaQuery.do,jsonCallBack; sqlId=PL_SSGSXX_FXJSBGPLB; domesticIndicator; productType,"pageHelp.data/result -> INSTRUMENT_ID, INSTRUMENT_SHORT",无历史日期参数；响应queryDate=''、searchDate=null,否,CURRENT_ONLY,公开网页接口,只能证明检索时点不在当前风险警示板，不能证明历史边界状态,https://www.sse.com.cn/xhtml/home/2021public/querySearch/search_listedCompanyInfo_2021.js,官方JS仅传sqlId/domesticIndicator/productType，无日期参数。
上交所科创板风险警示名单JSONP,https://www.sse.com.cn/disclosure/listedinfo/riskplate/,https://query.sse.com.cn/commonSoaQuery.do,jsonCallBack; sqlId=SSE_PL_SSGSXX_KCBFXTS_L; type,"result -> secCode, secNameCn",无历史日期参数；仅当前名单,否,CURRENT_ONLY,公开网页接口,只能证明检索时点当前状态，不能证明历史边界状态,https://www.sse.com.cn/xhtml/home/2021public/querySearch/search_listedCompanyInfo_2021.js,官方JS仅传sqlId/type，无日期参数。
上交所A股列表JSONP,https://www.sse.com.cn/assortment/stock/list/share/,https://query.sse.com.cn/sseQuery/commonQuery.do,STOCK_TYPE; STOCK_CODE; sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L; COMPANY_STATUS; type=inParams; isPagination; pageHelp.*,"A_STOCK_CODE, COMPANY_ABBR, STATE_CODE, STATE_CODE_STOCK, LIST_DATE, DELIST_DATE, PRODUCT_STATUS",无历史日期参数；响应queryDate=''、pageHelp.startDate/endDate=null,是，pageHelp.*,CURRENT_ONLY,公开网页接口,只能证明当前上市状态，不能证明历史边界状态,https://www.sse.com.cn/xhtml/home/2021public/querySearch/search_stocksDepositoryReceipts_2021.js,官方JS仅传STOCK_CODE/COMPANY_STATUS等，无历史日期参数。
上交所暂停/终止上市公司列表JSONP,https://www.sse.com.cn/assortment/stock/list/delisting/,https://query.sse.com.cn/commonQuery.do,STOCK_CODE; sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_ZZGP_L 或 COMMON_SSE_CP_GPJCTPZ_GPLB_ZTGP_L; COMPANY_STATUS; pageHelp.*,"A_STOCK_CODE, COMPANY_ABBR, LIST_DATE, DELIST_DATE",无历史日期参数；官方JS中的参数未含日期,是，pageHelp.*,CURRENT_ONLY,公开网页接口,只能作为当前暂停/终止状态辅助证据,https://www.sse.com.cn/xhtml/home/2021public/querySearch/search_stocksDepositoryReceipts_2021.js,参数依据官方JS，本轮未重复下载响应。
上交所公司公告检索JSONP,https://www.sse.com.cn/disclosure/listedinfo/announcement/,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,isPagination; pageHelp.*; START_DATE; END_DATE; SECURITY_CODE; TITLE; BULLETIN_TYPE; stockType,"SSEDATE, SECURITY_CODE, SECURITY_NAME, TITLE, URL",SSEDATE为公告发布日期,是，pageHelp.*,EVENT_SEARCH_ONLY,公开网页接口,只能用于事件检索，不能单独证明历史NON_ST,https://www.sse.com.cn/xhtml/home/2021public/querySearch/search_listedCompanyInfo_2021.js,START_DATE/END_DATE只约束公告发布日期，不是证券状态快照日期。
上交所发行上市公告检索JSONP,https://www.sse.com.cn/assortment/stock/home/,https://query.sse.com.cn/security/stock/queryCompanyBulletin.do,productId; securityType; reportType2=LSGG; reportType=FXSSGG; beginDate; endDate; pageHelp.*,"SECURITY_CODE, SECURITY_NAME, SSEDATE, TITLE, URL",SSEDATE为公告发布日期,是，pageHelp.*,EVENT_SEARCH_ONLY,公开网页接口,只能检索发行上市公告事件，不能单独证明持续上市状态,https://www.sse.com.cn/xhtml/home/2021public/querySearch/search_listedCompanyInfo_2021.js,beginDate/endDate用于发行上市公告日期范围，不是证券状态快照。
上证所信息公司行情历史数据产品,https://www.sseinfo.com/services/assortment/historical/,无公开按日下载URL,不适用,证券基本信息文件、行情快照、逐笔、K线等,历史数据产品按订阅交付,不适用,SUBSCRIPTION_ONLY,付费订阅/技术接入,官方说明含证券基本信息文件，但本项目未获得订阅授权，不能直接下载,https://www.sseinfo.com/services/assortment/document/product/c/10010539/files/5322995.pdf,无法以公开方式取得2025-07-25或2026-07-27历史文件。
上证所信息公司上证智能数据历史数据订阅,https://www.sseinfo.com/services/assortment/znsj/,无公开按日下载URL,不适用,历史数据、每日数据、证券基础数据,按订阅服务提供,不适用,SUBSCRIPTION_ONLY,付费订阅/云服务,仅登记为官方订阅端点，不能作为本轮公开证据,https://www.sseinfo.com/services/assortment/znsj/,未授权访问历史存量数据。
上交所对外公示数据目录,https://www.sse.com.cn/market/publicdata/,目录页仅链接现有栏目,不适用,风险警示板、股票列表、暂停/终止上市公司等栏目,无历史状态快照入口,不适用,CURRENT_ONLY,公开网页,确认官网公开目录中无历史证券状态快照栏目,https://www.sse.com.cn/market/publicdata/,栏目均指向当前列表或公告，未发现历史名单下载。
上交所数据文件交换接口规范,https://www.sse.com.cn/services/tradingtech/data/,http://big5.sse.com.cn/site/cht/www.sse.com.cn/services/tradingtech/data/c/10800108/files/8c0e10542f8b47d5ad2b0874ea51b5ae.pdf,YYYYMMDD文件名（产品基础信息等）,产品基础信息、非交易业务基础信息等,文件名中的YYYYMMDD表示适用日期,不适用,TECHNICAL_INTERFACE_ONLY,面向市场参与主体的技术接口,规范显示存在按日文件命名，但官网未提供公开下载入口,https://www.sse.com.cn/services/tradingtech/data/c/10800108/files/8c0e10542f8b47d5ad2b0874ea51b5ae.pdf,直接URL在本轮返回404；搜索结果中的繁体镜像地址也返回404，未获得文件本体。
