symbol,exchange,board,evidence_role,required_date,evidence_business_date,official_page_url,official_data_url,local_file,retrieved_at,sha256,listing_status,risk_warning_status,security_name,date_mapping_reason,evidence_grade,validation_status,notes
000100,SZ,main,baseline_2025-07-25,2025-07-25,,https://www.szse.cn/market/product/stock/list/index.html,https://www.szse.cn/api/report/ShowReport/data?SHOWTYPE=JSON&CATALOGID=1110&TABKEY=tab1&txtDMorJC=000100&PAGENO=1&random=0.725742600650652547,data/manual/stage8/security_status/sources/SZ/000100/szse_stock_list_000100_2026-08-06.json; reports/stage8_security_status_szse_historical_snapshot_audit/20260806_154939/szse_riskplate_p1.json ... szse_riskplate_p7.json,2026-08-06T14:35:53+08:00,00a2fe09f35d449ea955f3691b0172e053259f1fb4bafb45188ec203a80f8041,CURRENT_LISTED_ONLY,CURRENT_ABSENT_ONLY,TCL科技,深交所风险警示板和A股列表接口均无历史日期参数，当前快照不能映射至2025-07-25。,CURRENT_ONLY,PARTIAL,普通公告PDF已剔除；月度停牌/风险警示事件表不含该股票，但零事件记录不能证明历史NON_ST；未取得历史证券状态快照。
000100,SZ,main,endpoint_2026-07-27,2026-07-27,,https://www.szse.cn/market/product/stock/list/index.html,https://www.szse.cn/api/report/ShowReport/data?SHOWTYPE=JSON&CATALOGID=1110&TABKEY=tab1&txtDMorJC=000100&PAGENO=1&random=0.725742600650652547,data/manual/stage8/security_status/sources/SZ/000100/szse_stock_list_000100_2026-08-06.json; reports/stage8_security_status_szse_historical_snapshot_audit/20260806_154939/szse_riskplate_p1.json ... szse_riskplate_p7.json,2026-08-06T14:35:53+08:00,00a2fe09f35d449ea955f3691b0172e053259f1fb4bafb45188ec203a80f8041,CURRENT_LISTED_ONLY,CURRENT_ABSENT_ONLY,TCL科技,深交所风险警示板和A股列表接口均无历史日期参数，当前快照不能映射至2026-07-27。,CURRENT_ONLY,PARTIAL,普通公告PDF已剔除；月度停牌/风险警示事件表不含该股票，但零事件记录不能证明历史NON_ST；未取得历史证券状态快照。
002067,SZ,main,baseline_2025-07-25,2025-07-25,,https://www.szse.cn/market/product/stock/list/index.html,https://www.szse.cn/api/report/ShowReport/data?SHOWTYPE=JSON&CATALOGID=1110&TABKEY=tab1&txtDMorJC=002067&PAGENO=1&random=0.844512081037795737,data/manual/stage8/security_status/sources/SZ/002067/szse_stock_list_002067_2026-08-06.json; reports/stage8_security_status_szse_historical_snapshot_audit/20260806_154939/szse_riskplate_p1.json ... szse_riskplate_p7.json,2026-08-06T14:35:53+08:00,9e92db1e1c667121756739e8e3083fd39b98e21e314357b698c71dfc3d8e27dc,CURRENT_LISTED_ONLY,CURRENT_ABSENT_ONLY,景兴纸业,深交所风险警示板和A股列表接口均无历史日期参数，当前快照不能映射至2025-07-25。,CURRENT_ONLY,PARTIAL,普通公告PDF已剔除；月度停牌/风险警示事件表不含该股票，但零事件记录不能证明历史NON_ST；未取得历史证券状态快照。
002067,SZ,main,endpoint_2026-07-27,2026-07-27,,https://www.szse.cn/market/product/stock/list/index.html,https://www.szse.cn/api/report/ShowReport/data?SHOWTYPE=JSON&CATALOGID=1110&TABKEY=tab1&txtDMorJC=002067&PAGENO=1&random=0.844512081037795737,data/manual/stage8/security_status/sources/SZ/002067/szse_stock_list_002067_2026-08-06.json; reports/stage8_security_status_szse_historical_snapshot_audit/20260806_154939/szse_riskplate_p1.json ... szse_riskplate_p7.json,2026-08-06T14:35:53+08:00,9e92db1e1c667121756739e8e3083fd39b98e21e314357b698c71dfc3d8e27dc,CURRENT_LISTED_ONLY,CURRENT_ABSENT_ONLY,景兴纸业,深交所风险警示板和A股列表接口均无历史日期参数，当前快照不能映射至2026-07-27。,CURRENT_ONLY,PARTIAL,普通公告PDF已剔除；月度停牌/风险警示事件表不含该股票，但零事件记录不能证明历史NON_ST；未取得历史证券状态快照。
002129,SZ,main,baseline_2025-07-25,2025-07-25,,https://www.szse.cn/market/product/stock/list/index.html,https://www.szse.cn/api/report/ShowReport/data?SHOWTYPE=JSON&CATALOGID=1110&TABKEY=tab1&txtDMorJC=002129&PAGENO=1&random=0.677945952647346139,data/manual/stage8/security_status/sources/SZ/002129/szse_stock_list_002129_2026-08-06.json; reports/stage8_security_status_szse_historical_snapshot_audit/20260806_154939/szse_riskplate_p1.json ... szse_riskplate_p7.json,2026-08-06T14:35:53+08:00,fbb16beb8c560965edce2cc829560a9eaac3ef733c901cd655b525d658e6f26a,CURRENT_LISTED_ONLY,CURRENT_ABSENT_ONLY,TCL中环,深交所风险警示板和A股列表接口均无历史日期参数，当前快照不能映射至2025-07-25。,CURRENT_ONLY,PARTIAL,普通公告PDF已剔除；月度停牌/风险警示事件表不含该股票，但零事件记录不能证明历史NON_ST；未取得历史证券状态快照。
002129,SZ,main,endpoint_2026-07-27,2026-07-27,,https://www.szse.cn/market/product/stock/list/index.html,https://www.szse.cn/api/report/ShowReport/data?SHOWTYPE=JSON&CATALOGID=1110&TABKEY=tab1&txtDMorJC=002129&PAGENO=1&random=0.677945952647346139,data/manual/stage8/security_status/sources/SZ/002129/szse_stock_list_002129_2026-08-06.json; reports/stage8_security_status_szse_historical_snapshot_audit/20260806_154939/szse_riskplate_p1.json ... szse_riskplate_p7.json,2026-08-06T14:35:53+08:00,fbb16beb8c560965edce2cc829560a9eaac3ef733c901cd655b525d658e6f26a,CURRENT_LISTED_ONLY,CURRENT_ABSENT_ONLY,TCL中环,深交所风险警示板和A股列表接口均无历史日期参数，当前快照不能映射至2026-07-27。,CURRENT_ONLY,PARTIAL,普通公告PDF已剔除；月度停牌/风险警示事件表不含该股票，但零事件记录不能证明历史NON_ST；未取得历史证券状态快照。
002230,SZ,main,baseline_2025-07-25,2025-07-25,,https://www.szse.cn/market/product/stock/list/index.html,https://www.szse.cn/api/report/ShowReport/data?SHOWTYPE=JSON&CATALOGID=1110&TABKEY=tab1&txtDMorJC=002230&PAGENO=1&random=0.762020801770172507,data/manual/stage8/security_status/sources/SZ/002230/szse_stock_list_002230_2026-08-06.json; reports/stage8_security_status_szse_historical_snapshot_audit/20260806_154939/szse_riskplate_p1.json ... szse_riskplate_p7.json,2026-08-06T14:35:53+08:00,7418b7b1414502a1fdf2865e90e9757de9257da61d1ebec925e9530d76f7112b,CURRENT_LISTED_ONLY,CURRENT_ABSENT_ONLY,科大讯飞,深交所风险警示板和A股列表接口均无历史日期参数，当前快照不能映射至2025-07-25。,CURRENT_ONLY,PARTIAL,普通公告PDF已剔除；月度停牌/风险警示事件表不含该股票，但零事件记录不能证明历史NON_ST；未取得历史证券状态快照。
002230,SZ,main,endpoint_2026-07-27,2026-07-27,,https://www.szse.cn/market/product/stock/list/index.html,https://www.szse.cn/api/report/ShowReport/data?SHOWTYPE=JSON&CATALOGID=1110&TABKEY=tab1&txtDMorJC=002230&PAGENO=1&random=0.762020801770172507,data/manual/stage8/security_status/sources/SZ/002230/szse_stock_list_002230_2026-08-06.json; reports/stage8_security_status_szse_historical_snapshot_audit/20260806_154939/szse_riskplate_p1.json ... szse_riskplate_p7.json,2026-08-06T14:35:53+08:00,7418b7b1414502a1fdf2865e90e9757de9257da61d1ebec925e9530d76f7112b,CURRENT_LISTED_ONLY,CURRENT_ABSENT_ONLY,科大讯飞,深交所风险警示板和A股列表接口均无历史日期参数，当前快照不能映射至2026-07-27。,CURRENT_ONLY,PARTIAL,普通公告PDF已剔除；月度停牌/风险警示事件表不含该股票，但零事件记录不能证明历史NON_ST；未取得历史证券状态快照。
002361,SZ,main,baseline_2025-07-25,2025-07-25,,https://www.szse.cn/market/product/stock/list/index.html,https://www.szse.cn/api/report/ShowReport/data?SHOWTYPE=JSON&CATALOGID=1110&TABKEY=tab1&txtDMorJC=002361&PAGENO=1&random=0.175686844715734147,data/manual/stage8/security_status/sources/SZ/002361/szse_stock_list_002361_2026-08-06.json; reports/stage8_security_status_szse_historical_snapshot_audit/20260806_154939/szse_riskplate_p1.json ... szse_riskplate_p7.json,2026-08-06T14:35:53+08:00,a53b3501a89772261bf0b495b4343a4785b3bbd3b2f53dcdc1951a329bd2c039,CURRENT_LISTED_ONLY,CURRENT_ABSENT_ONLY,神剑股份,深交所风险警示板和A股列表接口均无历史日期参数，当前快照不能映射至2025-07-25。,CURRENT_ONLY,PARTIAL,普通公告PDF已剔除；月度停牌/风险警示事件表不含该股票，但零事件记录不能证明历史NON_ST；未取得历史证券状态快照。
002361,SZ,main,endpoint_2026-07-27,2026-07-27,,https://www.szse.cn/market/product/stock/list/index.html,https://www.szse.cn/api/report/ShowReport/data?SHOWTYPE=JSON&CATALOGID=1110&TABKEY=tab1&txtDMorJC=002361&PAGENO=1&random=0.175686844715734147,data/manual/stage8/security_status/sources/SZ/002361/szse_stock_list_002361_2026-08-06.json; reports/stage8_security_status_szse_historical_snapshot_audit/20260806_154939/szse_riskplate_p1.json ... szse_riskplate_p7.json,2026-08-06T14:35:53+08:00,a53b3501a89772261bf0b495b4343a4785b3bbd3b2f53dcdc1951a329bd2c039,CURRENT_LISTED_ONLY,CURRENT_ABSENT_ONLY,神剑股份,深交所风险警示板和A股列表接口均无历史日期参数，当前快照不能映射至2026-07-27。,CURRENT_ONLY,PARTIAL,普通公告PDF已剔除；月度停牌/风险警示事件表不含该股票，但零事件记录不能证明历史NON_ST；未取得历史证券状态快照。
