attempt_id,symbol_scope,query_type,target_date,official_page_url,official_data_url,request_parameters,http_status,response_business_date,result_count,local_file,retrieved_at,evidence_grade,validation_status,notes
szse-riskpage-20260806_154939,SZ_ALL,official_page_inspection,N/A,https://www.szse.cn/disclosure/listed/warn/index.html,N/A,GET HTML,200,无,1,reports/stage8_security_status_szse_historical_snapshot_audit/20260806_154939/szse_risk_warning_page.html,2026-08-06T15:49:39+08:00,CURRENT_ONLY,NO_HISTORY_INTERFACE,页面仅加载当前风险警示板报表，无历史名单入口。
szse-riskplate-full-pages-20260806_154939,SZ_ALL,current_snapshot,N/A,https://www.szse.cn/disclosure/listed/warn/index.html,https://www.szse.cn/api/report/ShowReport/data,CATALOGID=fxjsb; TABKEY=tab1; PAGENO=1..7,200,subname=2026-08-06,123,reports/stage8_security_status_szse_historical_snapshot_audit/20260806_154939/szse_riskplate_p1.json ... p7.json,2026-08-06T15:49:39+08:00,CURRENT_ONLY,NOT_HISTORICAL,完整123只当前风险警示股票中，8只目标股票均不在名单；该结果不能映射历史边界。
szse-stocklist-page-20260806_154939,SZ_ALL,official_page_inspection,N/A,https://www.szse.cn/market/product/stock/list/index.html,N/A,GET HTML,200,无,1,reports/stage8_security_status_szse_historical_snapshot_audit/20260806_154939/szse_stock_list_page.html,2026-08-06T15:49:39+08:00,CURRENT_ONLY,NO_HISTORY_INTERFACE,A股列表页metadata.conditions不含日期。
szse-stocklist-current-20260806_154939,SZ_ALL,current_snapshot,N/A,https://www.szse.cn/market/product/stock/list/index.html,https://www.szse.cn/api/report/ShowReport/data,CATALOGID=1110; TABKEY=tab1; txtDMorJC,200,subname=2026-08-06,8,data/manual/stage8/security_status/sources/SZ/<symbol>/szse_stock_list_<symbol>_2026-08-06.json,2026-08-06T14:35:53+08:00,CURRENT_ONLY,NOT_HISTORICAL,现有8个A股列表JSON均为当前快照。
szse-namechange-page-20260806_154939,SZ_ALL,official_page_inspection,N/A,https://www.szse.cn/market/stock/changename/index.html,N/A,GET HTML,200,无,1,reports/stage8_security_status_szse_historical_snapshot_audit/20260806_154939/szse_stock_namechange_page.html,2026-08-06T15:49:39+08:00,EVENT_SEARCH_ONLY,DATE_RANGE_EVENT_ONLY,名称变更报表支持txtKsrq/txtZzrq，但只返回变更事件。
szse-namechange-metadata-20260806_154939,SZ_ALL,official_endpoint_metadata,N/A,https://www.szse.cn/market/stock/changename/index.html,https://www.szse.cn/api/report/ShowReport/data,CATALOGID=SSGSGMXX; TABKEY=tab2; PAGENO=1,200,txtKsrq/txtZzrq日期控件,0,reports/stage8_security_status_szse_historical_snapshot_audit/20260806_154939/szse_namechange_metadata.json,2026-08-06T15:49:39+08:00,EVENT_SEARCH_ONLY,NOT_BOUNDARY_EVIDENCE,官方metadata确认存在起止日期条件。
szse-suspend-page-20260806_154939,SZ_ALL,official_page_inspection,N/A,https://www.szse.cn/market/stock/suspend/index.html,N/A,GET HTML,200,无,1,reports/stage8_security_status_szse_historical_snapshot_audit/20260806_154939/szse_stock_suspend_page.html,2026-08-06T15:49:39+08:00,CURRENT_ONLY,NO_HISTORY_INTERFACE,暂停/终止上市页面仅当前列表。
szse-suspend-metadata-20260806_154939,SZ_ALL,official_endpoint_metadata,N/A,https://www.szse.cn/market/stock/suspend/index.html,https://www.szse.cn/api/report/ShowReport/data,CATALOGID=1793_ssgs; TABKEY=tab1; PAGENO=1,200,无,0,reports/stage8_security_status_szse_historical_snapshot_audit/20260806_154939/szse_suspend_metadata.json,2026-08-06T15:49:39+08:00,CURRENT_ONLY,NOT_HISTORICAL,暂停/终止上市当前名单为空，且无日期参数。
szse-allproduct-page-20260806_154939,SZ_ALL,official_page_inspection,N/A,https://www.szse.cn/market/product/list/all/index.html,N/A,GET HTML,200,无,1,reports/stage8_security_status_szse_historical_snapshot_audit/20260806_154939/szse_all_product_list_page.html,2026-08-06T15:49:39+08:00,CURRENT_ONLY,NO_HISTORY_INTERFACE,全部产品列表为当前列表，不含股票历史状态。
szse-monthly-202507-20260806_154939,SZ_ALL,official_monthly_event_table,2025-07,https://www.szse.cn/market/periodical/month/t20250805_615341.html,http://docs.static.szse.cn/www/market/periodical/month/W020250805527892740980.html,GET HTML,200,停牌时间/复牌时间精确到时分,27,reports/stage8_security_status_szse_historical_snapshot_audit/20260806_154939/szse_suspension_202507.html,2026-08-06T15:49:39+08:00,EVENT_SEARCH_ONLY,NOT_BOUNDARY_EVIDENCE,8只目标股票均未出现在2025年7月停牌/风险警示事件表中。
