endpoint_name,official_page_url,official_data_url,query_parameters,response_fields,business_date_field,pagination,historical_capability,access_model,evidence_use,source_reference,notes
深交所风险警示板名单报表接口,https://www.szse.cn/disclosure/listed/warn/index.html,https://www.szse.cn/api/report/ShowReport/data,SHOWTYPE=JSON; CATALOGID=fxjsb; TABKEY; PAGENO; random,"metadata.subname; data -> zqdm, gsjc",metadata.subname为当前日期，无历史日期参数,是，PAGENO/pagecount/recordcount,CURRENT_ONLY,公开网页接口,只能证明检索时点是否在风险警示板，不能证明历史边界状态,https://www.szse.cn/modules/report/js/report_new.min.js,官方JS将查询条件由报表metadata.conditions生成，fxjsb无date条件。
深交所A股列表报表接口,https://www.szse.cn/market/product/stock/list/index.html,https://www.szse.cn/api/report/ShowReport/data,SHOWTYPE=JSON; CATALOGID=1110; TABKEY; PAGENO; txtDMorJC; selectHylb; selectModule; txtShengorShi,"agdm, agjc, agssrq, agzgb, agltgb, ylbz",metadata.subname为当前日期，无历史日期参数,是，PAGENO/pagecount/recordcount,CURRENT_ONLY,公开网页接口,只能证明当前A股列表，不能映射至2025-07-25或2026-07-27,https://www.szse.cn/modules/report/js/report_new.min.js,metadata.conditions不含date输入项。
深交所全部产品列表报表接口,https://www.szse.cn/market/product/list/all/index.html,https://www.szse.cn/api/report/ShowReport/data,SHOWTYPE=JSON; CATALOGID=1105; TABKEY; PAGENO; txtkey1; txtkey2; selectJjlb; selectTzlb,"sys_key, jjjcurl, ssrq, dqgm",metadata.subname为当前日期，无历史日期参数,是，PAGENO/pagecount/recordcount,CURRENT_ONLY,公开网页接口,主要包含基金列表，不能用于股票历史边界状态,https://www.szse.cn/modules/report/js/report_new.min.js,metadata.conditions不含date输入项。
深交所证券名称变更报表接口,https://www.szse.cn/market/stock/changename/index.html,https://www.szse.cn/api/report/ShowReport/data,SHOWTYPE=JSON; CATALOGID=SSGSGMXX; TABKEY=tab2; PAGENO; txtZqdm; txtKsrq; txtZzrq,"bgrq, zqdm, zqjc, bgqzqjc, bghzqjc",txtKsrq/txtZzrq为变更事件日期范围,是，PAGENO/pagecount/recordcount,EVENT_SEARCH_ONLY,公开网页接口,只提供证券简称变更事件，不能证明无变更或无风险警示状态,https://www.szse.cn/modules/report/js/report_new.min.js,窗口内8只目标股票名称变更查询结果均为0。
深交所暂停/终止上市报表接口,https://www.szse.cn/market/stock/suspend/index.html,https://www.szse.cn/api/report/ShowReport/data,SHOWTYPE=JSON; CATALOGID=1793_ssgs; TABKEY; PAGENO; selectModule,"zqdm, zqjc, ssrq, ztrq, zzrq",无历史日期参数,是，PAGENO/pagecount/recordcount,CURRENT_ONLY,公开网页接口,只提供当前暂停/终止上市列表，且当前为空,https://www.szse.cn/modules/report/js/report_new.min.js,metadata.conditions仅selectModule，无日期。
深交所公告检索接口,https://www.szse.cn/disclosure/listed/notice/index.html,https://www.szse.cn/api/disc/announcement/annList,"POST body -> seDate, stock, keyword, channelCode, random","announcementTitle, announcementTime, attachmentPath",seDate为公告日期范围,是，pageSize/pageNum,EVENT_SEARCH_ONLY,公开网页接口,只用于事件检索，不能单独证明历史NON_ST,原收集脚本 collect_official_sources.py,原审计窗口内风险警示等关键词检索为0。
深交所统计月报-证券停牌情况,https://www.szse.cn/market/periodical/month/index.html,http://docs.static.szse.cn/www/market/periodical/month/W020250805527892740980.html,静态HTML，按月度归档,代码、证券简称、停牌原因、停牌时间、复牌时间,停牌时间/复牌时间为精确日期时间,否,EVENT_SEARCH_ONLY,公开网页,提供月度停牌/风险警示事件区间，但不能证明未列示证券的状态,https://www.szse.cn/market/periodical/month/t20250805_615341.html,2025-07与2026-07月报均未列示8只目标股票。
深圳证券信息公司-深市增强行情历史数据,http://www.szsi.cn/cpfw/fwsq/hq/yw-2.htm,无公开按日下载URL,授权接入，非公开查询,逐笔委托、逐笔成交、证券行情快照、证券委托队列、证券信息、证券状态、指数快照,按交易日落地文件,不适用,SUBSCRIPTION_ONLY,授权/订阅,官方说明历史增强行情自2008-01-01提供，含证券信息与证券状态，但未授权访问,http://www.szsi.cn/cpfw/fwsq/hq/yw-2.htm,未取得授权，不能直接作为本项目历史边界证据。
深圳证券信息公司-巨潮数据库,http://www.szsi.cn/cpfw/fwsq/hq/xxsj/jcsjk.htm,无公开下载URL,商业产品申请,证券信息历史及现状、公告、市场交易等,数据库按历史维护,不适用,SUBSCRIPTION_ONLY,商业授权,官方说明可反映证券信息历史，但需联系数据营销部申请,http://www.szsi.cn/cpfw/fwsq/hq/xxsj/jcsjk.htm,未取得授权，未下载实际历史文件。
深交所英文数据服务,http://www.szse.cn/www/English/services/dataServices/index.html,无公开下载URL,商业数据服务,Level-1/Level-2行情、公司数据、名称变更、退市风险警示等,服务按授权交付,不适用,SUBSCRIPTION_ONLY,授权数据服务,官方说明包含历史公司元素与风险警示信息，但需SSIC授权,http://www.szse.cn/www/English/services/dataServices/index.html,未取得授权。
深交所数据文件交换接口-现货证券收盘行情文件,http://www.szse.cn/www/marketServices/technicalservice/notice/t20200508_576947.html,cashsecurityclosemd_YYYYMMDD.xml（经文件网关下发）,YYYYMMDD按日文件命名,证券成交总量、成交总金额等收盘行情,文件名中的YYYYMMDD,不适用,TECHNICAL_INTERFACE_ONLY,深交所技术系统/文件网关,官方通知确认存在按日收盘行情文件，但未提供公开下载入口,http://www.szse.cn/www/marketServices/technicalservice/notice/t20200508_576947.html,本轮未获得文件本体。
