symbol,exchange,required_date,evidence_role,gap_type,missing_evidence,required_evidence_kind,validation_status,notes
000100,SZ,2025-07-25,baseline_2025-07-25,MISSING_HISTORICAL_STATUS_SNAPSHOT,深交所2025-07-25历史风险警示名单或历史证券列表快照,历史风险警示名单 / 历史证券列表 / 带业务日期的官方状态快照,PARTIAL,公开网页仅有当前名单或事件检索；官方历史证券信息/证券状态需通过深圳证券信息有限公司授权获取。
000100,SZ,2026-07-27,endpoint_2026-07-27,MISSING_HISTORICAL_STATUS_SNAPSHOT,深交所2026-07-27历史风险警示名单或历史证券列表快照,历史风险警示名单 / 历史证券列表 / 带业务日期的官方状态快照,PARTIAL,公开网页仅有当前名单或事件检索；官方历史证券信息/证券状态需通过深圳证券信息有限公司授权获取。
002067,SZ,2025-07-25,baseline_2025-07-25,MISSING_HISTORICAL_STATUS_SNAPSHOT,深交所2025-07-25历史风险警示名单或历史证券列表快照,历史风险警示名单 / 历史证券列表 / 带业务日期的官方状态快照,PARTIAL,公开网页仅有当前名单或事件检索；官方历史证券信息/证券状态需通过深圳证券信息有限公司授权获取。
002067,SZ,2026-07-27,endpoint_2026-07-27,MISSING_HISTORICAL_STATUS_SNAPSHOT,深交所2026-07-27历史风险警示名单或历史证券列表快照,历史风险警示名单 / 历史证券列表 / 带业务日期的官方状态快照,PARTIAL,公开网页仅有当前名单或事件检索；官方历史证券信息/证券状态需通过深圳证券信息有限公司授权获取。
002129,SZ,2025-07-25,baseline_2025-07-25,MISSING_HISTORICAL_STATUS_SNAPSHOT,深交所2025-07-25历史风险警示名单或历史证券列表快照,历史风险警示名单 / 历史证券列表 / 带业务日期的官方状态快照,PARTIAL,公开网页仅有当前名单或事件检索；官方历史证券信息/证券状态需通过深圳证券信息有限公司授权获取。
002129,SZ,2026-07-27,endpoint_2026-07-27,MISSING_HISTORICAL_STATUS_SNAPSHOT,深交所2026-07-27历史风险警示名单或历史证券列表快照,历史风险警示名单 / 历史证券列表 / 带业务日期的官方状态快照,PARTIAL,公开网页仅有当前名单或事件检索；官方历史证券信息/证券状态需通过深圳证券信息有限公司授权获取。
002230,SZ,2025-07-25,baseline_2025-07-25,MISSING_HISTORICAL_STATUS_SNAPSHOT,深交所2025-07-25历史风险警示名单或历史证券列表快照,历史风险警示名单 / 历史证券列表 / 带业务日期的官方状态快照,PARTIAL,公开网页仅有当前名单或事件检索；官方历史证券信息/证券状态需通过深圳证券信息有限公司授权获取。
002230,SZ,2026-07-27,endpoint_2026-07-27,MISSING_HISTORICAL_STATUS_SNAPSHOT,深交所2026-07-27历史风险警示名单或历史证券列表快照,历史风险警示名单 / 历史证券列表 / 带业务日期的官方状态快照,PARTIAL,公开网页仅有当前名单或事件检索；官方历史证券信息/证券状态需通过深圳证券信息有限公司授权获取。
002361,SZ,2025-07-25,baseline_2025-07-25,MISSING_HISTORICAL_STATUS_SNAPSHOT,深交所2025-07-25历史风险警示名单或历史证券列表快照,历史风险警示名单 / 历史证券列表 / 带业务日期的官方状态快照,PARTIAL,公开网页仅有当前名单或事件检索；官方历史证券信息/证券状态需通过深圳证券信息有限公司授权获取。
002361,SZ,2026-07-27,endpoint_2026-07-27,MISSING_HISTORICAL_STATUS_SNAPSHOT,深交所2026-07-27历史风险警示名单或历史证券列表快照,历史风险警示名单 / 历史证券列表 / 带业务日期的官方状态快照,PARTIAL,公开网页仅有当前名单或事件检索；官方历史证券信息/证券状态需通过深圳证券信息有限公司授权获取。
002600,SZ,2025-07-25,baseline_2025-07-25,MISSING_HISTORICAL_STATUS_SNAPSHOT,深交所2025-07-25历史风险警示名单或历史证券列表快照,历史风险警示名单 / 历史证券列表 / 带业务日期的官方状态快照,PARTIAL,公开网页仅有当前名单或事件检索；官方历史证券信息/证券状态需通过深圳证券信息有限公司授权获取。
002600,SZ,2026-07-27,endpoint_2026-07-27,MISSING_HISTORICAL_STATUS_SNAPSHOT,深交所2026-07-27历史风险警示名单或历史证券列表快照,历史风险警示名单 / 历史证券列表 / 带业务日期的官方状态快照,PARTIAL,公开网页仅有当前名单或事件检索；官方历史证券信息/证券状态需通过深圳证券信息有限公司授权获取。
300274,SZ,2025-07-25,baseline_2025-07-25,MISSING_HISTORICAL_STATUS_SNAPSHOT,深交所2025-07-25历史风险警示名单或历史证券列表快照,历史风险警示名单 / 历史证券列表 / 带业务日期的官方状态快照,PARTIAL,公开网页仅有当前名单或事件检索；官方历史证券信息/证券状态需通过深圳证券信息有限公司授权获取。
300274,SZ,2026-07-27,endpoint_2026-07-27,MISSING_HISTORICAL_STATUS_SNAPSHOT,深交所2026-07-27历史风险警示名单或历史证券列表快照,历史风险警示名单 / 历史证券列表 / 带业务日期的官方状态快照,PARTIAL,公开网页仅有当前名单或事件检索；官方历史证券信息/证券状态需通过深圳证券信息有限公司授权获取。
300433,SZ,2025-07-25,baseline_2025-07-25,MISSING_HISTORICAL_STATUS_SNAPSHOT,深交所2025-07-25历史风险警示名单或历史证券列表快照,历史风险警示名单 / 历史证券列表 / 带业务日期的官方状态快照,PARTIAL,公开网页仅有当前名单或事件检索；官方历史证券信息/证券状态需通过深圳证券信息有限公司授权获取。
300433,SZ,2026-07-27,endpoint_2026-07-27,MISSING_HISTORICAL_STATUS_SNAPSHOT,深交所2026-07-27历史风险警示名单或历史证券列表快照,历史风险警示名单 / 历史证券列表 / 带业务日期的官方状态快照,PARTIAL,公开网页仅有当前名单或事件检索；官方历史证券信息/证券状态需通过深圳证券信息有限公司授权获取。
