source_key,local_source_file,official_page_url,official_attachment_url,downloaded_file,download_started_at,download_completed_at,http_status,content_type,size_bytes,existing_sha256,downloaded_sha256,hash_match,retrieval_status,notes
sse-trading-rules-2023,sources/sse_trading_rules_2023.docx,https://www.sse.com.cn/lawandrules/sselawsrules2025/repeal/rules/c/c_20250612_10824490.shtml,https://www.sse.com.cn/lawandrules/sselawsrules2025/repeal/rules/c/10824490/files/dcbe58edb194451d93f19b1f7dd8fb4c.docx,downloads\sse-trading-rules-2023.docx,2026-08-06T11:07:00+08:00,2026-08-06T11:07:01+08:00,200,application/vnd.openxmlformats-officedocument.wordprocessingml.document,51948,7aa2319f6dcf597be1e86b3b69d7c2ad0e6acb2a5d0cc6be48a01af602fded40,7aa2319f6dcf597be1e86b3b69d7c2ad0e6acb2a5d0cc6be48a01af602fded40,True,OK,document_xml_chars=413784;ok
sse-trading-rules-2023-explanation,sources/sse_trading_rules_2023_explanation.docx,https://www.sse.com.cn/lawandrules/sselawsrules2025/repeal/rules/c/c_20250612_10824490.shtml,https://www.sse.com.cn/lawandrules/sselawsrules2025/repeal/rules/c/10824490/files/0e769c598d024441a2300f7d4c8f8093.docx,downloads\sse-trading-rules-2023-explanation.docx,2026-08-06T11:07:01+08:00,2026-08-06T11:07:01+08:00,200,application/vnd.openxmlformats-officedocument.wordprocessingml.document,21117,b0f4242c7daa7a7a282ec9f09db5d672f1922c64fd98175bc06b78dab238f42a,b0f4242c7daa7a7a282ec9f09db5d672f1922c64fd98175bc06b78dab238f42a,True,OK,document_xml_chars=25810;ok
sse-trading-rules-2023-deferred-articles,sources/sse_trading_rules_2023_deferred_articles.docx,https://www.sse.com.cn/lawandrules/sselawsrules2025/repeal/rules/c/c_20250612_10824490.shtml,https://www.sse.com.cn/lawandrules/sselawsrules2025/repeal/rules/c/10824490/files/3f0cc77bae0543c795a42731398bc8e0.docx,downloads\sse-trading-rules-2023-deferred-articles.docx,2026-08-06T11:07:01+08:00,2026-08-06T11:07:01+08:00,200,application/vnd.openxmlformats-officedocument.wordprocessingml.document,17995,13cd6f14fdc5b8ecb5fad1876c6ecb05bf6c163d5217a2f2d687029ffa5bf4e2,13cd6f14fdc5b8ecb5fad1876c6ecb05bf6c163d5217a2f2d687029ffa5bf4e2,True,OK,document_xml_chars=23654;ok
sse-trading-rules-2026,sources/sse_trading_rules_2026.docx,https://www.sse.com.cn/lawandrules/sselawsrules2025/trade/universal/c/c_20260424_10816492.shtml,https://www.sse.com.cn/lawandrules/sselawsrules2025/trade/universal/c/10816492/files/704204728fe74fff89de4f16efda4791.docx,downloads\sse-trading-rules-2026.docx,2026-08-06T11:07:01+08:00,2026-08-06T11:07:02+08:00,200,application/vnd.openxmlformats-officedocument.wordprocessingml.document,65302,fc922c433438b2636cb631eab25cca405209712acbb6aaded768c45456ff8888,fc922c433438b2636cb631eab25cca405209712acbb6aaded768c45456ff8888,True,OK,document_xml_chars=520855;ok
sse-trading-rules-2026-explanation,sources/sse_trading_rules_2026_explanation.docx,https://www.sse.com.cn/lawandrules/sselawsrules2025/trade/universal/c/c_20260424_10816492.shtml,https://www.sse.com.cn/lawandrules/sselawsrules2025/trade/universal/c/10816492/files/92435c67211f452fa2e01792bf72012b.docx,downloads\sse-trading-rules-2026-explanation.docx,2026-08-06T11:07:02+08:00,2026-08-06T11:07:02+08:00,200,application/vnd.openxmlformats-officedocument.wordprocessingml.document,16084,6c0ffbb11664654442ff0907c8ab109349c1b7665b6745998d34c1219ec98aa1,6c0ffbb11664654442ff0907c8ab109349c1b7665b6745998d34c1219ec98aa1,True,OK,document_xml_chars=20424;ok
sse-trading-rules-2026-deferred-articles,sources/sse_trading_rules_2026_deferred_articles.docx,https://www.sse.com.cn/lawandrules/sselawsrules2025/trade/universal/c/c_20260424_10816492.shtml,https://www.sse.com.cn/lawandrules/sselawsrules2025/trade/universal/c/10816492/files/2ebdf02d60684b07a6ca0fd1f8cd1456.docx,downloads\sse-trading-rules-2026-deferred-articles.docx,2026-08-06T11:07:02+08:00,2026-08-06T11:07:03+08:00,200,application/vnd.openxmlformats-officedocument.wordprocessingml.document,16476,f4a0d0976a01e3e95f82460170900993824b70d91183e42d09e13ba10a9958c5,f4a0d0976a01e3e95f82460170900993824b70d91183e42d09e13ba10a9958c5,True,OK,document_xml_chars=25209;ok
szse-trading-rules-2023,sources/szse_trading_rules_2023.pdf,https://www.szse.cn/lawrules/rule/repeal/rules/t20230217_598773.html,https://docs.static.szse.cn/www/lawrules/rule/repeal/rules/W020230217564423808793.pdf,downloads\szse-trading-rules-2023.pdf,2026-08-06T11:07:03+08:00,2026-08-06T11:07:03+08:00,200,application/pdf,620843,7018114a6e11deb239c2a72e71e49defc6e8841b3e2c093b3bbf809282c67222,7018114a6e11deb239c2a72e71e49defc6e8841b3e2c093b3bbf809282c67222,True,OK,registered_url_returned_404;used_official_page_attachment_url | pages=39;ok
szse-trading-rules-2026,sources/szse_trading_rules_2026.pdf,https://www.szse.cn/lawrules/rule/allrules/bussiness/t20260424_620190.html,https://docs.static.szse.cn/www/lawrules/rule/allrules/bussiness/W020260424690713155663.pdf,downloads\szse-trading-rules-2026.pdf,2026-08-06T11:07:03+08:00,2026-08-06T11:07:03+08:00,200,application/pdf,282084,9b66f8b0db70f84a25ef1ccb4ee2351001724e408117552d75f6d8993483c586,9b66f8b0db70f84a25ef1ccb4ee2351001724e408117552d75f6d8993483c586,True,OK,pages=40;ok
szse-trading-rules-2026-explanation,sources/szse_trading_rules_2026_explanation.pdf,https://www.szse.cn/lawrules/rule/allrules/bussiness/t20260424_620190.html,https://docs.static.szse.cn/www/lawrules/rule/allrules/bussiness/W020260424690713346617.pdf,downloads\szse-trading-rules-2026-explanation.pdf,2026-08-06T11:07:03+08:00,2026-08-06T11:07:03+08:00,200,application/pdf,141508,3a309bf5b4f7b2ee170b897084397568c7a1db939b398f4ab8999587501c727a,3a309bf5b4f7b2ee170b897084397568c7a1db939b398f4ab8999587501c727a,True,OK,pages=3;ok
sse-trading-rules-2023-notice,,https://www.sse.com.cn/lawandrules/sselawsrules2025/repeal/rules/c/c_20250612_10824490.shtml,,downloads\pages\sse-trading-rules-2023-notice.html,2026-08-06T11:07:03+08:00,2026-08-06T11:07:04+08:00,200,text/html,35521,,,False,OK_PAGE,source_role=notice;authoritative_rule_body=false
